event_id,match_id,line,slot,x,y,ball_x,ball_y,dx_from_line
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,back,0,54.470865773702684,59.76090508576125,42.4,75.3,9.728025409820532
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,back,1,32.3037443773698,66.82961852706444,42.4,75.3,-12.43909598651235
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,back,2,48.19800038033865,67.29531491022883,42.4,75.3,3.455160016456496
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,back,3,44.979915121838815,67.72159234858852,42.4,75.3,0.23707475795666255
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,back,4,43.761676166160804,77.64593192723015,42.4,75.3,-0.9811641977213483
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,mid,5,59.48045513301954,44.35050385579312,42.4,75.3,1.9344359864506586
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,mid,6,57.626871317612746,65.30180631467344,42.4,75.3,0.08085217104386544
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,mid,7,55.53073098907435,75.30502482811906,42.4,75.3,-2.015288157494531
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,back,0,43.79415393293559,65.27326515034731,47.8,73.5,-0.23263734856809037
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,back,1,31.609102921535545,66.6431363122058,47.8,73.5,-12.417688359968139
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,back,2,47.76630385136237,70.4703487455692,47.8,73.5,3.7395125698586895
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,back,3,49.91897196443913,73.91285253363543,47.8,73.5,5.892180682935447
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,back,4,47.04542373724578,78.11077614730192,47.8,73.5,3.018632455742093
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,mid,5,55.84584894357759,42.0707602626721,47.8,73.5,-0.5417853624315327
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,mid,6,53.84547125156998,59.687764894011465,47.8,73.5,-2.5421630544391434
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,mid,7,56.794382830541515,66.12752255671705,47.8,73.5,0.4067485245323894
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,mid,8,59.06483419834742,72.44792286225167,47.8,73.5,2.677199892338294
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,back,0,47.66232257191555,29.07327588418552,50.1,13.4,4.551113645668963
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,back,1,45.611532248713814,29.688167635125893,50.1,13.4,2.5003233224672243
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,back,2,32.85906804660716,33.229100396953825,50.1,13.4,-10.252140879639427
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,back,3,43.992931978837774,43.1553111600545,50.1,13.4,0.8817230525911839
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,back,4,45.43018978515866,54.13757590757095,50.1,13.4,2.31898085891207
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,mid,5,54.59124605795806,19.682922604847597,50.1,13.4,0.3124791835172971
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,mid,6,54.406686912800694,30.001810425084926,50.1,13.4,0.1279200383599317
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,mid,7,50.85404480666271,34.85084646696184,50.1,13.4,-3.424722067778049
bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,3930158,mid,8,57.2630897203416,52.37446240389682,50.1,13.4,2.9843228459008344
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,back,0,47.66232257191555,29.07327588418552,50.1,13.4,4.551113645668963
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,back,1,45.611532248713814,29.688167635125893,50.1,13.4,2.5003233224672243
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,back,2,32.85906804660716,33.229100396953825,50.1,13.4,-10.252140879639427
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,back,3,43.992931978837774,43.1553111600545,50.1,13.4,0.8817230525911839
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,back,4,45.43018978515866,54.13757590757095,50.1,13.4,2.31898085891207
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,mid,5,54.59124605795806,19.682922604847597,50.1,13.4,0.3124791835172971
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,mid,6,54.406686912800694,30.001810425084926,50.1,13.4,0.1279200383599317
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,mid,7,50.85404480666271,34.85084646696184,50.1,13.4,-3.424722067778049
c974af67-4cef-44f0-a6c0-9b65d58befd5,3930158,mid,8,57.2630897203416,52.37446240389682,50.1,13.4,2.9843228459008344
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,back,0,54.47636067532253,32.85199773436309,50.9,71.8,1.6860397323756047
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,back,1,53.9081848058367,48.31467296753991,50.9,71.8,1.1178638628897701
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,back,2,46.087311507764326,54.063378749193255,50.9,71.8,-6.703009435182601
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,back,3,59.03265785228145,60.69416709819991,50.9,71.8,6.242336909334526
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,back,4,50.447089873529606,65.03145361820648,50.9,71.8,-2.343231069417321
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,mid,5,67.4022614060249,41.2925681850119,50.9,71.8,2.0163307884731694
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,mid,6,67.8942583113288,46.633739940427965,50.9,71.8,2.508327693777062
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,mid,7,64.32273629128902,62.63952276805148,50.9,71.8,-1.0631943262627175
c5679fc8-3575-466e-affc-6b548a3897d8,3930158,mid,8,61.92446646156418,71.77189977917854,50.9,71.8,-3.4614641559875565
ce2d0221-ed72-411d-a604-3e848f66a285,3930158,back,0,54.47636067532253,32.85199773436309,50.1,76.5,1.6860397323756047
ce2d0221-ed72-411d-a604-3e848f66a285,3930158,back,1,53.9081848058367,48.31467296753991,50.1,76.5,1.1178638628897701
ce2d0221-ed72-411d-a604-3e848f66a285,3930158,back,2,46.087311507764326,54.063378749193255,50.1,76.5,-6.703009435182601
ce2d0221-ed72-411d-a604-3e848f66a285,3930158,back,3,59.03265785228145,60.69416709819991,50.1,76.5,6.242336909334526
ce2d0221-ed72-411d-a604-3e848f66a285,3930158,back,4,50.447089873529606,65.03145361820648,50.1,76.5,-2.343231069417321
ce2d0221-ed72-411d-a604-3e848f66a285,3930158,mid,5,67.4022614060249,41.2925681850119,50.1,76.5,2.0163307884731694
ce2d0221-ed72-411d-a604-3e848f66a285,3930158,mid,6,67.8942583113288,46.633739940427965,50.1,76.5,2.508327693777062
ce2d0221-ed72-411d-a604-3e848f66a285,3930158,mid,7,64.32273629128902,62.63952276805148,50.1,76.5,-1.0631943262627175
ce2d0221-ed72-411d-a604-3e848f66a285,3930158,mid,8,61.92446646156418,71.77189977917854,50.1,76.5,-3.4614641559875565
fd903042-962d-482e-8873-a55e21f9b119,3930158,back,0,29.396564534861994,28.849321967011008,35.2,68.9,-4.626206300544091
fd903042-962d-482e-8873-a55e21f9b119,3930158,back,1,31.854704705762828,40.18392370036205,35.2,68.9,-2.1680661296432575
fd903042-962d-482e-8873-a55e21f9b119,3930158,back,2,40.856182214426035,48.13836300710116,35.2,68.9,6.8334113790199495
fd903042-962d-482e-8873-a55e21f9b119,3930158,back,3,31.81562344884453,53.450487528506606,35.2,68.9,-2.207147386561555
fd903042-962d-482e-8873-a55e21f9b119,3930158,back,4,36.190779273135036,65.27662107481473,35.2,68.9,2.1680084377289504
fd903042-962d-482e-8873-a55e21f9b119,3930158,mid,5,47.46910417432271,30.2856791647487,35.2,68.9,-0.19616454379347203
fd903042-962d-482e-8873-a55e21f9b119,3930158,mid,6,52.12180071179125,48.17048142884238,35.2,68.9,4.456531993675071
fd903042-962d-482e-8873-a55e21f9b119,3930158,mid,7,42.29527055524241,55.39157554689014,35.2,68.9,-5.36999816287377
