match_id,event_id,minute,type,poss_elapsed,ball_x,ball_y,n_def,back_line_x,mid_line_x,line_sep,back_centroid_y,mid_centroid_y,back_width,mid_width,back_x_scatter,mid_x_scatter,back_gap_min,back_gap_max,mid_gap_min,highest_att_x
3930158,b5a30bf4-0579-43d0-9e97-9261bb0a472b,2,Pressure,6,42.4,75.3,8,44.74284036388215,57.54601914656888,12.803178782686729,67.85067255977462,61.65244499952854,17.8850268414689,30.954520972325938,7.24323968537355,1.6134813310536051,0.42627743835969056,9.924339578641636,10.003218513445617,11.75696251847824
3930158,d442c759-5110-452b-9e4e-9a8d131e1fc9,2,Pass,9,47.8,73.5,9,44.026791281503684,56.387634306009126,12.360843024505442,70.88207577781193,60.083492643913075,12.837510996954606,30.37716259957957,6.512557004811325,1.8767637038294052,1.3698711618584838,4.1979236136664895,6.320400305534619,10.11678089328943
3930158,bc9a25b5-b8a3-4175-a1fe-088cd7507a2b,5,Ball Receipt*,5,50.1,13.4,10,43.11120892624659,54.27876687444076,11.167557948194172,37.85668619677814,34.227510475197796,25.064300023385428,32.691539799049224,5.257865584324364,2.2775486200319226,0.6148917509403731,10.982264747516446,4.849036041876914,30.003738809971267
3930158,c974af67-4cef-44f0-a6c0-9b65d58befd5,5,Pass,5,50.1,13.4,10,43.11120892624659,54.27876687444076,11.167557948194172,37.85668619677814,34.227510475197796,25.064300023385428,32.691539799049224,5.257865584324364,2.2775486200319226,0.6148917509403731,10.982264747516446,4.849036041876914,30.003738809971267
3930158,c5679fc8-3575-466e-affc-6b548a3897d8,6,Ball Receipt*,18,50.9,71.8,9,52.79032094294693,65.38593061755174,12.595609674604809,52.19113403350053,55.58443266816747,32.179455883843396,30.479331594166638,4.323891465279252,2.422262059857359,4.337286520006572,15.462675233176824,5.341171755416063,35.40783506340884
3930158,ce2d0221-ed72-411d-a604-3e848f66a285,6,Pass,18,50.1,76.5,9,52.79032094294693,65.38593061755174,12.595609674604809,52.19113403350053,55.58443266816747,32.179455883843396,30.479331594166638,4.323891465279252,2.422262059857359,4.337286520006572,15.462675233176824,5.341171755416063,35.40783506340884
3930158,fd903042-962d-482e-8873-a55e21f9b119,7,Ball Receipt*,5,35.2,68.9,9,34.022770835406085,47.66526871811618,13.642497882710096,47.17974345555911,49.08210522854775,36.42729910780372,32.19500560896109,4.058806886874242,3.534378252513955,5.312124521405444,11.826133546308121,7.089109226819652,23.039777086537917
3930158,b3ed7d3b-658a-48f9-8abc-ade1a3481af2,7,Carry,5,35.2,68.9,9,34.022770835406085,47.66526871811618,13.642497882710096,47.17974345555911,49.08210522854775,36.42729910780372,32.19500560896109,4.058806886874242,3.534378252513955,5.312124521405444,11.826133546308121,7.089109226819652,23.039777086537917
3930158,e77dea0c-31fd-4b81-a8be-07d74e7cb3f3,7,Miscontrol,6,35.5,76.9,8,36.11218807680108,50.86899663239333,14.75680855559225,49.199531696329224,44.14901700173402,49.33693964899713,40.58381755426795,5.390998542409931,2.817341729459899,0.5876998815110781,20.44381302421408,17.968401072703564,6.771500782139405
3930158,2a5a2b8e-950a-40b8-83fb-948053b9b29c,12,Dispossessed,6,61.9,59.2,10,49.98726634124806,58.62457300742179,8.637306666173728,21.875760336028762,19.119578872828598,31.345102478190483,4.110561662872719,3.3365423372256133,1.893776564106891,0.546656444536346,20.64601247421335,0.8000788577418092,50.69912930952773
3930158,7f3ffb7e-a336-4627-87a7-e5dd8012eaf5,12,Ball Receipt*,27,42.1,62.7,9,52.591324091531966,67.55956909989193,14.968245008359965,49.14876407226188,56.45192752800601,27.061798315592632,27.452276006737883,4.244036032865149,0.7549746209221299,4.666478455553609,7.951064156642936,5.8842829974587545,38.940624256556774
3930158,8075d343-e74d-4a27-aa90-8394d7ca34cb,12,Carry,27,42.1,62.7,9,52.591324091531966,67.55956909989193,14.968245008359965,49.14876407226188,56.45192752800601,27.061798315592632,27.452276006737883,4.244036032865149,0.7549746209221299,4.666478455553609,7.951064156642936,5.8842829974587545,38.940624256556774
3930158,1c8725fe-5c6f-491c-bc62-eef5fef8a702,15,Ball Receipt*,16,56.8,74.9,9,52.132491460185385,69.21970372108927,17.08721226090389,55.381222890973945,38.98100599599335,29.859264958718562,34.18753398951157,6.274702564089767,3.9293533269003404,3.5328166047650598,12.935727334171304,5.207116545712886,38.819798831011596
3930158,11a4be87-20bd-406d-8351-536c5015ac5e,15,Carry,16,56.8,74.9,9,52.132491460185385,69.21970372108927,17.08721226090389,55.381222890973945,38.98100599599335,29.859264958718562,34.18753398951157,6.274702564089767,3.9293533269003404,3.5328166047650598,12.935727334171304,5.207116545712886,38.819798831011596
3930158,feacfe18-ecad-42ba-94a6-e1a7b7b1fb13,15,Pass,31,62.6,5.8,8,53.807845258464496,70.00913098582613,16.201285727361636,8.276224513323477,32.837017966550285,10.753353050120062,18.441198034835686,7.7714856725913855,3.38282661849654,0.28237557733812224,8.906779097507965,1.82646230601474,44.91809828369114
3930158,f0aba190-df53-4175-9a50-03d2f045ed02,18,Pass,58,47.0,42.2,10,48.44232867965063,61.41950263358339,12.977173953932763,42.14162097152259,36.524587005185744,21.333738638465405,33.87831462236905,6.251947391972723,3.112094068594635,0.97630992077233,9.766273188882273,9.782323946973094,36.84404023921506
3930158,7dab682d-6b85-4191-b83b-8e542fe05654,18,Ball Receipt*,16,44.3,32.7,9,52.94153222568774,65.47032717806405,12.528794952376316,44.22266460699179,47.54951352606941,34.4943652001912,28.160590672731104,2.8684906239911023,0.29936283651610096,3.9928109137790813,15.118896855425689,7.190226742699565,36.27550396577932
3930158,80d532be-9be1-4f89-a6e3-2590e382b65e,18,Carry,16,44.3,32.7,9,52.94153222568774,65.47032717806405,12.528794952376316,44.22266460699179,47.54951352606941,34.4943652001912,28.160590672731104,2.8684906239911023,0.29936283651610096,3.9928109137790813,15.118896855425689,7.190226742699565,36.27550396577932
3930158,3f1fca39-8b4c-4a97-9c32-defa93712b17,21,Ball Receipt*,24,55.7,76.2,9,50.77679694185988,66.66899273837782,15.892195796517946,48.94886089643319,53.846873498130094,42.50645366246214,38.79984597670084,5.204530566779791,1.0820947173821618,1.7539867337747665,16.510344648257778,6.911122970884932,47.497110641182786
3930158,75013822-d8e9-419d-be88-93cf5f96d111,21,Carry,24,55.7,76.2,9,50.77679694185988,66.66899273837782,15.892195796517946,48.94886089643319,53.846873498130094,42.50645366246214,38.79984597670084,5.204530566779791,1.0820947173821618,1.7539867337747665,16.510344648257778,6.911122970884932,47.497110641182786
3930158,9636e345-e3df-42ff-aa4e-1c0e649671a4,22,Pass,7,33.0,17.0,8,44.030684682819334,60.95778691019715,16.927102227377816,33.51836149343789,41.2968494441972,44.43222370368734,35.03305427265709,6.620312063068414,0.9916825513372527,1.5796237521590015,17.14034722943005,15.168106291905659,33.0
3930158,90865c27-6df4-48f7-a4e7-583d8e39e6fb,23,Pass,27,43.2,46.3,8,40.096140474113966,62.210693143853405,22.11455266973944,51.78125258084172,39.84769097535045,20.197255386181524,26.831194317940394,9.696640914537982,4.172476433626876,0.7248180641970592,13.113105655659922,7.584279164008265,26.222492520118834
3930158,323b0908-fdd7-4e52-864c-46a677ba0589,28,Foul Won,6,68.9,73.9,8,48.890412583821245,61.10993417344569,12.219521589624442,20.52677238341496,5.250891897074763,35.59066008587044,8.974870214917537,2.884474470831425,3.910445962119285,0.7392312173816116,13.985326855320324,3.1657312992741495,50.46502065444865
3930158,c1dc9e4a-a8f1-4fda-836b-ce8ea50b608c,33,Foul Won,33,67.4,46.8,10,36.00412719880278,48.82328280409204,12.81915560528926,37.93569376532575,31.51943614995775,32.22782804065913,13.27930270177205,1.672954749190986,2.930820465126236,5.7951195681096195,12.462730093148224,0.2598979292556294,34.85036996363834
3930158,5ca0a20e-4d67-4246-9357-a694da75eb59,34,Ball Receipt*,49,76.3,77.0,8,36.50564271390682,50.9740424182796,14.468399704372779,15.61226354675723,13.670579806452588,32.494273950354035,23.879215304726806,4.875321105952456,6.187140465345782,5.128691330933258,13.838260411114256,10.04345846723023,24.745937681228703
3930158,d1d85997-92b5-4dc7-9cb3-c3559511ae78,34,Pass,10,40.0,47.0,8,35.910097558832256,52.30533347970866,16.395235920876402,52.961428584116916,44.70167803725979,30.747256635917047,37.451313089202884,5.799180320929767,1.380951487848206,3.1378740912448393,11.849210908987665,12.913296128629057,18.923340146824245
3930158,dd77862c-6aa0-449c-8450-08f97f4500c0,34,Pass,12,49.8,22.6,8,49.705471375854536,66.13774911102213,16.432277735167595,35.3019080103153,32.76478247864899,19.196101064824546,37.55496980499184,7.4786863067471305,3.891987470729387,3.1506454773995003,7.723091167171781,11.861695807114852,47.50633761612884
