update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_success,c_slow,c_team,speed,n_succ,lam0,lam_slow,lam_succ,boot
1,768,0.0003,554.4,0.0,0.604281,59.0,3,-0.007516,0.021534,0.022051,3.306663,0.004646,0.0513,0.555264,-0.281883,0.105589,0.955729,1.0,0.941099,0.0,0.322316,0.338842,0.338842,1.0
50,38400,0.0002954838709677419,539.5,0.06,0.951676,27.31,1026,-0.004987,0.009633,0.000814,2.03869,0.00575,0.067169,0.713001,-0.79629,-1.884366,0.18125,0.157552,3.013303,0.0,0.139031,0.096753,0.764217,1.0
100,76800,0.00029087557603686633,521.8,0.03,0.915258,32.32,2316,-0.005525,0.015302,0.000921,2.507058,0.005555,0.061249,0.639978,0.507323,-0.658505,0.402604,0.322917,2.179569,2.0,0.059147,0.019393,0.921459,1.0
150,115200,0.00028626728110599074,529.1,0.06,0.937651,52.41,3171,-0.006518,0.003144,0.001158,2.65278,0.005386,0.060883,0.929632,0.6772,-1.495988,0.553385,0.5,1.931345,0.0,0.037691,0.01021,0.952099,1.0
200,153600,0.0002816589861751152,531.4,0.03,0.900243,77.32,3808,-0.008161,0.001464,0.002959,2.827453,0.005717,0.069641,0.951757,0.503904,-0.956733,0.75599,0.895833,1.470118,0.0,0.027377,0.006917,0.965706,1.0
250,192000,0.0002770506912442396,528.0,0.02,0.906326,59.09,4393,-0.007514,0.001724,0.001989,2.687687,0.006034,0.073669,0.954567,0.58601,-0.616492,0.674479,0.747396,1.684182,0.0,0.020855,0.00507,0.974075,1.0
300,230400,0.00027244239631336403,531.1,0.03,0.897021,50.93,5268,-0.006687,0.002816,0.001705,2.63501,0.005487,0.064148,0.93072,0.669969,-0.904568,0.691667,0.822917,1.583528,0.0,0.016412,0.003837,0.97975,1.0
350,268800,0.00026783410138248845,533.4,0.02,0.906551,53.41,5938,-0.007631,0.001996,0.002892,2.769308,0.006107,0.081848,0.937637,0.510832,-0.467468,0.732161,0.851562,1.519568,0.0,0.01321,0.00298,0.983809,1.0
400,307200,0.00026322580645161286,533.0,0.03,0.917579,71.81,6557,-0.008876,0.001327,0.001731,2.846201,0.006561,0.087189,0.952742,0.610938,0.126125,0.732422,0.953125,1.509594,0.0,0.010947,0.00241,0.986643,1.0
450,345600,0.0002586175115207373,533.8,0.04,0.927024,86.75,6985,-0.006633,0.012391,0.004058,2.827397,0.006778,0.08844,0.666006,0.417918,0.082306,0.801432,0.963542,1.359168,2.0,0.009443,0.002049,0.988508,1.0
500,384000,0.00025400921658986174,534.6,0.01,0.892482,81.79,7369,-0.006783,0.009461,0.003535,2.791251,0.006679,0.09024,0.768305,0.511931,0.017843,0.754167,0.919271,1.451486,1.0,0.008247,0.001776,0.989977,1.0
550,422400,0.00024940092165898615,525.3,0.28,1.17676,86.92,7830,-0.007976,0.01589,0.003409,2.754681,0.005062,0.060669,0.663822,0.545595,0.532861,0.751042,0.898438,1.486767,3.0,0.00736,0.00157,0.991071,1.0
600,460800,0.00024479262672811057,529.4,0.35,1.288874,96.45,8267,-0.007537,0.014158,0.003677,2.797268,0.005404,0.060425,0.731134,0.606874,0.592929,0.81237,0.980469,1.339795,3.0,0.007085,0.001521,0.991394,1.0
650,499200,0.000240184331797235,528.2,0.37,1.313385,102.9,8614,-0.008615,0.010286,0.002064,2.86413,0.006484,0.083374,0.727332,0.80989,0.64369,0.842839,0.992188,1.299238,1.0,0.00696,0.001524,0.991516,1.0
700,537600,0.00023557603686635942,525.7,0.52,1.55242,104.44,8972,-0.006476,0.010138,0.001268,2.759712,0.005061,0.056702,0.802161,0.903152,0.667148,0.79401,0.958333,1.402887,2.0,0.007126,0.001611,0.991263,1.0
750,576000,0.00023096774193548386,530.7,0.43,1.363397,110.75,9322,-0.006239,0.00926,0.003084,2.833618,0.004206,0.04364,0.712215,0.721317,0.816977,0.818229,0.988281,1.267605,2.0,0.007309,0.001712,0.990979,1.0
800,614400,0.00022635944700460827,527.0,0.46,1.464927,96.12,9689,-0.007458,0.013025,0.002056,2.790223,0.005827,0.069458,0.64524,0.822699,0.819823,0.742057,0.970052,1.488061,5.0,0.007813,0.001919,0.990268,1.0
850,652800,0.0002217511520737327,530.6,0.53,1.531586,97.28,10076,-0.006701,0.014109,0.004316,2.871313,0.00494,0.049316,0.645016,0.692865,0.850014,0.815104,0.99349,1.341588,4.0,0.008717,0.002268,0.989015,1.0
900,691200,0.00021714285714285713,526.7,0.51,1.470538,112.67,10428,-0.006625,0.01731,0.003105,2.857189,0.005029,0.058868,0.585601,0.669122,0.861679,0.782552,0.954427,1.417391,5.0,0.00962,0.002669,0.987712,1.0
950,729600,0.00021253456221198154,529.1,0.56,1.56337,96.63,10830,-0.006428,0.015312,0.003577,2.872767,0.004774,0.050323,0.728219,0.632198,0.781887,0.818359,0.988281,1.336094,3.0,0.011341,0.003452,0.985207,1.0
1000,768000,0.00020792626728110595,527.3,0.58,1.630458,89.33,11253,-0.007907,0.015828,0.001698,2.813712,0.004619,0.051056,0.572096,0.774426,0.527667,0.726953,0.955729,1.564582,7.0,0.01487,0.00522,0.979911,1.0
1050,806400,0.00020331797235023042,531.4,0.56,1.56134,76.5,11682,-0.006717,0.021695,0.00167,2.802071,0.005169,0.058655,0.310849,0.741614,0.675383,0.67526,0.85026,1.638529,5.0,0.019273,0.00802,0.972707,1.0
1100,844800,0.0001987096774193548,529.2,0.56,1.587423,74.04,12212,-0.006048,0.027468,0.002775,2.790797,0.005093,0.055634,0.382672,0.611436,0.642,0.69401,0.924479,1.59708,5.0,0.028497,0.014951,0.956552,1.0
1150,883200,0.00019410138248847925,528.9,0.3,1.293761,66.07,12725,-0.00757,0.030178,0.002001,2.707311,0.005145,0.058868,0.351131,0.625676,0.533379,0.61862,0.705729,1.732916,5.0,0.073701,0.083015,0.843284,1.0
1200,921600,0.0001894930875576037,527.6,0.41,1.408477,54.3,13372,-0.006757,0.026257,0.000779,2.480344,0.004466,0.043793,0.540562,0.560517,0.741928,0.32487,0.160156,2.392845,6.0,0.086679,0.085288,0.828033,1.0
