update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,entropy,approx_kl,clipfrac,ev,phi_r2,ev_resid,h_dir_car,h_dir_off,h_spd_car,h_spd_off,h_ball_car,h_ball_off
290,222720,0.00029334101382488473,482.4,0.64,1.543529,97.33,2703,-0.00669,0.010538,2.854006,0.005413,0.064728,0.787461,0.120588,0.769387,1.888303,1.875955,0.995077,0.974685,0.20903,0.0
300,230400,0.000293110599078341,483.0,0.82,1.791124,72.35,2809,-0.007846,0.011682,2.811634,0.005973,0.075592,0.443272,0.153686,0.465454,1.866944,1.858928,0.955975,0.938791,0.251138,0.0
310,238080,0.0002928801843317972,483.3,0.75,1.715642,81.08,2905,-0.007173,0.018543,2.849547,0.006458,0.084808,0.293911,0.207104,0.386182,1.867553,1.888876,0.959666,0.958753,0.452115,0.0
320,245760,0.00029264976958525346,483.6,0.66,1.603616,98.97,2980,-0.00734,0.008834,2.872984,0.005821,0.06897,0.372792,0.063777,0.67501,1.903229,1.876338,0.99528,0.99821,0.322643,0.0
330,253440,0.00029241935483870966,483.7,0.81,1.826506,87.31,3071,-0.008019,0.010617,2.832414,0.005338,0.064056,0.602122,0.325816,0.491114,1.755454,1.823506,1.038403,0.996396,0.386383,0.0
340,261120,0.00029218894009216587,482.6,0.76,1.722323,73.53,3176,-0.006637,0.021367,2.853783,0.005623,0.069305,0.455592,0.12148,0.463236,1.821083,1.852548,1.015772,1.000125,0.420732,0.0
350,268800,0.0002919585253456221,481.2,0.78,1.760898,85.01,3262,-0.006764,0.014998,2.813924,0.005904,0.072052,0.426974,0.332255,0.255527,1.786371,1.798922,1.02315,1.006571,0.515013,0.0
360,276480,0.0002917281105990783,480.8,0.75,1.709396,74.03,3366,-0.008311,0.011057,2.848805,0.007124,0.093475,0.568821,0.084536,0.617106,1.84282,1.822247,1.008035,1.024721,0.721562,0.0
370,284160,0.00029149769585253455,480.6,0.68,1.647569,93.07,3444,-0.008667,0.01195,2.961154,0.00689,0.093201,0.472226,0.379306,0.309678,1.929858,1.909062,1.055682,1.052042,0.582581,0.0
380,291840,0.00029126728110599075,481.4,0.6,1.552797,100.17,3519,-0.006984,0.011106,2.897312,0.005809,0.073517,0.736525,0.145578,0.727884,1.940277,1.883832,1.023273,1.002107,0.480263,0.0
390,299520,0.00029103686635944696,482.1,0.66,1.593578,93.19,3603,-0.007113,0.024809,2.900009,0.005094,0.061249,0.522653,0.155612,0.519225,1.898812,1.871154,1.042901,1.025105,0.571367,0.0
400,307200,0.0002908064516129032,482.8,0.5,1.376023,102.56,3672,-0.007412,0.013638,2.928905,0.005824,0.075317,0.819257,0.333635,0.730738,1.942283,1.93136,1.021436,0.991713,0.480158,0.0
410,314880,0.00029057603686635943,482.7,0.61,1.526289,98.26,3752,-0.008349,0.014329,2.93136,0.006409,0.08902,0.709579,0.227849,0.635721,1.954357,1.941308,1.005756,0.986645,0.597164,0.0
420,322560,0.00029034562211981564,477.5,0.65,1.581817,102.87,3824,-0.008933,0.008946,2.983201,0.00676,0.089233,0.528022,0.13703,0.558025,1.986482,1.962927,1.036276,1.015376,0.719793,0.0
430,330240,0.00029011520737327184,478.2,0.45,1.280963,104.06,3901,-0.006811,0.010865,2.985817,0.004968,0.059631,0.731404,0.116989,0.719086,1.864041,1.9465,1.043145,1.025793,0.774598,0.0
440,337920,0.0002898847926267281,478.8,0.55,1.459261,91.84,3985,-0.00758,0.024034,2.911133,0.005582,0.070526,0.490831,0.080933,0.574074,1.844866,1.880868,1.034965,1.028387,0.76359,0.0
450,345600,0.0002896543778801843,479.4,0.7,1.690439,86.91,4074,-0.006867,0.01652,2.949657,0.006017,0.075348,0.544548,0.449083,0.221828,1.826319,1.904051,1.061232,1.040389,0.535973,0.0
460,353280,0.0002894239631336405,480.1,0.72,1.687101,81.17,4168,-0.008888,0.023491,2.908104,0.006387,0.089081,0.587366,0.402124,0.309897,1.871775,1.857509,1.043577,1.029429,0.702395,0.0
470,360960,0.0002891935483870967,480.6,0.63,1.593591,85.26,4260,-0.006969,0.011313,2.88175,0.004598,0.050262,0.478053,0.219379,0.501169,1.858869,1.833126,1.015633,1.025994,0.657295,0.0
480,368640,0.000288963133640553,481.2,0.69,1.663885,81.93,4355,-0.007314,0.007083,2.866859,0.00638,0.080872,0.645307,0.303312,0.610092,1.817747,1.828788,1.019844,1.014529,0.658556,0.0
490,376320,0.0002887327188940092,481.6,0.73,1.707443,91.95,4438,-0.008858,0.028625,2.872031,0.005573,0.069183,0.585096,0.385065,0.325881,1.861168,1.836389,1.032495,1.024321,0.794442,0.0
500,384000,0.0002885023041474654,482.0,0.69,1.648334,73.16,4541,-0.008746,0.013909,2.862178,0.006684,0.087891,0.691566,0.198155,0.658105,1.866182,1.796639,1.061836,1.059122,0.641636,0.0
510,391680,0.0002882718894009216,482.2,0.73,1.711257,78.46,4638,-0.008426,0.003751,2.909784,0.005616,0.067352,0.702422,0.660133,0.41751,1.913946,1.870221,1.037733,1.025905,0.667806,0.0
520,399360,0.00028804147465437787,482.7,0.73,1.67777,79.01,4734,-0.008065,0.012202,2.913595,0.006134,0.082367,0.483429,0.106621,0.557421,1.953982,1.884678,0.992231,1.014081,0.752475,0.0
530,407040,0.0002878110599078341,483.1,0.69,1.656491,87.78,4818,-0.008746,0.004679,2.925709,0.005538,0.061066,0.75826,0.261615,0.785353,1.925593,1.889748,1.023982,1.030554,0.597203,0.0
540,414720,0.0002875806451612903,483.6,0.77,1.72756,82.76,4913,-0.007598,0.011508,2.936767,0.006276,0.082855,0.350128,0.106104,0.56121,1.907344,1.920483,1.007207,1.011569,0.706683,0.0
550,422400,0.0002873502304147465,484.0,0.73,1.654147,96.84,4988,-0.00919,0.009692,2.961872,0.00741,0.095795,0.854284,0.385472,0.765882,1.949967,1.932745,1.020458,1.014615,0.667279,0.0
560,430080,0.00028711981566820275,484.5,0.67,1.587966,84.87,5077,-0.005911,0.00642,2.940033,0.004959,0.057709,0.735083,0.233947,0.696836,1.948269,1.900244,1.058126,1.030345,0.708226,0.0
570,437760,0.00028688940092165896,484.9,0.66,1.647335,89.94,5167,-0.007581,0.014552,2.907991,0.006194,0.073486,0.577431,0.147807,0.589355,1.886535,1.863314,1.06329,1.025505,0.747249,0.0
580,445440,0.00028665898617511517,485.3,0.66,1.623246,78.73,5261,-0.008287,0.016413,2.970237,0.006697,0.087769,0.414451,0.421134,0.023563,1.917495,1.915794,1.066287,1.052593,0.794308,0.0
590,453120,0.00028642857142857143,485.7,0.77,1.724786,80.01,5358,-0.008398,0.004173,2.917097,0.005531,0.062897,0.75391,0.178714,0.794264,1.894325,1.85652,1.041276,1.041941,0.655419,0.0
600,460800,0.00028619815668202764,486.2,0.74,1.712495,82.52,5452,-0.007455,0.02987,2.874358,0.00579,0.068176,0.48076,0.393124,0.149022,1.834487,1.826427,1.043284,1.037516,0.678162,0.0
610,468480,0.00028596774193548384,486.3,0.78,1.742037,71.43,5562,-0.007171,0.01492,2.790736,0.005587,0.064606,0.285979,0.267109,0.241855,1.839299,1.766123,1.00343,1.017543,0.726713,0.0
620,476160,0.00028573732718894005,486.6,0.64,1.564875,72.3,5662,-0.00848,0.006036,2.867079,0.006553,0.083557,0.522059,0.075903,0.654488,1.906849,1.817241,1.027688,1.027882,0.876894,0.0
630,483840,0.0002855069124423963,486.9,0.53,1.448776,75.78,5765,-0.007637,0.014162,2.881649,0.005469,0.068451,0.801991,0.094722,0.793802,1.829572,1.84774,1.04214,1.022436,0.685178,0.0
640,491520,0.0002852764976958525,487.2,0.66,1.617858,90.48,5849,-0.007304,0.019551,2.912596,0.004801,0.050812,0.473212,0.288716,0.271076,1.85903,1.848524,1.058742,1.04713,0.668259,0.0
650,499200,0.0002850460829493087,487.5,0.7,1.649608,69.78,5959,-0.008011,0.018151,2.900454,0.005534,0.057953,0.685206,0.157475,0.636441,1.861857,1.828662,1.069578,1.051954,0.528914,0.0
660,506880,0.00028481566820276493,487.7,0.7,1.632378,62.38,6078,-0.006217,0.036009,2.967063,0.004408,0.043457,0.27187,0.256512,0.061844,1.912515,1.902438,1.056762,1.044518,0.627803,0.0
