update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,entropy,approx_kl,clipfrac,ev,phi_r2,ev_resid,h_dir_car,h_dir_off,h_spd_car,h_spd_off,h_ball_car,h_ball_off
290,222720,0.00029334101382488473,509.3,0.02,0.875941,79.38,3768,-0.007963,0.002084,2.763578,0.005503,0.069031,0.954383,0.94933,0.177503,1.828344,1.77373,1.00499,0.984216,1.110614,0.0
300,230400,0.000293110599078341,509.5,0.05,0.91549,80.37,3864,-0.009095,0.001609,2.78593,0.00659,0.087433,0.926261,0.844863,0.592177,1.844492,1.812843,0.978215,0.963521,1.21082,0.0
310,238080,0.0002928801843317972,509.3,0.0,0.849964,84.72,3955,-0.007957,0.001755,2.714474,0.00564,0.067719,0.958432,0.945119,0.24258,1.750208,1.760158,1.005749,0.956896,1.123034,0.0
320,245760,0.00029264976958525346,509.7,0.03,0.932389,92.18,4042,-0.009229,0.001676,2.69177,0.00693,0.090424,0.932969,0.868196,0.616437,1.775689,1.763799,0.969743,0.922141,1.01545,0.0
330,253440,0.00029241935483870966,509.9,0.02,0.875199,70.76,4153,-0.008703,0.001855,2.774636,0.006532,0.087891,0.953552,0.918444,0.430495,1.793306,1.808799,1.003932,0.956658,1.187557,0.0
340,261120,0.00029218894009216587,510.2,0.04,0.912879,70.24,4263,-0.008519,0.005894,2.722193,0.005689,0.068695,0.84009,0.674023,0.537984,1.797223,1.787636,0.954417,0.931872,1.081054,0.0
350,268800,0.0002919585253456221,510.4,0.03,0.906688,58.65,4393,-0.007015,0.001833,2.709589,0.004931,0.050293,0.955689,0.958937,-0.02913,1.75264,1.715037,1.016123,0.984084,1.035795,0.0
360,276480,0.0002917281105990783,510.5,0.01,0.877441,57.53,4526,-0.006351,0.00851,2.73545,0.00595,0.075714,0.74009,0.690928,0.197955,1.801003,1.763953,0.988926,0.968165,0.964335,0.0
370,284160,0.00029149769585253455,510.7,0.0,0.860231,63.68,4641,-0.008426,0.001572,2.709239,0.005352,0.062195,0.965518,0.970399,-0.122257,1.71197,1.733627,0.974833,0.962059,1.073026,0.0
380,291840,0.00029126728110599075,510.8,0.03,0.90952,59.61,4769,-0.007471,0.00276,2.637963,0.005057,0.056915,0.92591,0.901308,0.263798,1.770302,1.715786,0.87912,0.910577,1.211569,0.0
390,299520,0.00029103686635944696,511.0,0.02,0.859095,70.27,4877,-0.007836,0.002545,2.705539,0.005129,0.056091,0.927523,0.96543,-0.995321,1.77642,1.74654,0.953035,0.94145,1.178004,0.0
400,307200,0.0002908064516129032,511.1,0.01,0.915709,64.28,4997,-0.008963,0.001399,2.667619,0.005859,0.073334,0.956553,0.973312,-0.607422,1.768592,1.734146,0.915567,0.916501,1.250404,0.0
410,314880,0.00029057603686635943,510.7,0.03,0.901828,60.56,5126,-0.007305,0.001721,2.586727,0.005334,0.057922,0.959139,0.96801,-0.261274,1.696458,1.683684,0.861618,0.881217,1.147474,0.0
420,322560,0.00029034562211981564,510.7,0.03,0.888145,56.07,5269,-0.008356,0.002397,2.598118,0.005403,0.063141,0.919578,0.952999,-0.697818,1.627125,1.68501,0.856087,0.903023,1.246273,0.0
430,330240,0.00029011520737327184,510.8,0.04,0.894526,51.77,5410,-0.008825,0.004516,2.679244,0.006037,0.071625,0.88638,0.890758,-0.030385,1.744884,1.767568,0.914248,0.897181,1.139261,0.0
440,337920,0.0002898847926267281,510.9,0.04,0.928368,49.22,5557,-0.009022,0.001896,2.667146,0.006448,0.083191,0.950699,0.95899,-0.194762,1.807173,1.781388,0.925221,0.877735,0.833223,0.0
