update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1100,844800,0.0001987096774193548,506.8,0.11,1.080668,70.17,18634,-0.00827,0.014526,0.004414,2.600247,0.005424,0.067352,0.689035,0.504173,-0.586377,0.032322,0.866927,0.0,0.998698,1.202403,1.0,0.026654,0.006651,0.000697,0.965998,1.0
1150,883200,0.00019410138248847925,507.0,0.1,0.971735,71.5,19157,-0.007832,0.014771,0.005587,2.608696,0.005401,0.064728,0.675945,0.666924,-0.012469,0.192919,0.844401,0.005208,0.985677,1.164634,2.0,0.035967,0.009982,0.000886,0.953165,1.0
1200,921600,0.0001894930875576037,507.4,0.06,0.923106,75.94,19673,-0.006512,0.001913,0.002754,2.558866,0.005338,0.063141,0.951218,0.668055,-0.828345,-0.026039,0.940885,0.0,1.0,0.846744,0.0,0.052184,0.016986,0.001186,0.929643,1.0
1250,960000,0.00018488479262672807,508.8,0.07,0.934014,67.03,20239,-0.006591,0.0034,0.006487,2.543048,0.004525,0.049774,0.90246,0.201178,-0.501101,0.534874,0.890495,0.0,0.994792,1.068233,1.0,0.076364,0.032466,0.001546,0.889624,1.0
1300,998400,0.00018027649769585251,509.7,0.13,0.98416,84.4,20762,-0.006636,0.008641,0.003541,2.702614,0.005223,0.06073,0.775667,0.595832,-0.553419,0.523093,0.90625,0.0,0.990885,1.063212,1.0,0.178416,0.153446,0.003035,0.665103,1.0
1350,1036800,0.00017566820276497695,504.9,0.05,0.93704,24.21,21685,-0.005901,0.010005,0.000278,1.765034,0.00396,0.043762,0.869673,0.055031,-0.996529,0.583357,0.19388,0.0,0.147135,2.883646,2.0,0.301696,0.270308,0.003791,0.424205,1.0
1400,1075200,0.00017105990783410134,503.6,0.04,0.920693,33.22,23013,-0.006191,0.00854,0.000289,2.031329,0.004952,0.06189,0.8378,0.543907,-0.829044,0.250154,0.266146,0.0,0.141927,2.505056,1.0,0.153956,0.014958,0.001515,0.829571,1.0
1450,1113600,0.00016645161290322578,504.6,0.04,0.883686,42.49,24066,-0.006515,0.010956,0.000838,2.286139,0.004594,0.052582,0.794705,0.360365,-0.63062,0.023502,0.402083,0.0,0.213542,2.157261,1.0,0.185882,0.013255,0.001574,0.799288,1.0
1500,1152000,0.00016184331797235022,500.4,0.16,1.077972,52.97,24879,-0.007642,0.007963,0.001845,2.456284,0.004815,0.056946,0.746509,0.443189,-0.400252,-0.278305,0.530078,0.0,0.529948,1.948816,0.0,0.409905,0.024059,0.002894,0.563143,1.0
1550,1190400,0.0001572350230414746,502.6,0.37,1.27078,57.26,25578,-0.006852,0.023008,0.003381,2.62004,0.004239,0.041229,0.633724,0.675621,0.062172,0.417301,0.557682,0.238281,0.588542,1.902983,6.0,0.860034,0.040088,0.004146,0.095733,0.0
1600,1228800,0.00015262672811059907,504.2,0.39,1.373625,79.81,26141,-0.00643,0.02015,0.004193,2.59033,0.004173,0.04541,0.716792,0.727372,0.408516,0.363844,0.627474,0.126302,0.765625,1.749608,2.0,0.935005,0.031871,0.002978,0.030147,0.0
1650,1267200,0.0001480184331797235,505.8,0.56,1.567652,92.25,26606,-0.006861,0.024872,0.002285,2.710933,0.005116,0.059692,0.547995,0.7686,0.323301,0.214159,0.648177,0.026042,0.841146,1.734243,3.0,0.95434,0.027473,0.002224,0.015963,0.0
1700,1305600,0.00014341013824884793,508.3,0.35,1.301917,104.38,26977,-0.006437,0.020306,0.002946,2.792013,0.004191,0.042358,0.636135,0.755981,0.578746,0.340955,0.742578,0.011719,0.958333,1.449368,3.0,0.962409,0.025589,0.001752,0.01025,0.0
1750,1344000,0.00013880184331797234,508.2,0.51,1.494034,79.84,27387,-0.007392,0.028614,0.003149,2.714715,0.004791,0.058289,0.423017,0.645121,0.288117,0.267654,0.719922,0.035156,0.910156,1.535078,4.0,0.96642,0.024195,0.001439,0.007946,0.0
1800,1382400,0.00013419354838709675,507.7,0.43,1.445635,86.63,27835,-0.007301,0.011867,0.002258,2.749464,0.004824,0.057617,0.772817,0.639289,0.41221,0.525276,0.782943,0.040365,0.947917,1.359054,3.0,0.96865,0.023925,0.001213,0.006212,0.0
1850,1420800,0.0001295852534562212,506.2,0.5,1.516099,98.98,28247,-0.006486,0.029421,0.004661,2.803185,0.004979,0.061188,0.321216,0.621308,0.077026,0.684126,0.708333,0.0625,0.890625,1.561453,9.0,0.968412,0.025523,0.001043,0.005022,0.0
1900,1459200,0.0001249769585253456,506.0,0.51,1.486868,90.01,28742,-0.004842,0.021242,0.002878,2.831103,0.003437,0.027527,0.599615,0.684877,0.286737,0.515045,0.761979,0.03776,0.940104,1.451716,5.0,0.969819,0.025104,0.000913,0.004164,0.0
1950,1497600,0.00012036866359447005,501.0,0.51,1.524777,90.49,29200,-0.005453,0.016592,0.003,2.868266,0.003874,0.04483,0.759448,0.72736,0.612993,0.4382,0.726693,0.03776,0.914062,1.535364,3.0,0.972136,0.023521,0.000811,0.003532,0.0
2000,1536000,0.00011576036866359445,504.3,0.6,1.656757,85.08,29646,-0.007539,0.026943,0.002656,2.810666,0.005751,0.074921,0.472759,0.742515,0.393998,0.711032,0.730208,0.022135,0.929688,1.569222,5.0,0.97465,0.021547,0.000726,0.003076,0.0
2050,1574400,0.00011115207373271889,506.7,0.52,1.538525,82.63,30043,-0.00464,0.006243,0.001355,2.742384,0.003414,0.023071,0.701565,0.836082,0.116014,0.826923,0.672005,0.028646,0.915365,1.653493,8.0,0.974188,0.022453,0.000654,0.002705,0.0
2100,1612800,0.00010654377880184331,507.5,0.61,1.640376,100.77,30428,-0.006478,0.00931,0.002336,2.86274,0.004461,0.043884,0.823135,0.749756,0.532992,0.875766,0.780339,0.104167,0.953125,1.414304,5.0,0.974042,0.02297,0.000594,0.002394,0.0
2150,1651200,0.00010193548387096775,506.4,0.42,1.430685,97.29,30803,-0.004619,0.013792,0.001717,2.848526,0.004206,0.03891,0.745779,0.866401,0.308477,0.736617,0.67487,0.078125,0.839844,1.643309,3.0,0.973242,0.024047,0.000543,0.002168,0.0
