update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,489.6,0.0,0.764962,49.333333,6,-0.006187,0.023825,0.031798,3.306294,0.004782,0.047455,0.431809,-0.499332,-0.186522,0.14292,0.9625,0.011719,1.0,0.917387,0.0,0.244344,0.256872,0.241913,0.256872,1.0
50,38400,0.00029774193548387094,524.8,0.01,0.885657,37.15,948,-0.005614,0.005533,0.001338,2.117174,0.005452,0.055756,0.81183,0.0595,-1.60852,-1.990507,0.172135,0.0,0.11849,3.099388,0.0,0.139653,0.066708,0.044614,0.749025,1.0
100,76800,0.0002954377880184332,513.8,0.04,0.911145,40.18,1973,-0.006783,0.004041,0.001038,2.686275,0.004501,0.050018,0.881988,0.467069,-1.844918,-1.761377,0.401693,0.0,0.213542,2.266776,0.0,0.059368,0.013291,0.00992,0.917421,1.0
150,115200,0.00029313364055299536,505.2,0.05,0.908728,42.02,2986,-0.00817,0.002855,0.001275,2.749445,0.005633,0.072266,0.895785,0.646878,-0.640727,-1.707187,0.570182,0.002604,0.509115,1.904008,0.0,0.038752,0.007251,0.004979,0.949017,1.0
200,153600,0.00029082949308755754,514.0,0.17,1.08931,60.38,3692,-0.006662,0.014567,0.001831,2.698482,0.005996,0.075104,0.387864,0.660709,-0.003748,-1.32528,0.61862,0.044271,0.592448,1.772886,3.0,0.028417,0.004843,0.0031,0.96364,1.0
250,192000,0.00028852534562211977,514.5,0.04,0.920927,79.29,4185,-0.008611,0.002369,0.00429,2.796217,0.005591,0.065491,0.925732,0.454437,-0.068061,-1.388108,0.735807,0.0,0.829427,1.483093,0.0,0.022004,0.003543,0.002121,0.972332,1.0
300,230400,0.000286221198156682,511.5,0.04,0.895487,66.48,4738,-0.007146,0.002354,0.00413,2.825439,0.0053,0.061371,0.930654,0.594272,0.055446,-0.354134,0.807161,0.0,0.953125,1.294829,0.0,0.017464,0.002689,0.001523,0.978324,1.0
350,268800,0.00028391705069124424,514.0,0.06,0.903662,82.0,5209,-0.005422,0.005345,0.003934,2.826825,0.004276,0.039398,0.748102,0.469303,-0.34089,0.244576,0.829427,0.0,0.977865,1.250767,1.0,0.014224,0.002115,0.001142,0.98252,1.0
400,307200,0.0002816129032258064,515.8,0.05,0.941829,82.35,5655,-0.006903,0.003677,0.002981,2.769115,0.004699,0.052032,0.858879,0.504022,0.063691,0.235202,0.825651,0.0,0.998698,1.252996,0.0,0.011852,0.001711,0.000888,0.985549,1.0
450,345600,0.00027930875576036865,512.3,0.1,0.975798,86.39,6122,-0.007332,0.002072,0.005115,2.670094,0.005219,0.057159,0.913624,0.077418,-0.134009,0.354989,0.820052,0.0,0.954427,1.31194,0.0,0.010198,0.001438,0.000724,0.98764,1.0
500,384000,0.0002770046082949309,506.0,0.28,1.150021,113.13,6486,-0.009054,0.007715,0.003126,2.749048,0.006941,0.100494,0.819801,0.827069,0.757439,0.724011,0.837891,0.027344,0.96875,1.272116,2.0,0.009325,0.0013,0.000639,0.988736,1.0
550,422400,0.00027470046082949306,503.0,0.2,1.072259,105.55,6844,-0.008265,0.011646,0.003465,2.691201,0.007351,0.101257,0.750004,0.730757,-0.535573,0.137553,0.86849,0.003906,1.0,1.217237,3.0,0.00869,0.001202,0.000579,0.989529,1.0
600,460800,0.00027239631336405524,504.3,0.13,0.961888,117.99,7174,-0.006849,0.011467,0.005966,2.726944,0.006075,0.081116,0.787659,0.220737,0.268249,0.371721,0.858203,0.011719,0.960938,1.228975,2.0,0.00794,0.001088,0.000512,0.99046,1.0
650,499200,0.0002700921658986175,502.2,0.04,0.896535,83.04,7613,-0.00874,0.001479,0.003816,2.844252,0.00647,0.080994,0.922061,0.327248,-1.32089,-0.178738,0.860417,0.0,0.927083,1.158201,0.0,0.007109,0.000962,0.000442,0.991488,1.0
700,537600,0.0002677880184331797,501.8,0.01,0.886624,78.74,8129,-0.007258,0.001761,0.004324,2.809073,0.005236,0.058014,0.953624,0.428562,-0.822604,-0.968296,0.927344,0.0,0.99349,1.017674,0.0,0.006279,0.000836,0.000376,0.992509,1.0
750,576000,0.00026548387096774194,498.0,0.09,0.950728,58.85,8723,-0.007752,0.004321,0.003582,2.780881,0.005837,0.07547,0.840092,0.526049,0.018853,0.728795,0.902865,0.020833,0.94401,0.996668,2.0,0.005633,0.000742,0.000326,0.993299,1.0
800,614400,0.0002631797235023041,501.3,0.05,0.894543,72.66,9227,-0.006255,0.002175,0.003828,2.750203,0.005155,0.053345,0.948051,0.325395,-1.059701,0.336758,0.941276,0.0,0.998698,0.96432,0.0,0.005102,0.000666,0.000287,0.993945,1.0
850,652800,0.0002608755760368663,499.5,0.09,0.964471,73.0,9775,-0.007497,0.012593,0.004102,2.768085,0.006425,0.082611,0.791034,0.420345,-0.740323,0.323214,0.903906,0.0,0.981771,1.075955,2.0,0.004617,0.000597,0.000252,0.994534,1.0
900,691200,0.00025857142857142854,501.7,0.06,0.900211,70.97,10279,-0.007008,0.009308,0.005481,2.875193,0.005131,0.062866,0.806062,0.385603,-0.87867,-0.08184,0.940365,0.0,0.997396,0.927732,1.0,0.004206,0.000539,0.000224,0.99503,1.0
950,729600,0.00025626728110599077,501.8,0.13,1.021201,72.14,10792,-0.008205,0.005009,0.007683,2.821915,0.005546,0.059174,0.826233,0.181256,0.057603,0.38618,0.916927,0.0,1.0,1.019163,0.0,0.003866,0.000492,0.000201,0.995441,1.0
1000,768000,0.00025396313364055295,502.0,0.05,0.928948,85.8,11250,-0.008081,0.001468,0.003937,2.795851,0.005437,0.056702,0.961814,0.383943,0.475949,-0.268082,0.944141,0.0,1.0,0.935671,0.0,0.003564,0.000451,0.000181,0.995803,1.0
1050,806400,0.0002516589861751152,505.5,0.05,0.913497,75.03,11705,-0.009202,0.002717,0.005075,2.848721,0.005834,0.071106,0.897288,0.080804,-1.043116,0.056146,0.907943,0.0,1.0,1.017626,0.0,0.003256,0.000409,0.000162,0.996174,1.0
1100,844800,0.0002493548387096774,502.2,0.07,0.912189,88.28,12170,-0.008745,0.006577,0.0037,2.747416,0.006467,0.081329,0.84352,0.490109,-0.399827,0.477554,0.880599,0.0,1.0,1.16472,1.0,0.002987,0.000372,0.000145,0.996495,1.0
1150,883200,0.0002470506912442396,504.0,0.02,0.878822,85.4,12620,-0.0078,0.001361,0.005995,2.801422,0.004887,0.048828,0.959828,0.343077,-0.617267,-0.170964,0.890755,0.0,1.0,1.109076,0.0,0.002749,0.000339,0.000131,0.996781,1.0
1200,921600,0.00024474654377880183,512.1,0.06,0.882431,90.28,13039,-0.008518,0.001519,0.005312,2.756816,0.00496,0.055389,0.959153,0.432115,0.573988,0.787163,0.907943,0.0,0.998698,1.002725,0.0,0.002539,0.00031,0.000119,0.997032,1.0
1250,960000,0.00024244239631336404,511.7,0.03,0.909723,82.45,13461,-0.008283,0.001561,0.004518,2.687947,0.005229,0.061005,0.959347,0.262109,-0.043724,0.082868,0.86862,0.0,0.989583,1.183157,0.0,0.002363,0.000287,0.000109,0.997242,1.0
1300,998400,0.00024013824884792622,514.1,0.04,0.912622,57.83,13973,-0.007993,0.006472,0.004438,2.905125,0.00527,0.057281,0.830908,0.241888,-0.645251,0.21379,0.933594,0.0,1.0,1.001474,1.0,0.002203,0.000265,0.0001,0.997432,1.0
1350,1036800,0.00023783410138248845,510.2,0.04,0.922807,63.34,14522,-0.008188,0.001372,0.004558,2.847387,0.004876,0.052246,0.959186,0.29066,-1.571686,-0.40457,0.912109,0.0,0.989583,1.046983,0.0,0.002058,0.000246,9.2e-05,0.997604,1.0
1400,1075200,0.00023552995391705066,512.7,0.15,1.021803,77.25,15028,-0.007826,0.006789,0.004063,2.846447,0.004145,0.04245,0.802718,0.490132,0.069737,0.581194,0.894401,0.032552,0.971354,1.140094,2.0,0.001934,0.00023,8.5e-05,0.997751,1.0
1450,1113600,0.00023322580645161286,514.4,0.09,0.98152,79.83,15495,-0.009719,0.017963,0.005837,2.747677,0.005416,0.066254,0.750129,0.329381,0.343856,0.493542,0.846094,0.010417,0.99349,1.236321,4.0,0.00183,0.000217,7.9e-05,0.997874,1.0
1500,1152000,0.0002309216589861751,515.2,0.11,1.024369,96.96,16005,-0.009141,0.002503,0.003514,2.866264,0.005238,0.056305,0.913133,0.579602,-0.262399,-0.069514,0.860547,0.0,0.992188,1.195786,0.0,0.001732,0.000204,7.4e-05,0.99799,1.0
1550,1190400,0.0002286175115207373,514.1,0.1,0.958868,84.79,16519,-0.007058,0.012025,0.0032,2.824935,0.005527,0.065552,0.664174,0.514035,0.289318,0.441591,0.834115,0.011719,0.960938,1.274445,2.0,0.001656,0.000194,7e-05,0.99808,1.0
1600,1228800,0.00022631336405529954,510.6,0.31,1.282352,76.3,17062,-0.00708,0.016422,0.003875,2.765851,0.005179,0.05191,0.695722,0.588929,0.320336,0.697043,0.753255,0.115885,0.891927,1.456797,3.0,0.001595,0.000185,6.7e-05,0.998153,1.0
1650,1267200,0.00022400921658986172,509.3,0.33,1.28199,74.52,17587,-0.006741,0.017046,0.003138,2.774026,0.004376,0.035706,0.586754,0.513687,0.601435,0.521088,0.796354,0.005208,0.954427,1.459844,3.0,0.001562,0.000181,6.5e-05,0.998192,1.0
1700,1305600,0.00022170506912442395,509.4,0.37,1.355808,67.93,18058,-0.006338,0.024538,0.002765,2.815633,0.00431,0.038605,0.516007,0.565955,0.085056,0.025134,0.797396,0.0,0.946615,1.439366,1.0,0.001535,0.000178,6.4e-05,0.998223,1.0
1750,1344000,0.00021940092165898616,506.4,0.49,1.522032,75.25,18569,-0.007889,0.02579,0.001714,2.665451,0.004016,0.03833,0.201168,0.782378,0.408249,0.710224,0.644141,0.032552,0.723958,1.680846,5.0,0.001526,0.000176,6.3e-05,0.998235,1.0
1800,1382400,0.00021709677419354836,510.5,0.52,1.499065,84.1,19090,-0.008362,0.022372,0.002521,2.790727,0.00541,0.062714,0.462539,0.753631,0.368951,0.603421,0.776693,0.026042,0.94401,1.406742,6.0,0.001532,0.000177,6.4e-05,0.998228,1.0
1850,1420800,0.0002147926267281106,511.7,0.44,1.434968,86.88,19610,-0.009443,0.015795,0.002019,2.804569,0.006233,0.080994,0.766324,0.713869,0.370259,0.603733,0.716016,0.026042,0.861979,1.545509,3.0,0.001546,0.000179,6.4e-05,0.998211,1.0
1900,1459200,0.0002124884792626728,513.0,0.5,1.465761,82.77,20084,-0.00781,0.01061,0.001916,2.863436,0.005554,0.063141,0.694997,0.841759,0.205968,0.766304,0.77513,0.035156,0.929688,1.356856,5.0,0.001557,0.00018,6.5e-05,0.998198,1.0
1950,1497600,0.00021018433179723498,511.5,0.39,1.352908,83.05,20540,-0.0072,0.029662,0.003849,2.873314,0.004688,0.045166,0.512933,0.651521,-0.232516,0.482454,0.861198,0.0,0.996094,1.161995,5.0,0.001574,0.000183,6.5e-05,0.998178,1.0
2000,1536000,0.00020788018433179722,511.3,0.38,1.349639,84.2,21012,-0.007198,0.007259,0.002728,2.868986,0.004915,0.052917,0.876954,0.739701,0.658323,0.875623,0.795313,0.03776,0.981771,1.371944,4.0,0.001584,0.000185,6.6e-05,0.998166,1.0
2050,1574400,0.00020557603686635942,510.8,0.4,1.406207,73.81,21532,-0.008148,0.016891,0.003124,2.855687,0.004689,0.04776,0.626869,0.627917,0.519799,0.724431,0.750391,0.075521,0.966146,1.475943,2.0,0.001598,0.000186,6.6e-05,0.99815,1.0
2100,1612800,0.00020327188940092163,511.2,0.45,1.430693,79.68,22089,-0.008116,0.030955,0.001687,2.908027,0.005184,0.059418,0.437824,0.754524,0.367576,0.179263,0.812891,0.015625,0.984375,1.319864,3.0,0.001611,0.000188,6.7e-05,0.998134,1.0
2150,1651200,0.00020096774193548386,511.1,0.45,1.425804,74.02,22530,-0.008571,0.028483,0.003863,2.86002,0.005286,0.05957,0.303879,0.538531,0.424694,0.695207,0.757161,0.067708,0.963542,1.432008,7.0,0.001642,0.000193,6.8e-05,0.998097,1.0
2200,1689600,0.00019866359447004607,512.4,0.55,1.594267,96.79,22977,-0.009148,0.014809,0.003466,2.885427,0.005407,0.066467,0.815069,0.641374,0.534727,0.568743,0.835938,0.007812,0.997396,1.248269,3.0,0.001661,0.000196,6.9e-05,0.998074,1.0
