update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_success,c_slow,c_team,speed,n_succ,lam0,lam_slow,lam_succ,boot
1,768,0.0003,517.0,0.0,0.705262,44.0,7,-0.006996,0.021463,0.025452,3.307346,0.00479,0.045258,0.565681,0.425045,0.574868,0.964844,1.0,0.911799,0.0,0.322316,0.338842,0.338842,1.0
50,38400,0.0002954838709677419,554.0,0.02,0.85746,34.14,1135,-0.006135,0.007442,0.001027,2.614507,0.005103,0.057037,0.761992,0.409791,-1.997075,0.314453,0.165365,2.453975,1.0,0.160255,0.044869,0.794876,1.0
100,76800,0.00029087557603686633,538.6,0.13,1.037164,46.01,2182,-0.007535,0.017608,0.001714,2.711568,0.006573,0.080078,0.462575,0.45975,-3.001519,0.551562,0.511719,1.898548,2.0,0.073123,0.011604,0.915273,1.0
150,115200,0.00028626728110599074,534.8,0.18,1.050831,51.6,2976,-0.007069,0.017943,0.002524,2.855206,0.004762,0.059174,0.536696,0.472079,-1.841124,0.7375,0.884115,1.495642,5.0,0.050265,0.00688,0.942854,1.0
200,153600,0.0002816589861751152,537.3,0.09,1.00993,50.67,3656,-0.00767,0.014578,0.002081,2.667233,0.006184,0.080536,0.672983,0.686304,-1.26583,0.665755,0.763021,1.637219,3.0,0.037138,0.00472,0.958142,1.0
250,192000,0.0002770506912442396,539.1,0.08,0.996918,59.64,4315,-0.007792,0.004672,0.001911,2.756735,0.005502,0.06665,0.881561,0.678121,-0.168709,0.717578,0.842448,1.549111,1.0,0.027224,0.003211,0.969565,1.0
300,230400,0.00027244239631336403,539.9,0.06,0.876226,69.79,4898,-0.008371,0.005321,0.002509,2.816243,0.006451,0.083282,0.767618,0.493976,-0.271587,0.807943,0.971354,1.336319,0.0,0.020644,0.002292,0.977063,1.0
350,268800,0.00026783410138248845,539.7,0.12,1.029208,76.02,5397,-0.007401,0.003194,0.003666,2.767344,0.004933,0.055023,0.922398,0.227544,0.298642,0.862891,0.996094,1.248323,0.0,0.016669,0.001794,0.981537,1.0
400,307200,0.00026322580645161286,536.4,0.29,1.206068,71.97,5934,-0.00613,0.01641,0.003555,2.621655,0.004642,0.049225,0.513954,0.49313,0.406184,0.814844,0.983073,1.345008,4.0,0.014523,0.001536,0.98394,1.0
450,345600,0.0002586175115207373,533.1,0.32,1.276631,84.73,6459,-0.008823,0.014833,0.002172,2.761072,0.005849,0.073761,0.632665,0.63318,0.163008,0.850911,0.998698,1.291575,0.0,0.013977,0.001478,0.984545,1.0
500,384000,0.00025400921658986174,539.9,0.27,1.232158,87.69,6909,-0.00766,0.013885,0.004521,2.707256,0.005588,0.065308,0.808683,0.456335,0.449238,0.888802,1.0,1.187578,5.0,0.013273,0.00141,0.985316,1.0
550,422400,0.00024940092165898615,538.4,0.24,1.176313,89.52,7357,-0.006536,0.011577,0.002351,2.688889,0.006228,0.075592,0.843272,0.62611,0.538705,0.920443,0.992188,1.136711,2.0,0.01226,0.001304,0.986436,1.0
600,460800,0.00024479262672811057,534.8,0.53,1.506159,89.21,7838,-0.007317,0.016297,0.007571,2.734856,0.005165,0.060394,0.616017,0.22261,0.765206,0.862109,0.989583,1.266726,4.0,0.011962,0.001287,0.986751,1.0
650,499200,0.000240184331797235,538.1,0.47,1.48528,70.79,8360,-0.006802,0.019265,0.001716,2.628614,0.004392,0.045227,0.4325,0.743363,0.712603,0.733203,0.915365,1.558149,8.0,0.012908,0.001418,0.985674,1.0
700,537600,0.00023557603686635942,539.1,0.52,1.553422,76.06,8916,-0.006427,0.017161,0.001978,2.754292,0.005382,0.063843,0.641938,0.724586,0.477639,0.766406,0.942708,1.490226,7.0,0.013822,0.001542,0.984637,1.0
750,576000,0.00023096774193548386,540.9,0.53,1.53513,87.08,9400,-0.007139,0.019412,0.002154,2.801565,0.005376,0.062073,0.652865,0.791744,0.677359,0.790885,0.976562,1.433706,5.0,0.015011,0.00171,0.983279,1.0
800,614400,0.00022635944700460827,540.7,0.34,1.294195,91.49,9843,-0.008229,0.010455,0.002158,2.921992,0.005942,0.075897,0.658334,0.605507,0.546112,0.908464,1.0,1.055019,2.0,0.016312,0.001915,0.981773,1.0
850,652800,0.0002217511520737327,536.4,0.43,1.415598,88.02,10294,-0.008267,0.008971,0.001813,2.774161,0.005787,0.069794,0.495677,0.825682,0.768267,0.785807,0.936198,1.418573,6.0,0.016507,0.001984,0.981509,1.0
900,691200,0.00021714285714285713,537.9,0.63,1.689581,90.38,10748,-0.005595,0.027411,0.002372,2.778523,0.004838,0.049683,0.465135,0.703034,0.739646,0.73776,0.925781,1.562098,4.0,0.018824,0.002333,0.978842,1.0
950,729600,0.00021253456221198154,540.6,0.48,1.472689,75.4,11213,-0.007719,0.03033,0.003196,2.713707,0.00455,0.052795,0.614982,0.591055,0.252518,0.665495,0.821615,1.652309,1.0,0.023285,0.003049,0.973666,1.0
1000,768000,0.00020792626728110595,539.3,0.57,1.588926,108.83,11658,-0.00576,0.026917,0.003517,2.84499,0.004058,0.039459,0.655716,0.713116,0.473374,0.840365,0.986979,1.26094,2.0,0.027637,0.003761,0.968602,1.0
1050,806400,0.00020331797235023042,540.1,0.53,1.557448,83.62,12089,-0.007338,0.022891,0.002691,2.788033,0.005291,0.060913,0.563707,0.647031,0.560594,0.811719,0.976562,1.356813,5.0,0.03613,0.005328,0.958542,1.0
1100,844800,0.0001987096774193548,538.8,0.51,1.567201,57.22,12681,-0.007359,0.042051,0.001506,2.724303,0.004712,0.057678,0.320201,0.48275,0.551232,0.682813,0.808594,1.645671,5.0,0.047924,0.007502,0.944574,1.0
1150,883200,0.00019410138248847925,538.4,0.57,1.562613,79.58,13192,-0.0075,0.011582,0.002045,2.710744,0.005398,0.065125,0.575437,0.789853,0.758689,0.673828,0.859375,1.614586,8.0,0.083018,0.014299,0.902683,1.0
1200,921600,0.0001894930875576037,537.1,0.52,1.551686,60.2,13726,-0.007677,0.020591,0.001653,2.734808,0.005486,0.065125,0.632217,0.776537,0.63567,0.692057,0.841146,1.608593,7.0,0.233246,0.050099,0.716655,1.0
1250,960000,0.00018488479262672807,539.2,0.42,1.426534,57.98,14395,-0.006422,0.02145,0.000896,2.485554,0.00472,0.045715,0.762886,0.685644,0.651418,0.41224,0.222656,2.280084,8.0,0.580946,0.047973,0.371082,0.0
1300,998400,0.00018027649769585251,539.5,0.44,1.452654,61.3,15019,-0.006135,0.026777,0.001427,2.699039,0.004812,0.050201,0.36879,0.734806,0.767637,0.565755,0.613281,1.852304,6.0,0.837534,0.018673,0.143793,0.0
1350,1036800,0.00017566820276497695,538.5,0.6,1.625524,69.22,15574,-0.007864,0.019842,0.00142,2.709421,0.005473,0.066467,0.541424,0.791981,0.718216,0.576563,0.639323,1.837978,6.0,0.925668,0.014097,0.060235,0.0
1400,1075200,0.00017105990783410134,539.8,0.52,1.553649,72.75,16066,-0.007759,0.010847,0.001453,2.721527,0.005063,0.064392,0.652309,0.704159,0.755646,0.622266,0.677083,1.807567,11.0,0.951156,0.01231,0.036534,0.0
1450,1113600,0.00016645161290322578,534.4,0.6,1.645095,88.34,16553,-0.00784,0.024255,0.002899,2.828521,0.005423,0.059998,0.561119,0.642771,0.661005,0.725781,0.938802,1.530023,4.0,0.965421,0.010909,0.02367,0.0
1500,1152000,0.00016184331797235022,539.5,0.69,1.771866,76.34,17025,-0.008153,0.011208,0.001839,2.837857,0.006031,0.082855,0.747648,0.744194,0.781709,0.702214,0.842448,1.596243,9.0,0.971889,0.010577,0.017534,0.0
1550,1190400,0.0001572350230414746,535.4,0.66,1.707137,71.46,17517,-0.007628,0.008884,0.001357,2.858279,0.005097,0.057404,0.66733,0.830661,0.482382,0.713151,0.848958,1.569586,7.0,0.97704,0.01006,0.0129,0.0
1600,1228800,0.00015262672811059907,534.8,0.68,1.745526,82.83,18007,-0.006822,0.021251,0.00178,2.903105,0.005424,0.072906,0.372417,0.739443,0.467194,0.762109,0.964844,1.47566,6.0,0.979702,0.010315,0.009983,0.0
1650,1267200,0.0001480184331797235,539.3,0.59,1.658172,72.83,18513,-0.006802,0.01868,0.002244,2.832597,0.00477,0.051666,0.600086,0.770076,0.68658,0.717708,0.927083,1.546583,7.0,0.981378,0.01039,0.008233,0.0
1700,1305600,0.00014341013824884793,539.7,0.68,1.737004,66.11,19043,-0.006162,0.02414,0.001845,2.799444,0.00449,0.045685,0.464553,0.556333,0.508454,0.719661,0.898438,1.534783,10.0,0.982876,0.009989,0.007135,0.0
1750,1344000,0.00013880184331797234,540.5,0.65,1.738979,66.56,19613,-0.005909,0.016667,0.001419,2.845039,0.004892,0.049438,0.565009,0.80682,0.49948,0.736719,0.911458,1.539693,5.0,0.983935,0.0098,0.006265,0.0
1800,1382400,0.00013419354838709675,539.8,0.69,1.761254,74.03,20142,-0.006342,0.023909,0.001724,2.840392,0.004332,0.047852,0.657779,0.797752,0.484387,0.780729,0.919271,1.436805,6.0,0.984451,0.009941,0.005607,0.0
1850,1420800,0.0001295852534562212,534.6,0.6,1.637508,88.15,20604,-0.006491,0.022682,0.003016,2.941259,0.00497,0.057312,0.710023,0.700523,0.321764,0.899089,1.0,1.152774,2.0,0.984064,0.011086,0.00485,0.0
1900,1459200,0.0001249769585253456,539.7,0.64,1.669415,79.33,21083,-0.006952,0.005414,0.002363,2.906926,0.004857,0.057098,0.879219,0.72532,0.635688,0.816536,0.988281,1.354704,9.0,0.981695,0.0139,0.004404,0.0
1950,1497600,0.00012036866359447005,534.2,0.54,1.584099,80.48,21592,-0.004567,0.011392,0.002158,2.843814,0.003527,0.029633,0.691201,0.658916,0.599039,0.748698,0.955729,1.503967,6.0,0.979079,0.01691,0.004011,0.0
2000,1536000,0.00011576036866359445,539.8,0.57,1.585746,73.32,22166,-0.005209,0.031827,0.001515,2.877092,0.004333,0.048004,0.540307,0.805644,0.125774,0.816667,0.964844,1.359762,3.0,0.978828,0.017378,0.003793,0.0
2050,1574400,0.00011115207373271889,540.9,0.64,1.670902,67.66,22654,-0.005043,0.021273,0.001734,2.901023,0.004046,0.045532,0.519238,0.765986,0.602248,0.806901,0.989583,1.339806,9.0,0.976696,0.019773,0.00353,0.0
2100,1612800,0.00010654377880184331,542.0,0.65,1.728903,90.3,23112,-0.005806,0.015106,0.003229,2.93386,0.005033,0.044098,0.642686,0.52303,0.61614,0.869922,1.0,1.218916,4.0,0.971619,0.025178,0.003203,0.0
2150,1651200,0.00010193548387096775,533.2,0.69,1.717067,83.47,23607,-0.004025,0.013461,0.00236,2.900341,0.003203,0.024536,0.648383,0.73382,0.704768,0.774089,0.891927,1.497215,5.0,0.963808,0.033318,0.002874,0.0
2200,1689600,9.732718894009215e-05,538.0,0.58,1.624026,93.87,24062,-0.005157,0.003745,0.001914,2.917602,0.003475,0.030151,0.930716,0.774987,0.808682,0.812891,0.996094,1.331361,7.0,0.939989,0.057452,0.00256,0.0
2250,1728000,9.271889400921658e-05,539.0,0.55,1.54065,60.14,24568,-0.00628,0.023606,0.001731,2.831168,0.005026,0.049957,0.648924,0.616808,0.499808,0.707682,0.884115,1.577219,7.0,0.90324,0.094459,0.002301,0.0
2300,1766400,8.811059907834102e-05,538.9,0.63,1.645684,75.23,25163,-0.005137,0.013226,0.002045,2.818082,0.00312,0.027588,0.766132,0.645157,0.766188,0.70638,0.891927,1.566772,7.0,0.974798,0.022857,0.002345,0.0
2350,1804800,8.350230414746542e-05,539.2,0.65,1.730793,89.64,25583,-0.004366,0.009388,0.00158,2.961853,0.002622,0.019012,0.766976,0.823231,0.684802,0.78112,0.989583,1.414464,5.0,0.977737,0.020075,0.002187,0.0
2400,1843200,7.889400921658985e-05,539.4,0.49,1.4857,74.9,26001,-0.006706,0.016297,0.002736,2.892945,0.004862,0.041504,0.710056,0.635161,0.492453,0.805078,0.99349,1.360738,5.0,0.9629,0.035099,0.002,0.0
2450,1881600,7.428571428571429e-05,537.1,0.55,1.593923,75.62,26484,-0.004885,0.016821,0.001691,2.745482,0.003984,0.026764,0.677998,0.750016,0.525097,0.686849,0.878906,1.599217,5.0,0.946671,0.051429,0.0019,0.0
2500,1920000,6.967741935483871e-05,539.3,0.77,1.905866,79.31,27045,-0.002768,0.009603,0.001446,2.866026,0.001435,0.002625,0.898366,0.819617,0.810369,0.749609,0.940104,1.458789,5.0,0.978637,0.019506,0.001856,0.0
2550,1958400,6.506912442396311e-05,539.2,0.78,1.869058,76.92,27512,-0.002696,0.011533,0.001294,2.833306,0.00175,0.004333,0.837711,0.794852,0.778736,0.672135,0.861979,1.688289,8.0,0.982784,0.015503,0.001713,0.0
2600,1996800,6.046082949308755e-05,540.3,0.69,1.73069,103.02,27890,-0.004179,0.008451,0.002065,2.9817,0.003136,0.030029,0.837833,0.779343,0.857548,0.773307,0.960938,1.452335,4.0,0.983847,0.014583,0.00157,0.0
2650,2035200,5.585253456221198e-05,539.9,0.71,1.781076,102.82,28248,-0.005001,0.0155,0.001585,2.981257,0.003368,0.0383,0.690698,0.822381,0.60214,0.780339,0.958333,1.439111,4.0,0.980692,0.017873,0.001435,0.0
2700,2073600,5.1244239631336414e-05,539.1,0.65,1.705006,91.01,28642,-0.003442,0.022593,0.00168,3.00657,0.002465,0.016968,0.634107,0.790504,0.547224,0.808464,0.994792,1.380555,6.0,0.977847,0.020809,0.001344,0.0
2750,2112000,4.663594470046081e-05,536.7,0.85,1.981339,119.25,29006,-0.004181,0.001321,0.00115,2.991422,0.00253,0.017975,0.983904,0.90366,0.92783,0.806771,0.986979,1.392347,5.0,0.965678,0.033079,0.001242,0.0
2800,2150400,4.2027649769585247e-05,536.8,0.78,1.890158,106.57,29382,-0.001539,0.017866,0.001199,2.926518,0.000992,0.001953,0.773517,0.859072,0.694195,0.711589,0.894531,1.575142,4.0,0.965241,0.033613,0.001146,0.0
2850,2188800,3.741935483870968e-05,534.3,0.83,1.936908,113.81,29728,-0.003206,0.000689,0.000855,2.91715,0.0025,0.016174,0.983062,0.921524,0.948946,0.626432,0.753906,1.75006,6.0,0.985187,0.013748,0.001066,0.0
2900,2227200,3.2811059907834113e-05,538.2,0.81,1.912733,132.49,30029,-0.002441,0.001388,0.001301,2.958514,0.001089,0.000916,0.98176,0.877428,0.787013,0.739193,0.9375,1.526567,5.0,0.987232,0.011793,0.000975,0.0
2950,2265600,2.8202764976958513e-05,539.9,0.72,1.81601,126.54,30345,-0.002457,0.017754,0.00141,3.017589,0.001059,0.000488,0.756921,0.892416,0.570493,0.827995,0.998698,1.33711,4.0,0.986327,0.012776,0.000897,0.0
3000,2304000,2.3594470046082947e-05,538.4,0.81,1.935493,103.97,30709,-0.001584,0.007874,0.002013,3.006701,0.000742,0.0,0.885794,0.827708,0.910743,0.800911,0.983073,1.411523,6.0,0.982808,0.016353,0.000838,0.0
3050,2342400,1.898617511520738e-05,539.9,0.79,1.857396,118.01,31024,-0.001603,0.001598,0.001358,2.993749,0.000374,0.000122,0.97362,0.883117,0.891871,0.75013,0.93099,1.501625,7.0,0.977294,0.021928,0.000778,0.0
