radius,median,iqr,auc,auc_with_distance,weight_pcf,weight_distance
3.0,0.9624884659138607,0.2737265645890884,0.7058370581827743,0.7123164181346956,0.009158391171386122,1.020399360135531
5.0,0.9022794597431734,0.3928864942046474,0.707855989182286,0.7121286105998572,0.02592493852641432,0.9956296289540651
8.0,0.7825098848617688,0.4537572751796378,0.7054051008526462,0.711837508920858,0.056738426951601605,0.9638568432299118
12.0,0.6754368461159457,0.4046420204479005,0.7012639447094617,0.7127765465950494,0.11031455399144911,0.92145720308885
16.0,0.611740720097782,0.35288593592215983,0.7043345979040679,0.7153964617060437,0.21653015733451803,0.8359394250742689
20.0,0.5721241571474716,0.3032750357465027,0.7108139578559892,0.722749126694963,0.3511585516800199,0.738232602785185
25.0,0.5416481537091078,0.26347456836211214,0.7142883972504976,0.7281861548285318,0.4371254144356069,0.6922671656316505
30.0,0.5169025330944699,0.2197706243302896,0.7111144499117305,0.7298670322653344,0.4529058373530688,0.7121156172727439
35.0,0.49802800642179823,0.19311321532509867,0.698700371858919,0.7285805506516921,0.4201644667850434,0.765889556160591
