pcf_r3,pcf_r5,pcf_r8,pcf_r12,pcf_r16,pcf_r20,pcf_r25,pcf_r30,pcf_r35,receiver_pcf,receiver_x,on_grid,receiver_def_dist,pass_length,lost_in_transit,lost_within_settle
0.9925541161596022,0.9909815894724154,0.9846505207981341,0.9574427664579008,0.8828889895038371,0.7984359672389235,0.7483106426981431,0.6866889130853714,0.6238583086904081,0.992501481137228,54.688194274902344,1,13.815673172980524,11.629364013671875,0,0
0.992194797055419,0.9921515697979901,0.9915771626336685,0.9608292519297673,0.8849943068718152,0.8091868100331373,0.7226305792841922,0.6156115111082693,0.5527919487350775,0.991334566350225,59.00135040283203,1,20.99145432524902,20.39931297302246,0,0
0.9843908438112295,0.9679140102323496,0.9097138992232872,0.7740173337170405,0.6864957810889722,0.6372944300894379,0.6047048584063113,0.5661253582718502,0.5404937871258654,0.9833814578565216,62.05835723876953,1,11.00112413585982,21.11341667175293,0,0
0.9694006958813155,0.9150906041721792,0.8085382847632169,0.7261950164698138,0.6885883245814765,0.6147276408821092,0.5612523900236992,0.5397526793906731,0.523653808289739,0.9602160985050266,63.95717239379883,1,11.180542278605545,9.147503852844238,0,0
0.6951464850258868,0.5150534185272481,0.3433558427521343,0.21850985092596173,0.18516322806655053,0.22912626594921393,0.26247598018715473,0.2930758908241882,0.3270768215235246,0.7087093252196492,82.08686828613281,1,6.030677045639987,23.712539672851562,0,0
0.7637487234695167,0.6785496108515072,0.5903501202403035,0.5241205145731958,0.4844841315536493,0.46576508829930846,0.45553297845717894,0.4510483779368479,0.4416011571229152,0.7701073802463857,69.71820831298828,1,4.728813649654022,15.939520835876465,1,1
0.9916167790574725,0.9918722625807378,0.9918184017355687,0.9876827110511611,0.9561292275607862,0.8782874341374296,0.7594724256164335,0.7003145566736881,0.6739975921199872,0.991838700964387,63.08073425292969,1,21.31484986985859,63.87093734741211,0,0
0.5530001417578236,0.4920096144703462,0.438077967910156,0.3796703872005603,0.3805236679728351,0.40929472285476476,0.41353578914282263,0.43487563880780294,0.4371161413308055,0.5492631469527124,79.169189453125,1,3.1958430130884175,47.01095199584961,0,0
0.9920793058934151,0.9918922335172999,0.9921824745225156,0.9858276306568482,0.9365189276237371,0.8856620556285123,0.852172377783445,0.8306102873467952,0.8124355176862322,0.0,40.62174987792969,0,22.821456939294237,50.198486328125,0,0
0.4996582246218844,0.43724884699906463,0.3399031163320366,0.2549267933113933,0.25388308784273383,0.3027035984110825,0.34474488757385074,0.36788874431549357,0.3666013674893095,0.525888127261263,80.65116119384766,1,2.1456945900152506,51.81676483154297,0,0
