event_id,frame,type,team,pcf_in_area,dist_to_goal_m,kept
197,15152,BALL LOST,Home,0.6419,89.05,0
198,15222,CHALLENGE,Away,0.3225,61.73,0
200,15222,BALL LOST,Away,0.3225,61.73,0
201,15224,CHALLENGE,Home,0.4133,54.92,0
203,15298,PASS,Home,0.4183,67.74,0
205,15300,BALL LOST,Away,0.3721,58.68,0
206,15363,PASS,Home,0.3348,56.16,1
207,15419,PASS,Home,0.3419,46.09,1
208,15430,BALL LOST,Home,0.4359,40.97,0
210,15473,PASS,Away,0.344,85.99,1
211,15521,BALL LOST,Away,0.802,99.92,0
213,15646,PASS,Home,0.4433,58.26,1
214,15690,CHALLENGE,Home,0.4147,64.72,0
216,15690,CHALLENGE,Away,0.3454,42.49,0
218,15917,PASS,Home,0.8488,70.08,1
219,16045,PASS,Home,0.8034,58.02,1
220,16066,PASS,Home,0.1908,51.21,1
221,16094,PASS,Home,0.4787,56.76,1
222,16162,PASS,Home,0.9561,71.67,1
223,16223,PASS,Home,0.3887,75.41,1
224,16252,PASS,Home,0.9491,57.36,1
225,16332,PASS,Home,0.669,62.34,1
226,16383,PASS,Home,0.4028,49.88,1
227,16465,BALL LOST,Home,0.6476,38.07,0
231,17276,BALL LOST,Home,0.9921,33.34,0
235,18203,PASS,Home,0.9919,33.92,1
236,18252,CHALLENGE,Home,0.2313,11.97,0
237,18252,PASS,Home,0.2313,11.97,0
238,18252,CHALLENGE,Away,0.6047,94.36,0
239,18270,SHOT,Home,0.4408,7.21,0
241,18558,PASS,Away,0.9915,101.99,1
242,18725,PASS,Away,0.3924,75.12,1
243,18793,PASS,Away,0.3472,71.83,1
244,18878,PASS,Away,0.3803,84.45,1
245,18931,BALL LOST,Away,0.9748,103.06,0
247,19018,BALL LOST,Home,0.4395,56.79,0
249,19214,PASS,Away,0.9386,58.83,1
250,19269,PASS,Away,0.7187,57.42,1
251,19348,PASS,Away,0.6122,54.09,1
252,19380,PASS,Away,0.419,46.66,1
253,19412,PASS,Away,0.3828,37.65,1
254,19470,SHOT,Away,0.2875,16.37,0
256,19482,PASS,Home,0.9504,102.84,1
257,19529,PASS,Home,0.3632,97.71,1
258,19571,BALL LOST,Home,0.3574,84.41,0
262,20146,BALL LOST,Home,0.8245,73.05,0
263,20182,CHALLENGE,Away,0.6079,59.92,0
265,20182,PASS,Away,0.6079,59.92,0
266,20183,CHALLENGE,Home,0.2216,59.57,0
267,20293,PASS,Away,0.5842,49.55,1
268,20345,BALL LOST,Away,0.8824,46.6,0
270,20362,PASS,Home,0.4368,80.15,1
271,20471,PASS,Home,0.2706,82.74,1
272,20552,PASS,Home,0.3558,63.63,1
273,20622,BALL LOST,Home,0.8164,73.35,0
275,20666,PASS,Away,0.4534,58.63,1
276,20834,PASS,Away,0.4362,66.22,1
277,20904,PASS,Away,0.7997,65.81,1
278,21063,PASS,Away,0.9548,56.09,1
279,21128,PASS,Away,0.4358,53.1,1
280,21294,PASS,Away,0.4837,43.72,1
281,21362,PASS,Away,0.6764,47.9,1
282,21413,PASS,Away,0.4292,38.3,1
283,21437,BALL LOST,Away,0.4406,33.98,0
285,21471,BALL LOST,Home,0.8143,72.69,0
287,21515,PASS,Away,0.645,41.43,1
288,21580,PASS,Away,0.9049,56.22,1
289,21716,PASS,Away,0.8548,52.1,1
290,21811,PASS,Away,0.9824,59.75,1
293,22578,BALL LOST,Home,0.9919,101.76,0
294,22660,CHALLENGE,Away,0.4425,64.62,0
296,22660,BALL LOST,Away,0.4425,64.62,0
297,22661,CHALLENGE,Home,0.3129,55.83,0
299,22665,BALL LOST,Home,0.3142,56.17,0
301,22681,BALL LOST,Away,0.3785,64.59,0
303,22738,BALL LOST,Home,0.454,51.47,0
305,22746,PASS,Away,0.6439,58.7,1
306,22795,PASS,Away,0.5647,65.34,1
307,22814,PASS,Away,0.8222,73.59,1
308,22996,PASS,Away,0.6455,62.99,1
309,23061,PASS,Away,0.7728,62.23,1
310,23146,PASS,Away,0.4046,46.96,1
311,23193,PASS,Away,0.8887,54.89,1
312,23305,PASS,Away,0.6728,50.56,1
313,23320,PASS,Away,0.3031,43.72,1
314,23344,PASS,Away,0.7375,54.57,1
315,23500,PASS,Away,0.9188,55.12,1
316,23578,PASS,Away,0.391,52.64,1
317,23683,PASS,Away,0.5169,39.2,1
318,23729,PASS,Away,0.432,34.61,1
319,23748,PASS,Away,0.3159,24.29,1
320,23812,CHALLENGE,Away,0.3349,32.84,0
321,23812,CHALLENGE,Home,0.4028,76.14,0
322,23846,BALL LOST,Away,0.2955,32.83,0
324,23860,PASS,Home,0.3806,72.08,1
325,23903,BALL LOST,Home,0.2053,74.21,0
327,23909,PASS,Away,0.4659,32.89,1
328,23958,PASS,Away,0.6926,32.06,1
329,24026,BALL LOST,Away,0.5386,29.13,0
331,24035,PASS,Home,0.6284,80.56,1
332,24072,PASS,Home,0.5538,87.37,1
333,24098,BALL LOST,Home,0.7736,90.14,0
335,24186,PASS,Away,0.9325,52.01,1
336,24218,PASS,Away,0.6331,37.46,1
337,24266,PASS,Away,0.5711,36.1,1
