update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_success,c_slow,c_team,speed,n_succ,lam0,lam_slow,lam_succ,boot
1300,998400,0.00018027649769585251,528.5,0.39,1.387011,70.67,14766,-0.006487,0.012449,0.002175,2.80806,0.004471,0.045532,0.731104,0.612718,0.190166,0.838281,0.979167,1.279516,1.0,0.007828,0.000376,0.991795,1.0
1350,1036800,0.00017566820276497695,526.0,0.41,1.409152,66.19,15358,-0.007873,0.021615,0.002391,2.892314,0.004783,0.0495,0.713105,0.639816,0.343342,0.759505,0.947917,1.435671,4.0,0.008377,0.000405,0.991218,1.0
1400,1075200,0.00017105990783410134,525.9,0.5,1.529793,89.76,15845,-0.005732,0.010465,0.002904,2.904195,0.0042,0.039703,0.670635,0.586201,0.623744,0.825391,0.983073,1.313089,8.0,0.008959,0.000434,0.990607,1.0
1450,1113600,0.00016645161290322578,525.8,0.53,1.533578,63.4,16416,-0.007083,0.021708,0.002241,2.834701,0.004577,0.051788,0.37114,0.600202,0.517665,0.70638,0.86849,1.573151,9.0,0.010257,0.000504,0.989239,1.0
1500,1152000,0.00016184331797235022,524.7,0.57,1.60871,70.63,17013,-0.006733,0.042689,0.003899,2.791104,0.004151,0.043884,0.441621,0.488161,0.44575,0.770312,0.959635,1.429751,8.0,0.012788,0.000638,0.986574,1.0
1550,1190400,0.0001572350230414746,525.0,0.62,1.653044,62.79,17536,-0.005594,0.029009,0.002939,2.851822,0.004106,0.039185,0.610441,0.54629,0.45684,0.816276,0.994792,1.28547,6.0,0.018263,0.000967,0.980771,1.0
1600,1228800,0.00015262672811059907,525.2,0.57,1.616816,63.92,18098,-0.005827,0.027126,0.002504,2.81317,0.004286,0.039886,0.555929,0.651599,0.518195,0.762891,0.959635,1.429002,7.0,0.028407,0.001607,0.969986,1.0
1650,1267200,0.0001480184331797235,525.3,0.52,1.541257,58.37,18671,-0.00551,0.032135,0.001759,2.811616,0.003401,0.028748,0.532004,0.740182,0.207882,0.717318,0.904948,1.477851,7.0,0.064244,0.004092,0.931663,1.0
1700,1305600,0.00014341013824884793,527.4,0.66,1.712665,63.01,19294,-0.005226,0.029382,0.00225,2.88859,0.003009,0.02243,0.596175,0.718297,0.258136,0.713411,0.96875,1.519516,9.0,0.370632,0.026066,0.603302,1.0
1750,1344000,0.00013880184331797234,526.8,0.58,1.574985,64.77,19896,-0.006446,0.015011,0.001981,2.85295,0.00492,0.052948,0.56756,0.709405,0.407724,0.774219,0.988281,1.380257,11.0,0.911792,0.020329,0.067879,0.0
