slot,line,mu_u,sd_u,mu_v,sd_v,n
0,back,0.5641602137801048,0.4772584745426941,-1.214801249859748,0.35590312509526745,1508
1,back,0.7988753290655812,0.567998195170582,-0.49893503090372493,0.34408987251059137,1508
2,back,0.8651302253159228,0.62272008376486,-0.008272935921559685,0.360351417241217,1508
3,back,0.795087019578957,0.5883257856194322,0.4806607179400103,0.34936638321601166,1508
4,back,0.542044706850358,0.45946134615785134,1.2113773287194332,0.3688094613098083,1508
5,mid,-0.9103720242934674,0.38975107156993205,-1.2228974526030092,0.4144285636239037,1508
6,mid,-0.8429785286486281,0.45275537936530924,-0.34527928711655076,0.42581244627555637,1508
7,mid,-0.884289653288708,0.45095061015315496,0.36934167636245674,0.43006607227409543,1508
8,mid,-0.9276572883601205,0.3646652855753217,1.2288062333826923,0.38152747953477906,1508
9,fwd,0.0,0.4203508408615435,0.0,0.42012050494973,0
