event_frame,measured_frame,spell_a,spell_b,carrier_team,lost,dist,dx,dy,closing
72730,72730,72699,72819,Away,False,0.5723768426482669,0.4961869019295236,-0.28533105045469614,1.3456085442528776
78265,78265,78239,78299,Home,True,0.9567390492710127,0.9330186069322894,0.21172124956680966,1.1867889774804594
78319,78317,78301,78318,Home,True,0.46923143287720903,-0.43624058522402154,-0.172836018825365,-0.7193717051950507
80085,80085,80084,80164,Home,False,1.3741841310392129,0.08084052161368926,-1.3718042265809007,0.1351857802778826
80220,80220,80197,80338,Home,False,0.5801414327558407,-0.31229998839219014,0.48890980686649926,-3.3541414595342904
83262,83262,83234,83305,Away,False,1.017506622484587,0.27005688755877666,-0.981014273230547,0.752018299528647
84920,84920,84858,84922,Home,True,0.6294961569382325,-0.06660345232982856,-0.6259627718464988,1.0033678602139349
88886,88886,88848,88909,Home,False,0.6172354095480903,-0.08545722501748246,0.6112909401359636,-0.4745650159871461
88912,88908,88848,88909,Home,False,0.7922915960680149,0.4878613467391555,-0.6242734012897392,0.6854227997559127
92072,92072,92021,92119,Home,True,1.5752384175101886,0.29481070691877675,1.5474051567337026,2.85093526292882
92709,92700,92697,92701,Away,True,2.3551576590113807,-0.030626010898382183,-2.354958523256072,2.3186515344761904
92839,92829,92826,92830,Away,True,0.2934192904360539,-0.29341742413912175,0.001046523559270901,-0.6405368090171412
96433,96429,96416,96430,Away,True,0.5447820848743106,0.5435470748445167,0.036661934318442974,2.758692845684766
101530,101530,101523,101531,Away,True,1.113367910441103,1.1122970783601023,-0.048819191631649994,5.154565438953829
104086,104086,104073,104244,Away,True,0.7985418052926251,0.5092553328318232,0.6150837510309907,-1.1815284982534795
104252,104243,104073,104244,Away,True,2.139361942355713,-0.535036576796409,-2.071377653130879,1.0601902525677664
105538,105538,105511,105618,Home,True,1.2973166706706534,1.2160815838199817,-0.4518585237592337,2.9883217225566345
105545,105545,105511,105618,Home,True,0.5970241469153452,0.36705143912307525,-0.47086205308739326,2.3148989586780377
106034,106030,106008,106031,Home,False,0.6149504045043007,0.6074829676580592,-0.09554289092004987,0.6235527892840473
108136,108136,108100,108159,Home,False,2.38353468655273,1.7244460824818617,-1.6454553505376501,-2.6161969604137854
108218,108218,108214,108220,Home,True,0.7340387512931463,0.6293877912467454,0.3777352202661871,1.5150156828108823
108227,108219,108214,108220,Home,True,0.6868523497812303,0.5426568659094037,0.4210578063418147,1.1896107806288734
109058,109058,109036,109059,Home,False,2.1466539649417244,-1.1612309061100117,-1.805454521137253,-1.624447821097543
109083,109083,109060,109084,Home,True,2.759047941591445,1.7049266759709294,-2.169232715400242,1.7999895504299992
109812,109807,109799,109808,Away,True,2.425547764938871,2.130207678470417,-1.1599556916475848,3.827076769289661
109858,109858,109851,109884,Home,False,0.6526788870493639,0.11152180155757489,0.6430805683406624,0.47707514089767333
110001,109997,109905,109998,Home,False,1.7512351386378657,1.0732444162956039,1.3838247481853667,4.459883549432934
114109,114104,114003,114105,Away,True,1.2607360421595026,-0.6978450926498202,-1.049984568774499,0.5585063426868744
115976,115971,115929,115972,Away,True,1.553927559830253,-0.35748530768988807,-1.5122483645175058,1.7175846204128022
115997,115997,115977,116013,Home,False,0.6301085877846769,0.6187030344376316,0.11934566426002541,0.2585405613542274
116601,116596,116484,116597,Away,True,1.566149030584257,-1.552921377976613,-0.20312060413268218,2.6756260739993167
118509,118509,118456,118533,Home,True,3.922872315077312,2.3564941976960108,-3.136217833095314,3.402047857307544
118532,118532,118456,118533,Home,True,2.2234770410328046,0.6163767837204125,-2.1363356038999295,2.65093571340054
125792,125791,125790,125792,Home,False,0.0748675657411099,-0.07486632000993843,0.0004318890701424248,0.0
125923,125923,125919,125937,Home,False,1.0231635489988857,1.0223957898306142,-0.039629495790764746,1.3859602576611183
125940,125936,125919,125937,Home,False,2.542009546874285,-0.18550306231102476,-2.5352319716888316,-4.13061986211311
127555,127550,127527,127551,Away,True,3.207855815774773,3.0313167361614974,-1.0495035873532017,6.193088486803361
127570,127558,127556,127559,Home,False,1.2078919675202706,1.1831077766543197,0.2434317029888719,6.0314758619981514
127678,127676,127586,127677,Home,True,1.4911771253610382,-1.2954625948139253,0.7385024608205317,-2.5349647199589045
127771,127771,127767,127810,Away,False,1.6414621049539937,-1.6391229336714095,0.08760051548038039,-1.195965647988566
128335,128335,128283,128366,Home,True,1.1304966766868454,-0.7072581201485681,0.8819346276702796,0.3538125288189544
128349,128349,128283,128366,Home,True,1.0719850754558051,-1.0099249080952328,0.3594491368870206,-0.972818312378613
128369,128365,128283,128366,Home,True,1.7622958357778646,-1.7578168952433073,-0.12556422897139785,-1.216089887118252
128377,128365,128283,128366,Home,True,1.7622958357778646,-1.7578168952433073,-0.12556422897139785,-1.216089887118252
129912,129912,129912,129915,Away,False,1.9164413713964783,-0.34384909474975456,-1.8853422315430666,2.2648797332302752
132875,132871,132776,132872,Away,False,0.6762142621980066,0.2086191598064885,-0.6432291773245593,-0.17750173681616502
132881,132871,132776,132872,Away,False,0.6762142621980066,0.2086191598064885,-0.6432291773245593,-0.17750173681616502
137211,137207,137200,137208,Home,False,1.5742117683462973,1.5374566608301918,0.3381859069636882,1.2701497410989546
139110,139110,139103,139130,Home,False,0.5588112425497516,0.48606915343967794,0.2756932768031024,0.40076762768436663
139133,139129,139103,139130,Home,False,0.7183613277453007,0.10048267761410959,0.7112989727951885,-0.494909907129673
140893,140893,140746,140909,Away,False,0.7849898559854115,0.2848336907867447,0.7314908356177802,-2.66109601044171
140912,140908,140746,140909,Away,False,2.2084641310195674,1.599966311845544,1.5223079908347648,-2.2347787354470614
141404,141404,141231,141434,Away,False,1.889753461168943,1.7900688545000703,-0.6056580224423739,-1.1592065192699432
