,count,mean,std,min,25%,50%,75%,max,q05,q95
back_line_x,2032.0,36.827912892012904,6.760574304894111,11.377946807040491,32.4828292166679,37.8588520636779,42.09534357592027,48.892107535476384,24.053506215645235,45.751878676086775
mid_line_x,2032.0,52.404885682748905,6.005712035775659,27.660173568791418,49.586953337974705,53.370970863676334,56.956763970320125,62.87569818192088,39.83285245885705,59.90933677523429
line_sep,2032.0,15.576972790736,3.188052224766642,5.352610271425668,13.348641068094535,15.339287010904098,17.57020099348729,28.08539798051249,10.739464427379968,21.242434926915813
back_centroid_y,2032.0,33.913497229141136,10.792390898845087,7.034790836324956,25.181809524690372,34.18014078357615,41.796622408509556,62.72698170485444,16.81927720192797,51.73347145164052
mid_centroid_y,2032.0,33.781982492537885,9.485557520511698,4.463258112513549,27.285036020232695,34.043057160204,40.28232775192897,63.316507347420384,17.86916724842684,49.046357324272364
back_width,2032.0,30.14834557953829,7.528649022063039,3.3720567845808915,25.434942867311392,30.803958917142413,35.18500657016853,61.278510648709414,16.88715549976901,41.595700629554536
mid_width,2032.0,29.753379756281436,8.236898245278912,3.4939774134418116,23.92245508423028,30.560769187258092,36.007457405949395,50.519813260504584,15.290094635739548,42.01186012503528
back_x_scatter,2032.0,5.442587792233913,1.650476413490419,0.653818840921923,4.342234463623673,5.189588602634077,6.4692792906257,11.332284425984101,2.941523297641903,8.469602282614334
mid_x_scatter,2032.0,3.7062820757595256,1.450171203450751,0.26194248195158876,2.733295468349756,3.6761618855584204,4.579684309177699,10.11058626410898,1.3530240724524616,6.317543057063421
back_gap_min,2032.0,2.560140362385032,1.880078161873499,0.0070675725036721815,1.0016095608235105,2.243381698263402,3.7355161137230457,9.751568121139634,0.192377688542752,6.231182680781501
back_gap_max,2032.0,13.388677891269397,4.411986029346905,1.3109703631383098,10.463555883278044,12.878251645560816,15.768475488902116,41.372784508074965,7.226630619635301,21.39728909035982
mid_gap_min,2032.0,6.079755382796862,4.091935738873211,0.007907127128351732,2.774975215207599,5.610432335153055,8.719522284199195,22.48956514168392,0.4395272485027668,13.459422883963294
att_line_x,2032.0,30.157749766422373,7.761649976849049,4.080022653601537,25.216667362149273,30.912765755495954,35.42283552247594,52.49575614218418,16.094653207098247,42.25180866567692
highest_att_x,2032.0,23.673128112265715,8.592574168733076,-2.124191778647247,18.352067874906485,24.574023218082726,29.53048627507319,47.6610779959718,7.288302681147413,36.51510329472294
att_width,2032.0,48.79070980904848,10.752867655709737,16.509132106488888,40.92679045844025,50.62799214332574,57.7649582896325,66.87381501447683,29.166854026788425,62.74627988209456
