,0.05,0.95
att_line_x,16.094653207098247,42.25180866567692
ball_x,13.260625000000001,57.47874999999996
back_line_x,24.053506215645235,45.751878676086775
mid_line_x,39.83285245885705,59.90933677523429
highest_att_x,7.288302681147413,36.51510329472294
ball_y,3.57,64.63824999999997
back_centroid_y,16.81927720192797,51.73347145164052
line_sep,10.739464427379968,21.242434926915813
back_width,16.88715549976901,41.595700629554536
