event_id,d1,n_near,n_block,n_def,presser_line,presser_x,ball_x,ball_y,back_line_x,mid_line_x,back_gap_max,back_width,highest_att_x,att_line_x,rel_back,rel_mid,excursion,committed,engaged
00010fcb-257b-4d21-b643-c030bf8752f9,9.979975448412498,0,1,8,back,64.90540662128402,68.425,22.185,58.755618710386024,46.41996246683552,8.276123089320023,26.40058611136925,72.46564059272497,67.90421647759032,9.669381289613973,22.005037533164476,6.149787910897992,False,False
0013c473-aad5-4068-9800-7605c3d379c7,3.9845097065647113,2,3,9,back,83.46290753807847,80.5,34.935,79.90253636959542,65.27728034954187,14.957347115852471,30.46183626845486,87.46330599743659,85.31926929654861,0.597463630404576,15.222719650458131,3.5603711684830444,True,False
006fd4a7-3531-46b2-abcd-6e95a8768d78,13.385438675132908,0,0,9,back,68.9413550903702,81.375,9.01,63.83868511132552,50.27800436060889,12.078085290808886,39.17108570883391,81.375,71.32445844083233,17.536314888674482,31.09699563939111,5.102669979044677,False,False
009328ee-7377-4168-b1da-135222461755,11.88595070987327,0,0,9,back,62.4381269484596,71.8375,14.62,58.03689672154794,47.61534275156158,13.626178867720515,33.600576209035,71.83749866485596,64.07783314398546,13.800603278452066,24.222157248438428,4.401230226911657,False,False
009c27b9-31c4-44ef-9817-22f1a84752ff,1.8808638137707188,3,3,9,back,72.52696787918481,73.0625,65.535,74.35283357858741,59.25729427462358,19.08600209122161,38.239498843564775,86.17989139434867,77.6074614739156,-1.2903335785874077,13.805205725376418,-1.8258656994025984,True,True
00a2ab16-04e7-47fe-bd2d-0b62493aae2b,6.573650779056086,0,1,9,back,69.04805036497572,74.9,7.055000000000001,69.05595311972027,50.26748512155018,21.884036615172107,39.88115945318215,74.89999866485596,73.12467533489925,5.844046880279734,24.632514878449825,-0.007902754744549156,False,False
00a6112a-348a-48a1-b9ee-d19596d5c1ce,0.9116600979708613,2,3,9,back,72.10696326934334,72.01249999999999,8.924999999999999,65.65448105982517,51.61503679881353,12.406980740679018,25.096834266089733,80.11280467666714,73.6338956174741,6.358018940174816,20.39746320118646,6.452482209518166,True,True
010965db-9f19-4633-8432-2e1152362977,6.7744811485085314,0,3,8,back,62.80362073245539,58.1,21.08,58.83229493366425,44.717820886266736,15.741538461646169,31.390907834825768,66.39898149798194,58.89423314444935,-0.7322949336642495,13.382179113733265,3.971325798791142,False,False
01126bd9-5b8b-429a-a08e-0068e3325f58,7.438505688421432,0,1,9,back,88.54129972880179,94.85,37.315,75.69352955042123,52.57925748538912,12.056522367468888,30.773997056039875,94.84999966621399,84.53362660671375,19.156470449578762,42.27074251461087,12.847770178380557,False,False
011710d3-260d-4109-8ea2-0bce76e2e511,11.794303903148537,0,0,9,back,73.9461052715233,81.8125,46.41,68.29017615618439,54.20896331827005,12.94687402892508,34.48674012871837,88.9953437217045,81.2609348807654,13.522323843815613,27.60353668172995,5.655929115338907,False,False
0133ac23-6745-483d-acd0-2d8d3f41cbf4,1.4818576959010066,1,2,9,back,62.30206511793554,61.25,14.364999999999998,60.46893976910674,45.562566858433435,10.819801346207411,38.77008840528599,72.35449401107918,67.91206196854482,0.7810602308932602,15.687433141566565,1.8331253488288013,True,True
01437bca-d86c-4930-ac78-63ba7294b05d,13.481324216060301,0,0,9,back,61.49706368519489,72.975,49.385,63.68189844791642,50.34920184250072,11.796240469373515,26.86652749373521,80.29932615204862,69.65699406039175,9.293101552083577,22.625798157499275,-2.184834762721529,False,False
