ticks,seconds,ball_x,presser,path_m,net_m,any_engaged
49,1.96,83.4305142857143,Away_15,13.750118485889402,13.659548000779543,True
4,0.16,94.1716125,Away_18,0.2592486503497752,0.25921937601190786,True
7,0.28,95.87355,Away_15,0.16057141939538316,0.16044404663308248,True
5,0.2,97.17015,Away_22,0.13169783936770155,0.1315207303051331,True
11,0.44,101.47104545454545,Away_16,0.931452229317768,0.9272455136046749,True
16,0.64,53.03458125,Away_22,0.9186379473172146,0.8498807906994904,True
14,0.56,64.3053,Away_17,0.9145809727486756,0.9035836546219704,True
68,2.72,84.02737720588235,Away_15,14.413833957424117,13.47485447464647,True
4,0.16,92.6121,Away_16,0.26243182694625,0.2618526350831717,True
112,4.48,85.53772500000001,Away_16,20.491007042459856,19.975593988915584,True
2,0.08,101.598,Away_20,0.24042023542122534,0.24042023542122534,True
1,0.04,102.41175,Away_17,0.0,0.0,True
23,0.92,82.05772826086957,Away_23,2.0573662096586545,1.86689576251594,True
10,0.4,80.825955,Away_21,1.4228476765028744,1.4227796445338967,True
7,0.28,84.8373,Away_19,0.6847752235088956,0.6840909606916289,True
6,0.24,87.90477500000001,Away_22,0.1452176390473311,0.14488757710720926,True
8,0.32,91.20824999999999,Away_20,0.4806335805918402,0.47817878497481575,True
7,0.28,94.74765000000001,Away_15,1.0318530778172224,1.0248002061377524,True
9,0.36,50.70251666666667,Away_21,0.7081128605119964,0.7000115805470614,True
11,0.44,60.13865454545455,Away_17,1.351172986401855,1.3506969935555526,True
36,1.44,101.33905833333333,Away_18,3.586742626652459,3.293599848251143,True
3,0.12,99.14835000000001,Away_16,0.11846936291010488,0.11833638873989663,True
9,0.36,55.4491,Away_17,1.1381743929159827,1.1370547919955318,True
21,0.84,56.521,Away_23,3.1439082468845725,3.1203959318650507,True
19,0.76,61.95116052631579,Away_18,4.044922964013004,4.043027050169214,True
21,0.84,48.7271,Away_17,6.0720696817688635,6.069588117236617,True
124,4.96,61.58857137096774,Away_22,26.337516118789736,21.7188416625404,True
47,1.88,52.18893191489362,Away_19,13.312199510003293,13.176301430811309,True
28,1.12,84.3298125,Away_18,8.594421338817005,8.592525645146488,True
12,0.48,97.71335,Away_16,1.7533427822724705,1.7531417512853802,True
28,1.12,71.6809125,Away_22,3.406482008681757,3.251713568581968,True
13,0.52,65.64527307692308,Away_23,1.5122835141081286,1.5121458858522856,True
66,2.64,74.49516136363637,Away_19,12.984507519908487,12.223233473414473,True
7,0.28,88.62585,Away_20,0.48980261420256477,0.48911447985109574,True
7,0.28,47.12325,Away_22,0.480577223150662,0.4800426882059543,True
11,0.44,53.535109090909096,Away_21,0.27289837803407324,0.2719664133675388,True
11,0.44,74.69451818181818,Away_16,1.8834294119109036,1.8791710040334202,True
2,0.08,73.950975,Away_16,0.1920556234532004,0.1920556234532004,True
16,0.64,49.051734375,Away_23,2.1784125201277806,2.1705963158542403,True
11,0.44,55.961181818181814,Away_21,0.6602608763156781,0.6517184450359019,True
15,0.6,74.31844,Away_16,1.6553426113183318,1.651575848969696,True
24,0.96,46.31764375,Away_24,5.696818004005611,5.687241398156054,True
11,0.44,48.23117727272727,Away_23,0.32173663310502515,0.32154273759485796,True
45,1.8,80.88707666666667,Away_17,4.835599557219908,4.786672884593224,True
24,0.96,95.05418125,Away_16,6.412869652121982,6.405277733275901,True
59,2.36,74.66315084745763,Away_19,14.933820017652387,14.922686886335182,True
11,0.44,85.01955,Away_17,0.7881086049604633,0.7875370020513359,True
