event_id,match_id,line,slot,x,y,ball_x,ball_y,dx_from_line,attacker_idx
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,back,0.0,47.662007551989845,50.79676932289706,37.1,64.005,8.512022233592958,
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,back,1.0,28.265776330198577,56.80517574800477,37.1,64.005,-10.88420898819831,
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,back,2.0,42.173250332796314,57.2010176736945,37.1,64.005,3.0232650143994277,
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,back,3.0,39.35742573160896,57.56335349630024,37.1,64.005,0.20744041321207618,
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,back,4.0,38.291466645390706,65.99904213814563,37.1,64.005,-0.8585186730061807,
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,mid,5.0,52.0453982413921,37.697928277424154,37.1,64.005,1.692631488144329,
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,mid,6.0,50.42351240291115,55.506535367472424,37.1,64.005,0.0707456496633796,
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,mid,7.0,48.589389615440055,64.0092711039012,37.1,64.005,-1.7633771378077157,
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,att,,34.23925270855848,32.155136243474146,37.1,64.005,9.528333748626455,0.0
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,att,,10.287342203668459,39.599664329021934,37.1,64.005,-14.423576756263568,1.0
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,att,,33.28560211456737,41.086150706268484,37.1,64.005,8.574683154635341,2.0
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,att,,44.952143162053005,47.91248877429383,37.1,64.005,20.24122420212098,3.0
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,att,,27.26576679257002,53.33231752307445,37.1,64.005,2.554847832637993,4.0
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,att,,37.774413421293524,57.08251051394802,37.1,64.005,13.063494461361497,5.0
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,att,,43.93903627740001,58.99679963809508,37.1,64.005,19.22811731746798,6.0
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,att,,51.21142363860174,60.10421276082944,37.1,64.005,26.50050467866971,7.0
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,att,,28.004964728922268,60.83850384272644,37.1,64.005,3.294045768990241,8.0
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,att,,37.80742367703353,61.89437465421706,37.1,64.005,13.096504717101507,9.0
b5a30bf4-0579-43d0-9e97-9261bb0a472b,3930158,att,,37.10000133514404,64.00500259399413,37.1,64.005,12.389082375212016,10.0
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,back,0.0,38.31988469131864,55.48227537779521,41.824999999999996,62.475,-0.20355767999708263,
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,back,1.0,27.657965056343603,56.64666586537493,41.824999999999996,62.475,-10.865477314972122,
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,back,2.0,41.79551586994208,59.89979643373382,41.824999999999996,62.475,3.272073498626355,
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,back,3.0,43.679100468884236,62.825924653590114,41.824999999999996,62.475,5.155658097568512,
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,back,4.0,41.16474577009006,66.39415972520663,41.824999999999996,62.475,2.6413033987743333,
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,mid,5.0,48.86511782563039,35.760146223271285,41.824999999999996,62.475,-0.47406219212759737,
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,mid,6.0,47.11478734512374,50.734600159909746,41.824999999999996,62.475,-2.224392672634252,
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,mid,7.0,49.69508497672383,56.20839417320949,41.824999999999996,62.475,0.3559049589658372,
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,mid,8.0,51.681729923553995,61.58073443291392,41.824999999999996,62.475,2.3425499057960053,
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,att,,32.89645536104757,31.108115728526716,41.824999999999996,62.475,9.54571312935807,0.0
d442c759-5110-452b-9e4e-9a8d131e1fc9,3930158,att,,8.852183281628252,36.897347018564,41.824999999999996,62.475,-14.49855895006125,1.0
