adv_floor,adv_exp,n_events,lam_max,logL,dlogL
0.01,0.4,48,0.2353,-430.1665,-4.5906
0.01,0.6,48,0.2649,-429.3653,-3.7895
0.01,0.8,48,0.297,-428.7472,-3.1714
0.01,1.0,48,0.3318,-428.2973,-2.7215
0.01,1.2,48,0.3693,-428.0023,-2.4265
0.01,1.4,48,0.4096,-427.8498,-2.274
0.01,1.6,48,0.4529,-427.8279,-2.2521
0.01,1.8,48,0.4992,-427.9248,-2.3489
0.01,2.0,48,0.5487,-428.1286,-2.5528
0.01,2.2,48,0.6013,-428.4274,-2.8516
0.01,2.4,48,0.6571,-428.8087,-3.2329
0.01,2.6,48,0.7162,-429.2599,-3.6841
0.01,2.8,48,0.7785,-429.7682,-4.1924
0.01,3.0,48,0.8442,-430.3211,-4.7453
0.01,3.2,48,0.9133,-430.9066,-5.3307
0.01,3.4,48,0.9856,-431.5134,-5.9376
0.01,3.6,48,1.0612,-432.1319,-6.5561
0.01,3.8,48,1.1401,-432.7534,-7.1776
0.01,4.0,48,1.2221,-433.3707,-7.7949
0.01,4.2,48,1.3073,-433.978,-8.4022
0.01,4.4,48,1.3955,-434.5704,-8.9946
0.01,4.6,48,1.4867,-435.1438,-9.5679
0.01,4.8,48,1.5807,-435.6948,-10.119
0.01,5.0,48,1.6774,-436.2207,-10.6449
0.01,5.2,48,1.7768,-436.7194,-11.1436
0.01,5.4,48,1.8785,-437.1892,-11.6134
0.01,5.6,48,1.9826,-437.6291,-12.0532
0.01,5.8,48,2.0888,-438.0383,-12.4625
0.01,6.0,48,2.1969,-438.417,-12.8412
0.01,6.2,48,2.3069,-438.7654,-13.1896
0.01,6.4,48,2.4184,-439.0844,-13.5085
0.01,6.6,48,2.5315,-439.3749,-13.7991
0.01,6.8,48,2.6458,-439.6385,-14.0626
0.01,7.0,48,2.7611,-439.8764,-14.3006
0.01,7.2,48,2.8774,-440.0905,-14.5147
0.01,7.4,48,2.9944,-440.2824,-14.7066
0.01,7.6,48,3.1119,-440.4538,-14.878
0.01,7.8,48,3.2298,-440.6065,-15.0307
0.01,8.0,48,3.3479,-440.7421,-15.1663
0.01,8.2,48,3.466,-440.8623,-15.2865
0.01,8.4,48,3.584,-440.9687,-15.3929
0.01,8.6,48,3.7017,-441.0628,-15.487
0.01,8.8,48,3.819,-441.1461,-15.5703
0.01,9.0,48,3.9357,-441.2199,-15.6441
0.01,9.2,48,4.0517,-441.2856,-15.7098
0.01,9.4,48,4.1669,-441.3443,-15.7685
0.01,9.6,48,4.2812,-441.3972,-15.8214
0.01,9.8,48,4.3944,-441.4453,-15.8695
0.01,10.0,48,4.5065,-441.4896,-15.9138
0.01,10.2,48,4.6173,-441.5309,-15.9551
0.01,10.4,48,4.7268,-441.57,-15.9942
0.01,10.6,48,4.8349,-441.6076,-16.0318
0.01,10.8,48,4.9416,-441.6444,-16.0686
0.01,11.0,48,5.0467,-441.681,-16.1051
0.01,11.2,48,5.1502,-441.7177,-16.1419
0.01,11.4,48,5.2521,-441.7552,-16.1793
0.01,11.6,48,5.3524,-441.7937,-16.2178
0.01,11.8,48,5.4509,-441.8335,-16.2577
0.01,12.0,48,5.5477,-441.8751,-16.2992
0.01,12.2,48,5.6428,-441.9185,-16.3427
0.01,12.4,48,5.736,-441.964,-16.3882
0.01,12.6,48,5.8275,-442.0118,-16.436
0.01,12.8,48,5.9172,-442.062,-16.4861
0.01,13.0,48,6.0051,-442.1146,-16.5387
0.01,13.2,48,6.0912,-442.1697,-16.5939
0.01,13.4,48,6.1755,-442.2273,-16.6515
0.01,13.6,48,6.2581,-442.2876,-16.7117
0.01,13.8,48,6.3388,-442.3503,-16.7745
0.01,14.0,48,6.4178,-442.4155,-16.8397
0.01,14.2,48,6.4951,-442.4832,-16.9074
0.01,14.4,48,6.5706,-442.5533,-16.9775
0.01,14.6,48,6.6445,-442.6256,-17.0498
0.01,14.8,48,6.7166,-442.7002,-17.1244
0.01,15.0,48,6.7871,-442.7768,-17.201
0.01,15.2,48,6.856,-442.8555,-17.2797
0.01,15.4,48,6.9233,-442.936,-17.3602
0.01,15.6,48,6.989,-443.0182,-17.4424
0.01,15.8,48,7.0531,-443.1021,-17.5262
0.01,16.0,48,7.1157,-443.1874,-17.6116
0.02,0.4,48,0.2346,-430.1905,-4.6147
0.02,0.6,48,0.2637,-429.3963,-3.8205
0.02,0.8,48,0.2951,-428.7802,-3.2044
0.02,1.0,48,0.3291,-428.3257,-2.7499
0.02,1.2,48,0.3655,-428.0172,-2.4414
0.02,1.4,48,0.4046,-427.84,-2.2642
0.02,1.6,48,0.4463,-427.7795,-2.2037
0.02,1.8,48,0.4907,-427.8211,-2.2452
0.02,2.0,48,0.5378,-427.95,-2.3742
0.02,2.2,48,0.5877,-428.1516,-2.5758
0.02,2.4,48,0.6403,-428.4114,-2.8356
0.02,2.6,48,0.6957,-428.7154,-3.1396
0.02,2.8,48,0.7537,-429.0507,-3.4748
0.02,3.0,48,0.8145,-429.4053,-3.8295
0.02,3.2,48,0.8778,-429.7693,-4.1934
0.02,3.4,48,0.9437,-430.1339,-4.5581
0.02,3.6,48,1.0121,-430.4922,-4.9164
0.02,3.8,48,1.0828,-430.8387,-5.2629
0.02,4.0,48,1.1558,-431.169,-5.5932
0.02,4.2,48,1.2308,-431.4797,-5.9039
0.02,4.4,48,1.3079,-431.7684,-6.1925
0.02,4.6,48,1.3868,-432.0333,-6.4574
0.02,4.8,48,1.4674,-432.2733,-6.6975
0.02,5.0,48,1.5495,-432.4881,-6.9122
0.02,5.2,48,1.6329,-432.6776,-7.1017
0.02,5.4,48,1.7176,-432.8424,-7.2665
0.02,5.6,48,1.8033,-432.9834,-7.4076
0.02,5.8,48,1.8898,-433.102,-7.5261
0.02,6.0,48,1.9769,-433.1995,-7.6237
0.02,6.2,48,2.0646,-433.2777,-7.7019
0.02,6.4,48,2.1526,-433.3383,-7.7625
0.02,6.6,48,2.2407,-433.3831,-7.8073
0.02,6.8,48,2.3288,-433.414,-7.8381
0.02,7.0,48,2.4168,-433.4326,-7.8568
0.02,7.2,48,2.5045,-433.4408,-7.865
0.02,7.4,48,2.5917,-433.4401,-7.8643
0.02,7.6,48,2.6784,-433.4322,-7.8564
0.02,7.8,48,2.7644,-433.4183,-7.8425
0.02,8.0,48,2.8495,-433.4,-7.8242
0.02,8.2,48,2.9338,-433.3783,-7.8025
0.02,8.4,48,3.017,-433.3545,-7.7787
0.02,8.6,48,3.0991,-433.3295,-7.7536
0.02,8.8,48,3.1801,-433.3041,-7.7283
0.02,9.0,48,3.2598,-433.2794,-7.7035
0.02,9.2,48,3.3381,-433.2558,-7.68
0.02,9.4,48,3.4151,-433.2341,-7.6582
0.02,9.6,48,3.4907,-433.2147,-7.6389
0.02,9.8,48,3.5649,-433.1981,-7.6223
0.02,10.0,48,3.6375,-433.1847,-7.6089
0.02,10.2,48,3.7086,-433.1748,-7.599
0.02,10.4,48,3.7782,-433.1686,-7.5928
0.02,10.6,48,3.8463,-433.1663,-7.5905
0.02,10.8,48,3.9128,-433.168,-7.5922
0.02,11.0,48,3.9777,-433.1739,-7.5981
0.02,11.2,48,4.0411,-433.1839,-7.6081
0.02,11.4,48,4.1029,-433.1981,-7.6223
0.02,11.6,48,4.1632,-433.2165,-7.6407
0.02,11.8,48,4.222,-433.2389,-7.6631
0.02,12.0,48,4.2792,-433.2654,-7.6896
0.02,12.2,48,4.335,-433.2958,-7.72
0.02,12.4,48,4.3893,-433.33,-7.7542
0.02,12.6,48,4.4421,-433.3679,-7.792
0.02,12.8,48,4.4935,-433.4092,-7.8334
0.02,13.0,48,4.5435,-433.4539,-7.8781
0.02,13.2,48,4.5921,-433.5019,-7.926
0.02,13.4,48,4.6394,-433.5528,-7.977
0.02,13.6,48,4.6853,-433.6065,-8.0307
0.02,13.8,48,4.73,-433.6629,-8.0871
0.02,14.0,48,4.7734,-433.7218,-8.1459
0.02,14.2,48,4.8156,-433.7829,-8.2071
0.02,14.4,48,4.8565,-433.8461,-8.2703
0.02,14.6,48,4.8964,-433.9112,-8.3354
0.02,14.8,48,4.935,-433.978,-8.4022
0.02,15.0,48,4.9726,-434.0463,-8.4705
0.02,15.2,48,5.0091,-434.1161,-8.5402
0.02,15.4,48,5.0445,-434.1869,-8.6111
0.02,15.6,48,5.079,-434.2589,-8.683
0.02,15.8,48,5.1124,-434.3316,-8.7558
0.02,16.0,48,5.1449,-434.4051,-8.8293
0.03,0.4,48,0.2339,-430.2145,-4.6387
0.03,0.6,48,0.2625,-429.4275,-3.8516
0.03,0.8,48,0.2933,-428.8138,-3.238
0.03,1.0,48,0.3264,-428.3555,-2.7796
0.03,1.2,48,0.3618,-428.0353,-2.4595
0.03,1.4,48,0.3996,-427.8367,-2.2609
0.03,1.6,48,0.4398,-427.7433,-2.1674
0.03,1.8,48,0.4824,-427.7387,-2.1629
0.03,2.0,48,0.5273,-427.807,-2.2312
0.03,2.2,48,0.5747,-427.9326,-2.3568
0.03,2.4,48,0.6243,-428.101,-2.5252
0.03,2.6,48,0.6763,-428.2989,-2.723
0.03,2.8,48,0.7304,-428.5144,-2.9386
0.03,3.0,48,0.7867,-428.7377,-3.1619
0.03,3.2,48,0.845,-428.9607,-3.3848
0.03,3.4,48,0.9053,-429.1769,-3.6011
0.03,3.6,48,0.9673,-429.3815,-3.8056
0.03,3.8,48,1.031,-429.5708,-3.9949
0.03,4.0,48,1.0962,-429.7422,-4.1663
0.03,4.2,48,1.1628,-429.894,-4.3181
0.03,4.4,48,1.2306,-430.0253,-4.4494
0.03,4.6,48,1.2995,-430.1357,-4.5599
0.03,4.8,48,1.3692,-430.2257,-4.6498
0.03,5.0,48,1.4397,-430.2958,-4.7199
0.03,5.2,48,1.5107,-430.3471,-4.7713
0.03,5.4,48,1.5821,-430.3811,-4.8053
0.03,5.6,48,1.6537,-430.3993,-4.8235
0.03,5.8,48,1.7254,-430.4034,-4.8276
0.03,6.0,48,1.797,-430.3951,-4.8193
0.03,6.2,48,1.8683,-430.3763,-4.8005
0.03,6.4,48,1.9393,-430.3487,-4.7729
0.03,6.6,48,2.0098,-430.3139,-4.738
0.03,6.8,48,2.0797,-430.2734,-4.6976
0.03,7.0,48,2.1489,-430.2289,-4.6531
0.03,7.2,48,2.2172,-430.1816,-4.6058
0.03,7.4,48,2.2846,-430.1327,-4.5569
0.03,7.6,48,2.3509,-430.0834,-4.5076
0.03,7.8,48,2.4162,-430.0347,-4.4589
0.03,8.0,48,2.4803,-429.9874,-4.4116
0.03,8.2,48,2.5433,-429.9424,-4.3665
0.03,8.4,48,2.6049,-429.9001,-4.3243
0.03,8.6,48,2.6653,-429.8612,-4.2854
0.03,8.8,48,2.7243,-429.8262,-4.2504
0.03,9.0,48,2.782,-429.7955,-4.2196
0.03,9.2,48,2.8383,-429.7692,-4.1934
0.03,9.4,48,2.8932,-429.7476,-4.1718
0.03,9.6,48,2.9467,-429.731,-4.1551
0.03,9.8,48,2.9988,-429.7193,-4.1435
0.03,10.0,48,3.0495,-429.7126,-4.1368
0.03,10.2,48,3.0988,-429.711,-4.1352
0.03,10.4,48,3.1467,-429.7143,-4.1385
0.03,10.6,48,3.1933,-429.7226,-4.1467
0.03,10.8,48,3.2385,-429.7356,-4.1598
0.03,11.0,48,3.2824,-429.7533,-4.1775
0.03,11.2,48,3.325,-429.7755,-4.1997
0.03,11.4,48,3.3664,-429.8021,-4.2262
0.03,11.6,48,3.4064,-429.8328,-4.257
0.03,11.8,48,3.4452,-429.8675,-4.2916
0.03,12.0,48,3.4829,-429.9059,-4.3301
0.03,12.2,48,3.5193,-429.9478,-4.372
0.03,12.4,48,3.5547,-429.9931,-4.4173
0.03,12.6,48,3.5889,-430.0415,-4.4657
0.03,12.8,48,3.622,-430.0928,-4.517
0.03,13.0,48,3.6541,-430.1467,-4.5709
0.03,13.2,48,3.6851,-430.2031,-4.6272
0.03,13.4,48,3.7152,-430.2617,-4.6858
0.03,13.6,48,3.7443,-430.3223,-4.7464
0.03,13.8,48,3.7725,-430.3847,-4.8089
0.03,14.0,48,3.7998,-430.4487,-4.8729
0.03,14.2,48,3.8262,-430.5142,-4.9383
0.03,14.4,48,3.8517,-430.5808,-5.005
0.03,14.6,48,3.8765,-430.6485,-5.0727
0.03,14.8,48,3.9004,-430.7171,-5.1413
0.03,15.0,48,3.9236,-430.7865,-5.2106
0.03,15.2,48,3.9461,-430.8563,-5.2805
0.03,15.4,48,3.9678,-430.9266,-5.3508
0.03,15.6,48,3.9889,-430.9971,-5.4213
0.03,15.8,48,4.0093,-431.0678,-5.4919
0.03,16.0,48,4.029,-431.1384,-5.5626
0.04,0.4,48,0.2332,-430.2386,-4.6627
0.04,0.6,48,0.2613,-429.4587,-3.8829
0.04,0.8,48,0.2915,-428.8479,-3.272
0.04,1.0,48,0.3238,-428.3865,-2.8107
0.04,1.2,48,0.3582,-428.0563,-2.4805
0.04,1.4,48,0.3948,-427.8392,-2.2634
0.04,1.6,48,0.4335,-427.7176,-2.1418
0.04,1.8,48,0.4744,-427.6744,-2.0986
0.04,2.0,48,0.5173,-427.6932,-2.1173
0.04,2.2,48,0.5623,-427.7584,-2.1826
0.04,2.4,48,0.6092,-427.8563,-2.2805
0.04,2.6,48,0.658,-427.9747,-2.3989
0.04,2.8,48,0.7086,-428.1034,-2.5276
0.04,3.0,48,0.7608,-428.2342,-2.6583
0.04,3.2,48,0.8146,-428.3606,-2.7848
0.04,3.4,48,0.8698,-428.478,-2.9022
0.04,3.6,48,0.9263,-428.5828,-3.007
0.04,3.8,48,0.9839,-428.6729,-3.097
0.04,4.0,48,1.0425,-428.7467,-3.1708
0.04,4.2,48,1.1019,-428.8037,-3.2279
0.04,4.4,48,1.162,-428.8439,-3.2681
0.04,4.6,48,1.2225,-428.8679,-3.292
0.04,4.8,48,1.2834,-428.8765,-3.3007
0.04,5.0,48,1.3444,-428.8711,-3.2953
0.04,5.2,48,1.4054,-428.8531,-3.2773
0.04,5.4,48,1.4664,-428.8241,-3.2483
0.04,5.6,48,1.527,-428.7858,-3.21
0.04,5.8,48,1.5873,-428.7398,-3.164
0.04,6.0,48,1.647,-428.6878,-3.112
0.04,6.2,48,1.7062,-428.6314,-3.0556
0.04,6.4,48,1.7646,-428.572,-2.9962
0.04,6.6,48,1.8221,-428.5109,-2.9351
0.04,6.8,48,1.8787,-428.4495,-2.8737
0.04,7.0,48,1.9344,-428.3887,-2.8129
0.04,7.2,48,1.989,-428.3297,-2.7538
0.04,7.4,48,2.0425,-428.2731,-2.6973
0.04,7.6,48,2.0948,-428.2198,-2.6439
0.04,7.8,48,2.1459,-428.1703,-2.5944
0.04,8.0,48,2.1958,-428.1251,-2.5493
0.04,8.2,48,2.2445,-428.0847,-2.5089
0.04,8.4,48,2.2919,-428.0494,-2.4736
0.04,8.6,48,2.338,-428.0194,-2.4436
0.04,8.8,48,2.3828,-427.9948,-2.419
0.04,9.0,48,2.4263,-427.9758,-2.4
0.04,9.2,48,2.4686,-427.9623,-2.3865
0.04,9.4,48,2.5096,-427.9544,-2.3786
0.04,9.6,48,2.5493,-427.952,-2.3762
0.04,9.8,48,2.5878,-427.9549,-2.3791
0.04,10.0,48,2.6251,-427.9631,-2.3873
0.04,10.2,48,2.6612,-427.9764,-2.4006
0.04,10.4,48,2.6961,-427.9946,-2.4188
0.04,10.6,48,2.7299,-428.0175,-2.4417
0.04,10.8,48,2.7625,-428.0449,-2.4691
0.04,11.0,48,2.7941,-428.0765,-2.5007
0.04,11.2,48,2.8245,-428.1122,-2.5364
0.04,11.4,48,2.854,-428.1516,-2.5758
0.04,11.6,48,2.8824,-428.1945,-2.6187
0.04,11.8,48,2.9099,-428.2408,-2.6649
0.04,12.0,48,2.9364,-428.29,-2.7142
0.04,12.2,48,2.962,-428.3421,-2.7662
0.04,12.4,48,2.9867,-428.3967,-2.8208
0.04,12.6,48,3.0106,-428.4536,-2.8777
0.04,12.8,48,3.0337,-428.5126,-2.9368
0.04,13.0,48,3.0559,-428.5735,-2.9976
0.04,13.2,48,3.0774,-428.636,-3.0602
0.04,13.4,48,3.0981,-428.6999,-3.1241
0.04,13.6,48,3.1181,-428.7652,-3.1893
0.04,13.8,48,3.1374,-428.8314,-3.2556
0.04,14.0,48,3.156,-428.8986,-3.3228
0.04,14.2,48,3.174,-428.9664,-3.3906
0.04,14.4,48,3.1914,-429.0348,-3.459
0.04,14.6,48,3.2082,-429.1036,-3.5278
0.04,14.8,48,3.2244,-429.1726,-3.5968
0.04,15.0,48,3.2401,-429.2417,-3.6659
0.04,15.2,48,3.2553,-429.3108,-3.735
0.04,15.4,48,3.2699,-429.3798,-3.8039
0.04,15.6,48,3.284,-429.4485,-3.8726
0.04,15.8,48,3.2977,-429.5168,-3.941
0.04,16.0,48,3.3109,-429.5847,-4.0088
0.05,0.4,48,0.2326,-430.2626,-4.6868
0.05,0.6,48,0.2602,-429.4901,-3.9143
0.05,0.8,48,0.2897,-428.8824,-3.3065
0.05,1.0,48,0.3212,-428.4188,-2.843
0.05,1.2,48,0.3547,-428.08,-2.5042
0.05,1.4,48,0.3901,-427.8469,-2.2711
0.05,1.6,48,0.4274,-427.7013,-2.1255
0.05,1.8,48,0.4666,-427.6256,-2.0498
0.05,2.0,48,0.5076,-427.6036,-2.0278
0.05,2.2,48,0.5504,-427.6203,-2.0445
0.05,2.4,48,0.5947,-427.6629,-2.0871
0.05,2.6,48,0.6406,-427.7206,-2.1447
0.05,2.8,48,0.688,-427.7845,-2.2086
0.05,3.0,48,0.7366,-427.8478,-2.272
0.05,3.2,48,0.7863,-427.9056,-2.3298
0.05,3.4,48,0.8371,-427.9543,-2.3785
0.05,3.6,48,0.8887,-427.9916,-2.4157
0.05,3.8,48,0.941,-428.016,-2.4402
0.05,4.0,48,0.9938,-428.0271,-2.4513
0.05,4.2,48,1.0471,-428.0249,-2.4491
0.05,4.4,48,1.1006,-428.01,-2.4342
0.05,4.6,48,1.1541,-427.9834,-2.4076
0.05,4.8,48,1.2076,-427.9463,-2.3705
0.05,5.0,48,1.2609,-427.9002,-2.3243
0.05,5.2,48,1.3139,-427.8465,-2.2707
0.05,5.4,48,1.3664,-427.7868,-2.211
0.05,5.6,48,1.4184,-427.7228,-2.147
0.05,5.8,48,1.4697,-427.6558,-2.08
0.05,6.0,48,1.5202,-427.5873,-2.0114
0.05,6.2,48,1.5699,-427.5185,-1.9426
0.05,6.4,48,1.6187,-427.4506,-1.8747
0.05,6.6,48,1.6665,-427.3846,-1.8088
0.05,6.8,48,1.7132,-427.3214,-1.7456
0.05,7.0,48,1.7589,-427.2618,-1.686
0.05,7.2,48,1.8034,-427.2065,-1.6306
0.05,7.4,48,1.8468,-427.1559,-1.58
0.05,7.6,48,1.889,-427.1104,-1.5346
0.05,7.8,48,1.9301,-427.0705,-1.4947
0.05,8.0,48,1.9699,-427.0363,-1.4604
0.05,8.2,48,2.0085,-427.0079,-1.4321
0.05,8.4,48,2.046,-426.9855,-1.4097
0.05,8.6,48,2.0823,-426.969,-1.3932
0.05,8.8,48,2.1174,-426.9585,-1.3827
0.05,9.0,48,2.1513,-426.9538,-1.378
0.05,9.2,48,2.1841,-426.9548,-1.379
0.05,9.4,48,2.2158,-426.9613,-1.3855
0.05,9.6,48,2.2464,-426.9732,-1.3974
0.05,9.8,48,2.2759,-426.9902,-1.4144
0.05,10.0,48,2.3044,-427.0122,-1.4363
0.05,10.2,48,2.3319,-427.0388,-1.4629
0.05,10.4,48,2.3584,-427.0697,-1.4939
0.05,10.6,48,2.3839,-427.1049,-1.529
0.05,10.8,48,2.4085,-427.1439,-1.568
0.05,11.0,48,2.4322,-427.1865,-1.6106
0.05,11.2,48,2.455,-427.2324,-1.6566
0.05,11.4,48,2.477,-427.2814,-1.7056
0.05,11.6,48,2.4982,-427.3333,-1.7575
0.05,11.8,48,2.5185,-427.3877,-1.8119
0.05,12.0,48,2.5382,-427.4444,-1.8686
0.05,12.2,48,2.5571,-427.5032,-1.9274
0.05,12.4,48,2.5753,-427.5638,-1.988
0.05,12.6,48,2.5928,-427.626,-2.0502
0.05,12.8,48,2.6097,-427.6897,-2.1139
0.05,13.0,48,2.626,-427.7545,-2.1787
0.05,13.2,48,2.6417,-427.8204,-2.2446
0.05,13.4,48,2.6568,-427.887,-2.3112
0.05,13.6,48,2.6713,-427.9543,-2.3785
0.05,13.8,48,2.6853,-428.0221,-2.4463
0.05,14.0,48,2.6988,-428.0902,-2.5144
0.05,14.2,48,2.7118,-428.1585,-2.5827
0.05,14.4,48,2.7244,-428.2268,-2.651
0.05,14.6,48,2.7365,-428.295,-2.7192
0.05,14.8,48,2.7482,-428.363,-2.7872
0.05,15.0,48,2.7594,-428.4307,-2.8549
0.05,15.2,48,2.7703,-428.498,-2.9222
0.05,15.4,48,2.7807,-428.5647,-2.9889
0.05,15.6,48,2.7909,-428.6309,-3.0551
0.05,15.8,48,2.8006,-428.6964,-3.1206
0.05,16.0,48,2.81,-428.7611,-3.1853
0.06,0.4,48,0.2319,-430.2867,-4.7108
0.06,0.6,48,0.259,-429.5216,-3.9458
0.06,0.8,48,0.2879,-428.9173,-3.3415
0.06,1.0,48,0.3187,-428.4522,-2.8764
0.06,1.2,48,0.3512,-428.1061,-2.5303
0.06,1.4,48,0.3855,-427.8593,-2.2835
0.06,1.6,48,0.4215,-427.6932,-2.1173
0.06,1.8,48,0.4591,-427.5902,-2.0143
0.06,2.0,48,0.4983,-427.5344,-1.9586
0.06,2.2,48,0.539,-427.5119,-1.936
0.06,2.4,48,0.581,-427.5106,-1.9348
0.06,2.6,48,0.6242,-427.5211,-1.9453
0.06,2.8,48,0.6685,-427.5358,-1.96
0.06,3.0,48,0.7138,-427.5491,-1.9733
0.06,3.2,48,0.7599,-427.557,-1.9812
0.06,3.4,48,0.8067,-427.557,-1.9812
0.06,3.6,48,0.854,-427.5474,-1.9716
0.06,3.8,48,0.9016,-427.5276,-1.9518
0.06,4.0,48,0.9495,-427.4975,-1.9217
0.06,4.2,48,0.9974,-427.4578,-1.8819
0.06,4.4,48,1.0453,-427.4091,-1.8333
0.06,4.6,48,1.093,-427.3528,-1.7769
0.06,4.8,48,1.1403,-427.2901,-1.7142
0.06,5.0,48,1.1872,-427.2224,-1.6466
0.06,5.2,48,1.2336,-427.1512,-1.5754
0.06,5.4,48,1.2792,-427.0779,-1.5021
0.06,5.6,48,1.3242,-427.0038,-1.428
0.06,5.8,48,1.3683,-426.9302,-1.3544
0.06,6.0,48,1.4115,-426.8582,-1.2824
0.06,6.2,48,1.4538,-426.7887,-1.2129
0.06,6.4,48,1.4951,-426.7228,-1.1469
0.06,6.6,48,1.5353,-426.661,-1.0851
0.06,6.8,48,1.5745,-426.6039,-1.0281
0.06,7.0,48,1.6125,-426.5522,-0.9764
0.06,7.2,48,1.6495,-426.5061,-0.9303
0.06,7.4,48,1.6853,-426.466,-0.8902
0.06,7.6,48,1.72,-426.432,-0.8562
0.06,7.8,48,1.7536,-426.4042,-0.8284
0.06,8.0,48,1.7861,-426.3827,-0.8069
0.06,8.2,48,1.8175,-426.3674,-0.7916
0.06,8.4,48,1.8478,-426.3583,-0.7825
0.06,8.6,48,1.877,-426.3552,-0.7794
0.06,8.8,48,1.9052,-426.358,-0.7821
0.06,9.0,48,1.9323,-426.3664,-0.7905
0.06,9.2,48,1.9585,-426.3802,-0.8044
0.06,9.4,48,1.9836,-426.3992,-0.8234
0.06,9.6,48,2.0078,-426.4231,-0.8473
0.06,9.8,48,2.0311,-426.4517,-0.8759
0.06,10.0,48,2.0536,-426.4847,-0.9088
0.06,10.2,48,2.0751,-426.5217,-0.9459
0.06,10.4,48,2.0958,-426.5625,-0.9867
0.06,10.6,48,2.1157,-426.6068,-1.031
0.06,10.8,48,2.1349,-426.6544,-1.0786
0.06,11.0,48,2.1533,-426.7049,-1.1291
0.06,11.2,48,2.171,-426.7581,-1.1823
0.06,11.4,48,2.188,-426.8137,-1.2379
0.06,11.6,48,2.2043,-426.8715,-1.2957
0.06,11.8,48,2.22,-426.9312,-1.3554
0.06,12.0,48,2.2351,-426.9926,-1.4168
0.06,12.2,48,2.2496,-427.0555,-1.4797
0.06,12.4,48,2.2635,-427.1196,-1.5438
0.06,12.6,48,2.2769,-427.1847,-1.6089
0.06,12.8,48,2.2898,-427.2507,-1.6749
0.06,13.0,48,2.3021,-427.3174,-1.7415
0.06,13.2,48,2.314,-427.3845,-1.8087
0.06,13.4,48,2.3255,-427.452,-1.8762
0.06,13.6,48,2.3365,-427.5197,-1.9439
0.06,13.8,48,2.3471,-427.5874,-2.0116
0.06,14.0,48,2.3573,-427.655,-2.0792
0.06,14.2,48,2.3671,-427.7225,-2.1466
0.06,14.4,48,2.3766,-427.7895,-2.2137
0.06,14.6,48,2.3857,-427.8562,-2.2804
0.06,14.8,48,2.3945,-427.9224,-2.3465
0.06,15.0,48,2.4029,-427.9879,-2.4121
0.06,15.2,48,2.4111,-428.0528,-2.4769
0.06,15.4,48,2.4189,-428.1169,-2.541
0.06,15.6,48,2.4265,-428.1801,-2.6043
0.06,15.8,48,2.4338,-428.2425,-2.6667
0.06,16.0,48,2.4408,-428.304,-2.7282
0.07,0.4,48,0.2312,-430.3107,-4.7349
0.07,0.6,48,0.2579,-429.5532,-3.9774
0.07,0.8,48,0.2862,-428.9526,-3.3768
0.07,1.0,48,0.3162,-428.4867,-2.9109
0.07,1.2,48,0.3478,-428.1345,-2.5587
0.07,1.4,48,0.381,-427.8759,-2.3001
0.07,1.6,48,0.4157,-427.6923,-2.1165
0.07,1.8,48,0.4518,-427.5663,-1.9905
0.07,2.0,48,0.4893,-427.4826,-1.9068
0.07,2.2,48,0.528,-427.4281,-1.8522
0.07,2.4,48,0.5678,-427.3919,-1.816
0.07,2.6,48,0.6086,-427.3655,-1.7896
0.07,2.8,48,0.6501,-427.3424,-1.7666
0.07,3.0,48,0.6924,-427.3181,-1.7423
0.07,3.2,48,0.7352,-427.2894,-1.7136
0.07,3.4,48,0.7784,-427.2543,-1.6785
0.07,3.6,48,0.8219,-427.212,-1.6362
0.07,3.8,48,0.8654,-427.1621,-1.5863
0.07,4.0,48,0.909,-427.105,-1.5292
0.07,4.2,48,0.9523,-427.0415,-1.4657
0.07,4.4,48,0.9954,-426.9725,-1.3966
0.07,4.6,48,1.038,-426.8991,-1.3233
0.07,4.8,48,1.0801,-426.8229,-1.247
0.07,5.0,48,1.1217,-426.7449,-1.1691
0.07,5.2,48,1.1625,-426.6665,-1.0907
0.07,5.4,48,1.2025,-426.5889,-1.0131
0.07,5.6,48,1.2417,-426.5133,-0.9374
0.07,5.8,48,1.28,-426.4405,-0.8647
0.07,6.0,48,1.3173,-426.3715,-0.7957
0.07,6.2,48,1.3537,-426.307,-0.7312
0.07,6.4,48,1.389,-426.2476,-0.6718
0.07,6.6,48,1.4233,-426.1938,-0.618
0.07,6.8,48,1.4565,-426.146,-0.5701
0.07,7.0,48,1.4887,-426.1044,-0.5285
0.07,7.2,48,1.5198,-426.0692,-0.4934
0.07,7.4,48,1.5498,-426.0405,-0.4647
0.07,7.6,48,1.5788,-426.0183,-0.4425
0.07,7.8,48,1.6068,-426.0026,-0.4268
0.07,8.0,48,1.6337,-425.9932,-0.4174
0.07,8.2,48,1.6596,-425.9901,-0.4143
0.07,8.4,48,1.6846,-425.9929,-0.4171
0.07,8.6,48,1.7086,-426.0016,-0.4257
0.07,8.8,48,1.7316,-426.0157,-0.4399
0.07,9.0,48,1.7538,-426.0352,-0.4593
0.07,9.2,48,1.775,-426.0596,-0.4838
0.07,9.4,48,1.7955,-426.0887,-0.5129
0.07,9.6,48,1.8151,-426.1222,-0.5464
0.07,9.8,48,1.8339,-426.1598,-0.584
0.07,10.0,48,1.852,-426.2012,-0.6254
