param,mean,sd,lo,hi
centroid_x,60.64698116175976,5.257900943948414,53.93810064684914,69.96070064441783
centroid_y,34.03966234556206,9.26136890371773,18.830300747667945,49.239331285286994
spread_x,9.855917554499669,1.841107232816981,7.2276362256860684,13.227429316755636
spread_y,12.445772896146137,2.138439112603455,8.728593576202337,15.74295825773998
attline_gap,-13.793728194155431,4.942689588443614,-22.425404498030545,-5.287514323138694
spread_corr,0.19776970085213505,0.0,-1.0,1.0
