threshold,seed,start_holder,cause,end_tick,ended,n_passes,flight_ticks,min_def_dist_m
0.95,2,7,intercept,330,1,8,178,1.074
0.95,2,9,intercept,91,1,2,41,0.9381
0.95,3,0,intercept,329,1,8,170,1.1273
0.95,3,4,intercept,292,1,7,160,0.3178
0.95,3,7,intercept,330,1,8,178,1.074
0.95,3,9,intercept,91,1,2,41,0.9381
0.95,4,0,intercept,329,1,8,170,1.1273
0.95,4,4,intercept,292,1,7,160,0.3178
0.95,4,7,intercept,330,1,8,178,1.074
0.95,4,9,intercept,91,1,2,41,0.9381
1.0,0,0,duel_or_offside,998,1,24,580,0.1719
1.0,0,4,timeout,1200,0,30,754,0.1599
1.0,0,7,timeout,1200,0,30,713,0.3117
1.0,0,9,timeout,1200,0,30,742,0.3818
1.0,1,0,duel_or_offside,998,1,24,580,0.1719
1.0,1,4,timeout,1200,0,30,754,0.1599
1.0,1,7,timeout,1200,0,30,713,0.3117
1.0,1,9,timeout,1200,0,30,742,0.3818
1.0,2,0,duel_or_offside,998,1,24,580,0.1719
1.0,2,4,timeout,1200,0,30,754,0.1599
1.0,2,7,timeout,1200,0,30,713,0.3117
1.0,2,9,timeout,1200,0,30,742,0.3818
1.0,3,0,duel_or_offside,998,1,24,580,0.1719
1.0,3,4,timeout,1200,0,30,754,0.1599
1.0,3,7,timeout,1200,0,30,713,0.3117
1.0,3,9,timeout,1200,0,30,742,0.3818
1.0,4,0,duel_or_offside,998,1,24,580,0.1719
1.0,4,4,timeout,1200,0,30,754,0.1599
1.0,4,7,timeout,1200,0,30,713,0.3117
1.0,4,9,timeout,1200,0,30,742,0.3818
