update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,495.1,0.0,0.856716,35.0,5,-0.008964,0.026443,0.029799,3.303744,0.006257,0.0867,0.115596,-0.215067,-0.226274,0.072886,0.963932,0.0,1.0,0.919259,0.0,0.244344,0.256872,0.241913,0.256872,1.0
50,38400,0.00029774193548387094,524.4,0.07,0.968287,22.96,1224,-0.003675,0.019103,0.001028,2.202651,0.004089,0.040222,0.639843,-0.652327,-2.244952,-2.825211,0.205469,0.022135,0.174479,2.940002,3.0,0.139485,0.0738,0.045358,0.741357,1.0
100,76800,0.0002954377880184332,506.0,0.09,0.978178,28.72,2747,-0.006755,0.022229,0.0011,2.551188,0.006329,0.08075,0.573395,0.557153,-2.128275,-1.775165,0.472917,0.0,0.335938,2.135618,2.0,0.060287,0.014295,0.010956,0.914462,1.0
150,115200,0.00029313364055299536,508.4,0.07,0.949805,32.22,3906,-0.007248,0.024233,0.001203,2.473254,0.005766,0.063171,0.567058,0.550264,-1.99221,-1.201877,0.582943,0.0,0.567708,1.851699,4.0,0.038047,0.007324,0.005291,0.949337,1.0
200,153600,0.00029082949308755754,509.3,0.09,0.978815,42.47,4949,-0.006986,0.014262,0.001611,2.502435,0.006229,0.075806,0.748378,0.629662,-0.863492,-1.129568,0.579948,0.003906,0.550781,1.922206,2.0,0.026967,0.004627,0.003162,0.965244,1.0
250,192000,0.00028852534562211977,509.0,0.04,0.918499,66.46,5679,-0.006536,0.009075,0.003769,2.706043,0.005188,0.061157,0.743532,0.442459,-0.819668,-0.464129,0.703516,0.0,0.798177,1.600471,1.0,0.020614,0.003289,0.002143,0.973954,1.0
300,230400,0.000286221198156682,512.1,0.07,0.944928,56.57,6332,-0.007859,0.006052,0.00371,2.592316,0.005397,0.065826,0.835206,0.237703,-0.830678,-0.298396,0.732422,0.0,0.778646,1.579321,1.0,0.016505,0.002495,0.001565,0.979435,1.0
350,268800,0.00028391705069124424,513.8,0.04,0.902601,62.83,6952,-0.008721,0.001836,0.005644,2.706358,0.006172,0.079926,0.937502,0.383035,-0.816033,-0.341365,0.848047,0.0,0.960938,1.214829,0.0,0.013451,0.001957,0.001178,0.983414,1.0
400,307200,0.0002816129032258064,514.1,0.11,0.941967,67.8,7485,-0.009577,0.00315,0.003501,2.899811,0.005866,0.071594,0.918087,0.527748,-0.639814,-0.302368,0.918099,0.0,0.998698,1.075964,0.0,0.011183,0.001586,0.000915,0.986317,1.0
450,345600,0.00027930875576036865,512.2,0.09,0.941762,62.17,8072,-0.007769,0.01453,0.005613,2.794697,0.006024,0.076965,0.619179,0.175191,0.000925,0.245899,0.882812,0.027344,0.99349,1.136063,3.0,0.00954,0.001327,0.000738,0.988395,1.0
500,384000,0.0002770046082949309,514.4,0.09,1.012276,66.92,8625,-0.00948,0.012241,0.004157,2.797516,0.006293,0.083344,0.720097,0.482591,-0.068263,0.393186,0.939193,0.0,0.998698,0.963897,2.0,0.008384,0.001151,0.00062,0.989845,1.0
550,422400,0.00027470046082949306,513.5,0.13,1.003555,85.1,9117,-0.006743,0.012628,0.003604,2.779416,0.005579,0.067505,0.708563,0.462534,0.631192,0.046463,0.913932,0.015625,0.998698,1.09531,1.0,0.007483,0.001018,0.000532,0.990967,1.0
600,460800,0.00027239631336405524,510.5,0.11,0.980786,107.64,9510,-0.007581,0.009361,0.005699,2.623608,0.006668,0.08194,0.749299,0.513205,0.051872,0.369306,0.794661,0.036458,0.963542,1.359288,1.0,0.006834,0.000923,0.000471,0.991772,1.0
