policy,x,y,radius,theta,n,arrival_rate,success_rate
scripted,82.0,34.0,6.0,0.35,200,0.93,0.745
scripted,82.0,34.0,6.0,0.4,200,0.93,0.62
scripted,82.0,34.0,6.0,0.45,200,0.93,0.425
scripted,82.0,34.0,6.0,0.5,200,0.93,0.215
scripted,82.0,34.0,6.0,0.55,200,0.93,0.105
scripted,82.0,34.0,6.0,0.6,200,0.93,0.065
scripted,82.0,34.0,8.0,0.3,200,0.935,0.9
scripted,82.0,34.0,8.0,0.35,200,0.935,0.845
scripted,82.0,34.0,8.0,0.4,200,0.935,0.735
scripted,82.0,34.0,8.0,0.45,200,0.935,0.57
scripted,82.0,34.0,8.0,0.5,200,0.935,0.36
scripted,82.0,34.0,8.0,0.55,200,0.935,0.165
scripted,82.0,34.0,8.0,0.6,200,0.935,0.1
scripted,82.0,34.0,10.0,0.3,200,0.94,0.925
scripted,82.0,34.0,10.0,0.35,200,0.94,0.88
scripted,82.0,34.0,10.0,0.4,200,0.94,0.76
scripted,82.0,34.0,10.0,0.45,200,0.94,0.65
scripted,82.0,34.0,10.0,0.5,200,0.94,0.435
scripted,82.0,34.0,10.0,0.55,200,0.94,0.245
scripted,82.0,34.0,10.0,0.6,200,0.94,0.13
scripted,82.0,34.0,12.0,0.3,200,0.955,0.94
scripted,82.0,34.0,12.0,0.35,200,0.955,0.915
scripted,82.0,34.0,12.0,0.4,200,0.955,0.815
scripted,82.0,34.0,12.0,0.45,200,0.955,0.645
scripted,82.0,34.0,12.0,0.5,200,0.955,0.425
scripted,82.0,34.0,12.0,0.55,200,0.955,0.245
scripted,82.0,34.0,12.0,0.6,200,0.955,0.12
scripted,84.0,34.0,6.0,0.3,200,0.905,0.88
scripted,84.0,34.0,6.0,0.35,200,0.905,0.83
scripted,84.0,34.0,6.0,0.4,200,0.905,0.77
scripted,84.0,34.0,6.0,0.45,200,0.905,0.65
scripted,84.0,34.0,6.0,0.5,200,0.905,0.515
scripted,84.0,34.0,6.0,0.55,200,0.905,0.395
scripted,84.0,34.0,6.0,0.6,200,0.905,0.145
scripted,84.0,34.0,8.0,0.3,200,0.91,0.87
scripted,84.0,34.0,8.0,0.35,200,0.91,0.81
scripted,84.0,34.0,8.0,0.4,200,0.91,0.685
scripted,84.0,34.0,8.0,0.45,200,0.91,0.56
scripted,84.0,34.0,8.0,0.5,200,0.91,0.385
scripted,84.0,34.0,8.0,0.55,200,0.91,0.2
scripted,84.0,34.0,8.0,0.6,200,0.91,0.095
scripted,84.0,34.0,10.0,0.3,200,0.93,0.865
scripted,84.0,34.0,10.0,0.35,200,0.93,0.79
scripted,84.0,34.0,10.0,0.4,200,0.93,0.65
scripted,84.0,34.0,10.0,0.45,200,0.93,0.48
scripted,84.0,34.0,10.0,0.5,200,0.93,0.305
scripted,84.0,34.0,10.0,0.55,200,0.93,0.17
scripted,84.0,34.0,10.0,0.6,200,0.93,0.08
scripted,84.0,34.0,12.0,0.3,200,0.945,0.89
scripted,84.0,34.0,12.0,0.35,200,0.945,0.785
scripted,84.0,34.0,12.0,0.4,200,0.945,0.605
scripted,84.0,34.0,12.0,0.45,200,0.945,0.41
scripted,84.0,34.0,12.0,0.5,200,0.945,0.28
scripted,84.0,34.0,12.0,0.55,200,0.945,0.13
scripted,84.0,34.0,12.0,0.6,200,0.945,0.07
scripted,86.0,34.0,6.0,0.3,200,0.8,0.77
scripted,86.0,34.0,6.0,0.35,200,0.8,0.7
scripted,86.0,34.0,6.0,0.4,200,0.8,0.625
scripted,86.0,34.0,6.0,0.45,200,0.8,0.515
scripted,86.0,34.0,6.0,0.5,200,0.8,0.39
scripted,86.0,34.0,6.0,0.55,200,0.8,0.27
scripted,86.0,34.0,6.0,0.6,200,0.8,0.195
scripted,86.0,34.0,8.0,0.3,200,0.885,0.82
scripted,86.0,34.0,8.0,0.35,200,0.885,0.715
scripted,86.0,34.0,8.0,0.4,200,0.885,0.585
scripted,86.0,34.0,8.0,0.45,200,0.885,0.43
scripted,86.0,34.0,8.0,0.5,200,0.885,0.265
scripted,86.0,34.0,8.0,0.55,200,0.885,0.135
scripted,86.0,34.0,8.0,0.6,200,0.885,0.055
scripted,86.0,34.0,10.0,0.3,200,0.91,0.82
scripted,86.0,34.0,10.0,0.35,200,0.91,0.72
scripted,86.0,34.0,10.0,0.4,200,0.91,0.575
scripted,86.0,34.0,10.0,0.45,200,0.91,0.385
scripted,86.0,34.0,10.0,0.5,200,0.91,0.195
scripted,86.0,34.0,10.0,0.55,200,0.91,0.085
scripted,86.0,34.0,10.0,0.6,200,0.91,0.04
scripted,86.0,34.0,12.0,0.3,200,0.92,0.79
scripted,86.0,34.0,12.0,0.35,200,0.92,0.675
scripted,86.0,34.0,12.0,0.4,200,0.92,0.485
scripted,86.0,34.0,12.0,0.45,200,0.92,0.275
scripted,86.0,34.0,12.0,0.5,200,0.92,0.15
scripted,86.0,34.0,12.0,0.55,200,0.92,0.06
scripted,86.0,34.0,12.0,0.6,200,0.92,0.03
scripted,88.0,34.0,6.0,0.3,200,0.76,0.67
scripted,88.0,34.0,6.0,0.35,200,0.76,0.54
scripted,88.0,34.0,6.0,0.4,200,0.76,0.34
scripted,88.0,34.0,6.0,0.45,200,0.76,0.19
scripted,88.0,34.0,6.0,0.5,200,0.76,0.11
scripted,88.0,34.0,6.0,0.55,200,0.76,0.075
scripted,88.0,34.0,6.0,0.6,200,0.76,0.055
scripted,88.0,34.0,8.0,0.3,200,0.81,0.565
scripted,88.0,34.0,8.0,0.35,200,0.81,0.38
scripted,88.0,34.0,8.0,0.4,200,0.81,0.235
scripted,88.0,34.0,8.0,0.45,200,0.81,0.16
scripted,88.0,34.0,8.0,0.5,200,0.81,0.12
scripted,88.0,34.0,8.0,0.55,200,0.81,0.075
scripted,88.0,34.0,8.0,0.6,200,0.81,0.035
scripted,88.0,34.0,10.0,0.3,200,0.885,0.585
scripted,88.0,34.0,10.0,0.35,200,0.885,0.435
scripted,88.0,34.0,10.0,0.4,200,0.885,0.3
scripted,88.0,34.0,10.0,0.45,200,0.885,0.165
scripted,88.0,34.0,10.0,0.5,200,0.885,0.09
scripted,88.0,34.0,10.0,0.55,200,0.885,0.03
scripted,88.0,34.0,10.0,0.6,200,0.885,0.015
scripted,88.0,34.0,12.0,0.3,200,0.92,0.715
scripted,88.0,34.0,12.0,0.35,200,0.92,0.53
scripted,88.0,34.0,12.0,0.4,200,0.92,0.315
scripted,88.0,34.0,12.0,0.45,200,0.92,0.175
scripted,88.0,34.0,12.0,0.5,200,0.92,0.065
scripted,88.0,34.0,12.0,0.55,200,0.92,0.02
scripted,88.0,34.0,12.0,0.6,200,0.92,0.01
