update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_success,c_slow,c_team,speed,n_succ,lam0,lam_slow,lam_succ,boot
1,768,0.0003,517.7,0.0,0.705262,44.0,7,-0.006996,0.021463,0.025452,3.307346,0.00479,0.045258,0.565681,0.425045,0.574868,0.964844,1.0,0.911799,0.0,0.322316,0.338842,0.338842,1.0
50,38400,0.0002954838709677419,557.3,0.04,0.916714,28.53,1086,-0.004006,0.011226,0.000722,2.300471,0.00414,0.040527,0.759145,-0.448436,-1.231979,0.207422,0.15625,2.743028,1.0,0.150248,0.064677,0.785075,1.0
100,76800,0.00029087557603686633,534.7,0.06,0.942365,29.07,2390,-0.006153,0.005392,0.000853,2.299122,0.006171,0.075317,0.852466,0.355386,-1.556662,0.260938,0.153646,2.57251,0.0,0.068002,0.01512,0.916877,1.0
150,115200,0.00028626728110599074,537.6,0.01,0.919349,46.37,3257,-0.007566,0.002821,0.001633,2.734237,0.00598,0.077118,0.912467,0.539567,-1.80758,0.580469,0.621094,1.842055,0.0,0.04353,0.008006,0.948463,1.0
200,153600,0.0002816589861751152,542.1,0.07,0.906052,72.41,3939,-0.007923,0.007796,0.002545,2.753235,0.005453,0.059723,0.801779,0.468247,-1.241379,0.763542,0.880208,1.4517,1.0,0.031061,0.005261,0.963678,1.0
250,192000,0.0002770506912442396,537.7,0.05,0.919223,68.38,4549,-0.007594,0.004932,0.005022,2.859509,0.004878,0.053497,0.835734,0.152103,-1.879233,0.844401,0.960938,1.291728,0.0,0.024065,0.003941,0.971994,1.0
300,230400,0.00027244239631336403,535.8,0.18,1.115697,68.07,5081,-0.007492,0.018093,0.004445,2.77275,0.006542,0.086731,0.569884,0.304333,0.018965,0.892708,0.989583,1.170753,3.0,0.019955,0.003232,0.976814,1.0
350,268800,0.00026783410138248845,535.0,0.16,1.071575,69.88,5647,-0.006237,0.010493,0.003675,2.656851,0.004882,0.054901,0.829828,0.454385,0.729882,0.812109,0.985677,1.361913,3.0,0.017237,0.002773,0.97999,1.0
400,307200,0.00026322580645161286,541.0,0.24,1.127567,63.64,6257,-0.008165,0.020705,0.002158,2.658251,0.00493,0.054626,0.686187,0.614865,0.715125,0.767448,0.871094,1.451546,5.0,0.014923,0.002368,0.982709,1.0
450,345600,0.0002586175115207373,537.3,0.12,0.984452,72.65,6819,-0.006486,0.005624,0.004554,2.794789,0.005459,0.06662,0.908746,0.406247,0.680613,0.867839,1.0,1.232256,1.0,0.013145,0.002064,0.984791,1.0
500,384000,0.00025400921658986174,538.7,0.08,0.971658,74.56,7347,-0.006694,0.010596,0.00457,2.707062,0.005125,0.058411,0.743233,0.21461,0.136772,0.870182,0.992188,1.182689,1.0,0.01125,0.00175,0.987,1.0
550,422400,0.00024940092165898615,534.7,0.07,0.929341,84.85,7910,-0.007336,0.010172,0.004784,2.784445,0.006976,0.098938,0.790304,0.374272,-0.044854,0.886198,0.984375,1.157715,1.0,0.009786,0.001509,0.988705,1.0
600,460800,0.00024479262672811057,541.6,0.14,1.048373,85.49,8354,-0.006366,0.003609,0.004877,2.715667,0.005042,0.052826,0.908347,0.431822,0.445733,0.867578,0.967448,1.217563,0.0,0.008578,0.001313,0.990109,1.0
650,499200,0.000240184331797235,540.8,0.19,1.116273,94.62,8798,-0.007694,0.013269,0.003863,2.726422,0.005536,0.068634,0.82475,0.501369,0.659052,0.866667,0.97526,1.163421,2.0,0.007749,0.001183,0.991068,1.0
700,537600,0.00023557603686635942,540.1,0.29,1.16965,114.89,9174,-0.007459,0.005048,0.001541,2.731356,0.005073,0.053864,0.867866,0.850873,0.818211,0.910547,1.0,1.120229,1.0,0.007252,0.001112,0.991636,1.0
750,576000,0.00023096774193548386,531.8,0.65,1.717304,99.14,9556,-0.007049,0.0113,0.001824,2.75454,0.005492,0.061218,0.565889,0.843854,0.840237,0.759766,0.93099,1.504675,7.0,0.007298,0.001139,0.991564,1.0
800,614400,0.00022635944700460827,539.6,0.53,1.507675,102.75,9957,-0.00586,0.009067,0.001972,2.762899,0.004944,0.05072,0.813059,0.816759,0.87811,0.735417,0.963542,1.500138,4.0,0.00769,0.001227,0.991083,1.0
850,652800,0.0002217511520737327,538.8,0.55,1.540857,87.76,10400,-0.007015,0.025344,0.00207,2.767635,0.004891,0.045746,0.655247,0.815998,0.430956,0.717057,0.911458,1.529937,2.0,0.008193,0.001333,0.990474,1.0
900,691200,0.00021714285714285713,539.7,0.67,1.694426,95.37,10805,-0.007304,0.014272,0.001322,2.66422,0.005645,0.06546,0.709382,0.875301,0.811223,0.572135,0.644531,1.86173,4.0,0.008789,0.001452,0.989759,1.0
950,729600,0.00021253456221198154,537.6,0.54,1.5563,90.94,11179,-0.006395,0.013249,0.001222,2.776661,0.005542,0.065155,0.476677,0.871771,0.740898,0.723958,0.97526,1.552356,4.0,0.010256,0.001756,0.987988,1.0
1000,768000,0.00020792626728110595,537.4,0.55,1.583319,79.79,11591,-0.008302,0.007947,0.001342,2.75561,0.006436,0.085022,0.455663,0.903313,0.79045,0.623177,0.679688,1.775735,8.0,0.011644,0.002061,0.986295,1.0
1050,806400,0.00020331797235023042,540.8,0.39,1.366799,85.82,12017,-0.006763,0.023616,0.001616,2.846397,0.004686,0.049957,0.340703,0.776971,0.244626,0.730859,0.942708,1.55951,3.0,0.012725,0.002307,0.984968,1.0
1100,844800,0.0001987096774193548,538.1,0.35,1.332587,75.64,12488,-0.005774,0.028881,0.002518,2.900354,0.004367,0.043213,0.444647,0.632783,0.378136,0.786849,0.971354,1.401515,6.0,0.012537,0.002319,0.985144,1.0
1150,883200,0.00019410138248847925,541.9,0.4,1.376111,85.36,12980,-0.007192,0.012818,0.002131,2.829826,0.004167,0.041626,0.584974,0.694982,0.477093,0.804948,0.984375,1.344779,6.0,0.012721,0.002416,0.984863,1.0
1200,921600,0.0001894930875576037,541.5,0.38,1.339838,99.39,13370,-0.005996,0.012492,0.00273,2.753223,0.004444,0.049286,0.708496,0.716348,0.677699,0.817187,0.97526,1.300918,2.0,0.013018,0.002573,0.984408,1.0
1250,960000,0.00018488479262672807,541.7,0.36,1.349508,84.71,13769,-0.00752,0.015628,0.001894,2.76464,0.004816,0.05426,0.681211,0.789786,0.733216,0.791406,0.941406,1.363742,6.0,0.012938,0.002682,0.984381,1.0
1300,998400,0.00018027649769585251,540.3,0.46,1.465643,84.97,14191,-0.006552,0.018211,0.003288,2.801172,0.004878,0.057739,0.620704,0.595995,0.581434,0.805078,0.971354,1.368474,3.0,0.014347,0.003166,0.982486,1.0
1350,1036800,0.00017566820276497695,540.7,0.54,1.536259,97.14,14612,-0.007053,0.014253,0.002426,2.862591,0.005809,0.069397,0.60891,0.776916,0.583338,0.872656,0.998698,1.189514,3.0,0.015889,0.003846,0.980265,1.0
1400,1075200,0.00017105990783410134,538.9,0.37,1.337656,85.23,15027,-0.006643,0.023875,0.004322,2.86663,0.005091,0.054443,0.595,0.603984,0.385583,0.885417,0.998698,1.087067,3.0,0.020402,0.005796,0.973802,1.0
1450,1113600,0.00016645161290322578,539.7,0.42,1.354538,79.2,15457,-0.007022,0.01683,0.003201,2.871679,0.004117,0.039276,0.436158,0.58847,0.283532,0.821484,0.96875,1.312454,6.0,0.02391,0.008199,0.967891,1.0
1500,1152000,0.00016184331797235022,536.7,0.54,1.558345,81.51,15969,-0.005652,0.027024,0.002677,2.864697,0.00372,0.034821,0.52937,0.765311,0.563182,0.790234,0.950521,1.37433,7.0,0.032923,0.014553,0.952524,1.0
1550,1190400,0.0001572350230414746,540.0,0.55,1.569397,68.04,16495,-0.005481,0.020041,0.002322,2.727458,0.003932,0.040955,0.679758,0.651079,0.7822,0.679557,0.85026,1.624129,8.0,0.099697,0.11604,0.784263,1.0
1600,1228800,0.00015262672811059907,535.9,0.33,1.302843,43.58,17233,-0.006621,0.026706,0.000448,2.256529,0.003631,0.036652,0.607089,0.564932,0.633747,0.276823,0.143229,2.479832,6.0,0.086057,0.018854,0.895088,1.0
1650,1267200,0.0001480184331797235,537.5,0.61,1.694017,57.41,17935,-0.00682,0.029735,0.00059,2.561769,0.006277,0.084961,0.374232,0.716464,0.428346,0.404948,0.246094,2.177056,10.0,0.082107,0.008996,0.908897,1.0
1700,1305600,0.00014341013824884793,537.9,0.57,1.627452,60.51,18608,-0.004683,0.012555,0.00086,2.740754,0.003501,0.031799,0.474214,0.771372,0.66203,0.530599,0.509115,1.918798,13.0,0.22787,0.023751,0.748379,1.0
1750,1344000,0.00013880184331797234,535.3,0.43,1.440217,39.85,19361,-0.005087,0.042313,0.000744,2.516351,0.003189,0.025513,0.62774,0.622915,0.413836,0.406901,0.244792,2.300638,6.0,0.707778,0.062412,0.229811,0.0
1800,1382400,0.00013419354838709675,535.7,0.45,1.456817,48.6,20141,-0.005741,0.028485,0.000657,2.61284,0.003775,0.043488,0.308099,0.543052,0.59688,0.409245,0.231771,2.222253,11.0,0.881633,0.023794,0.094573,0.0
1850,1420800,0.0001295852534562212,540.8,0.58,1.646775,84.56,20674,-0.005651,0.025673,0.001835,2.743467,0.004439,0.045624,0.491101,0.617175,0.101849,0.55,0.553385,1.937714,2.0,0.941749,0.017331,0.040921,0.0
1900,1459200,0.0001249769585253456,541.0,0.28,1.151264,110.91,21070,-0.005265,0.004813,0.003479,2.982958,0.004649,0.039917,0.852361,0.672385,0.562351,0.776823,0.951823,1.424151,1.0,0.959076,0.015857,0.025067,0.0
1950,1497600,0.00012036866359447005,540.8,0.47,1.435657,103.73,21463,-0.00529,0.014889,0.001945,2.951561,0.003925,0.032135,0.606084,0.787953,0.536982,0.73737,0.949219,1.51749,4.0,0.957343,0.017599,0.025058,0.0
2000,1536000,0.00011576036866359445,541.5,0.5,1.52862,79.5,21876,-0.004477,0.031755,0.002763,2.802607,0.003612,0.039734,0.597061,0.687731,0.391413,0.726172,0.891927,1.548145,5.0,0.948513,0.025829,0.025658,0.0
2050,1574400,0.00011115207373271889,539.2,0.52,1.516368,74.61,22358,-0.004162,0.011784,0.001586,2.869156,0.003052,0.022156,0.702969,0.823046,0.721133,0.666406,0.80599,1.65757,6.0,0.950516,0.031287,0.018197,0.0
2100,1612800,0.00010654377880184331,539.1,0.63,1.694998,80.27,22817,-0.004011,0.015888,0.001937,2.837414,0.004184,0.037933,0.592321,0.748945,0.709806,0.68724,0.856771,1.624697,6.0,0.948395,0.037631,0.013974,0.0
2150,1651200,0.00010193548387096775,538.1,0.64,1.718703,73.33,23280,-0.00396,0.014783,0.001467,2.759789,0.003082,0.033051,0.550229,0.781578,0.697911,0.557682,0.540365,1.92047,6.0,0.962524,0.026314,0.011162,0.0
2200,1689600,9.732718894009215e-05,537.8,0.56,1.594343,74.44,23785,-0.003422,0.01363,0.001221,2.748195,0.002842,0.027985,0.429747,0.826029,0.685447,0.52513,0.514323,1.955888,5.0,0.972776,0.018524,0.0087,0.0
2250,1728000,9.271889400921658e-05,537.3,0.6,1.625238,74.37,24287,-0.003866,0.031431,0.002733,2.729924,0.002474,0.016113,0.222066,0.650764,0.491895,0.682422,0.84375,1.603882,7.0,0.977561,0.015277,0.007163,0.0
2300,1766400,8.811059907834102e-05,540.4,0.69,1.751631,100.39,24693,-0.004614,0.002193,0.001088,2.853928,0.003404,0.020325,0.889713,0.865045,0.892812,0.734375,0.940104,1.554728,7.0,0.975839,0.018199,0.005962,0.0
2350,1804800,8.350230414746542e-05,540.2,0.66,1.682089,94.67,25081,-0.004782,0.028954,0.00315,2.898003,0.003895,0.042938,0.364068,0.74397,0.328778,0.798958,0.9375,1.418123,5.0,0.967484,0.027384,0.005132,0.0
2400,1843200,7.889400921658985e-05,539.0,0.6,1.632872,91.28,25516,-0.003898,0.011852,0.001425,2.884166,0.003443,0.024994,0.568968,0.870529,0.778681,0.708724,0.85026,1.596521,8.0,0.933174,0.062362,0.004463,0.0
2450,1881600,7.428571428571429e-05,538.6,0.62,1.71234,83.58,26008,-0.004185,0.015402,0.001676,2.814058,0.003577,0.033569,0.580014,0.709523,0.80054,0.630729,0.740885,1.753837,6.0,0.952383,0.043541,0.004076,0.0
2500,1920000,6.967741935483871e-05,539.4,0.62,1.673939,75.97,26448,-0.004589,0.020306,0.001547,2.797222,0.002792,0.013214,0.515526,0.752043,0.720097,0.569531,0.614583,1.883576,6.0,0.963511,0.032749,0.003741,0.0
2550,1958400,6.506912442396311e-05,537.4,0.62,1.662025,84.59,26925,-0.00341,0.007962,0.001947,2.907943,0.002231,0.018524,0.594514,0.811974,0.868982,0.659245,0.778646,1.689151,7.0,0.972383,0.02419,0.003426,0.0
2600,1996800,6.046082949308755e-05,539.7,0.59,1.61359,79.13,27391,-0.003044,0.006555,0.001551,2.961371,0.002979,0.028137,0.77152,0.808759,0.801239,0.799219,0.953125,1.401919,4.0,0.967937,0.028964,0.003098,0.0
2650,2035200,5.585253456221198e-05,538.3,0.48,1.471751,68.69,27872,-0.002405,0.03185,0.002908,2.912038,0.001245,0.002838,0.622474,0.736557,0.23347,0.750781,0.950521,1.472093,4.0,0.947242,0.049951,0.002806,0.0
2700,2073600,5.1244239631336414e-05,537.6,0.73,1.785642,74.68,28433,-0.002163,0.013904,0.001714,2.843446,0.001036,0.000519,0.682376,0.812704,0.747904,0.614583,0.761719,1.745754,8.0,0.929687,0.067725,0.002588,0.0
2750,2112000,4.663594470046081e-05,537.7,0.62,1.662953,79.85,28945,-0.003322,0.028261,0.002285,2.821222,0.002629,0.021027,0.520513,0.702121,0.588201,0.636068,0.822917,1.672718,3.0,0.9443,0.053311,0.002389,0.0
2800,2150400,4.2027649769585247e-05,537.8,0.63,1.686651,76.16,29484,-0.002274,0.012076,0.000796,2.832941,0.001175,0.003326,0.627152,0.881433,0.786013,0.542057,0.546875,1.940421,7.0,0.960637,0.03708,0.002283,0.0
2850,2188800,3.741935483870968e-05,534.3,0.53,1.569587,61.32,30051,-0.001957,0.04346,0.001591,2.818466,0.001647,0.006561,0.423422,0.770104,0.471227,0.548047,0.490885,1.914196,5.0,0.974387,0.023457,0.002155,0.0
2900,2227200,3.2811059907834113e-05,537.8,0.57,1.612892,69.44,30577,-0.002326,0.014952,0.001,2.850446,0.00091,0.000549,0.693642,0.858767,0.753798,0.536198,0.582031,1.921128,5.0,0.980737,0.017257,0.002006,0.0
2950,2265600,2.8202764976958513e-05,539.2,0.69,1.785756,80.19,31089,-0.001774,0.0192,0.001597,2.883943,0.001089,0.0,0.633309,0.716236,0.702591,0.596224,0.677083,1.817396,4.0,0.983868,0.014241,0.001891,0.0
3000,2304000,2.3594470046082947e-05,538.5,0.57,1.58424,80.71,31583,-0.001618,0.017325,0.002156,2.884089,0.000511,9.2e-05,0.525264,0.700906,0.870304,0.634245,0.75651,1.718368,6.0,0.984932,0.013286,0.001782,0.0
3050,2342400,1.898617511520738e-05,539.3,0.57,1.615097,92.99,32018,-0.001902,0.023215,0.00218,2.964922,0.000801,0.0,0.49367,0.694467,0.804152,0.703776,0.9375,1.575435,4.0,0.984259,0.014079,0.001662,0.0
3100,2380800,1.437788018433178e-05,539.3,0.67,1.696291,88.0,32445,-0.000537,0.031618,0.001598,2.952575,7.7e-05,0.0,0.51138,0.801009,0.543311,0.675911,0.854167,1.638245,6.0,0.983325,0.015109,0.001566,0.0
3150,2419200,9.769585253456213e-06,538.2,0.67,1.748981,77.01,32949,-0.000591,0.041578,0.001907,2.916437,0.000121,0.0,0.474873,0.750696,0.501491,0.590885,0.707031,1.79274,4.0,0.98511,0.013426,0.001464,0.0
3200,2457600,5.1612903225806465e-06,539.5,0.58,1.66892,85.78,33384,-0.000397,0.021459,0.001674,2.982736,4.1e-05,0.0,0.575511,0.806268,0.565042,0.707031,0.878906,1.584742,8.0,0.984717,0.01392,0.001363,0.0
