update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,484.9,0.0,0.764962,49.333333,6,-0.006187,0.023825,0.031798,3.306294,0.004782,0.047455,0.431809,-0.499332,-0.186522,0.14292,0.9625,0.011719,1.0,0.917387,0.0,0.248055,0.245586,0.245586,0.260773,1.0
50,38400,0.00029774193548387094,514.3,0.01,0.882265,53.58,592,-0.006818,0.002806,0.002573,2.834722,0.005108,0.055756,0.886122,0.392221,-0.427605,-0.902488,0.5875,0.0,0.641927,1.82039,0.0,0.158487,0.034398,0.041206,0.765909,1.0
100,76800,0.0002954377880184332,506.3,0.0,0.899208,42.48,1276,-0.005846,0.002152,0.002446,2.776603,0.004588,0.053162,0.938368,0.139268,-1.264986,-1.017439,0.688542,0.0,0.865885,1.589162,0.0,0.068579,0.007673,0.009423,0.914325,1.0
150,115200,0.00029313364055299536,499.3,0.04,0.902225,57.22,2038,-0.008006,0.010017,0.002443,2.850967,0.005722,0.069336,0.721173,0.504048,-0.776443,-0.765736,0.811328,0.0,0.960938,1.323786,1.0,0.040793,0.00365,0.004333,0.951223,1.0
200,153600,0.00029082949308755754,498.9,0.0,0.842901,72.96,2681,-0.007337,0.00127,0.003287,2.791663,0.006049,0.073334,0.961577,0.504542,-0.47746,-0.612983,0.788802,0.0,0.919271,1.365003,0.0,0.028231,0.002239,0.002579,0.966951,1.0
250,192000,0.00028852534562211977,501.0,0.03,0.914203,53.97,3290,-0.004752,0.009884,0.002574,2.600569,0.006827,0.090912,0.794538,0.37786,-0.241825,-0.018734,0.714453,0.0,0.856771,1.542573,1.0,0.020857,0.001508,0.001709,0.975926,1.0
300,230400,0.000286221198156682,499.2,0.01,0.900643,43.33,4230,-0.005112,0.008363,0.001822,2.651614,0.005808,0.076111,0.798685,0.435424,-1.821954,-0.021897,0.690885,0.0,0.807292,1.579971,1.0,0.016216,0.001077,0.001225,0.981483,1.0
350,268800,0.00028391705069124424,499.1,0.03,0.894061,52.59,4884,-0.008723,0.003173,0.002194,2.697785,0.00671,0.081848,0.920196,0.442723,-0.219902,-0.173885,0.733333,0.0,0.904948,1.503472,0.0,0.013062,0.000815,0.000923,0.9852,1.0
400,307200,0.0002816129032258064,499.2,0.05,0.965174,51.59,5658,-0.00601,0.009108,0.002051,2.597926,0.004788,0.057526,0.829264,0.603666,-0.738643,0.22697,0.741667,0.0,0.890625,1.55302,1.0,0.010907,0.000648,0.000731,0.987713,1.0
450,345600,0.00027930875576036865,509.5,0.1,1.019319,42.33,6560,-0.007858,0.018817,0.001543,2.635964,0.006302,0.082214,0.617591,0.723121,-0.054337,0.063444,0.794141,0.0,0.942708,1.391604,3.0,0.009374,0.000536,0.000602,0.989488,1.0
500,384000,0.0002770046082949309,511.6,0.05,0.895026,64.49,7228,-0.006338,0.009494,0.005419,2.699342,0.007295,0.103119,0.771209,0.09203,-0.598341,0.060792,0.943099,0.0,1.0,1.026674,1.0,0.008111,0.00045,0.000501,0.990939,1.0
550,422400,0.00027470046082949306,512.0,0.03,0.85478,69.04,7762,-0.009192,0.001665,0.004188,2.734682,0.006022,0.074921,0.931508,0.262168,-0.039836,0.185084,0.938411,0.0,1.0,1.010164,0.0,0.007094,0.000385,0.000422,0.992099,1.0
600,460800,0.00027239631336405524,511.9,0.02,0.87516,76.19,8340,-0.006518,0.001158,0.004391,2.696191,0.005454,0.064728,0.95343,0.301922,0.005466,0.572508,0.910417,0.0,0.996094,1.004084,0.0,0.006225,0.00033,0.000358,0.993086,1.0
650,499200,0.0002700921658986175,511.7,0.07,0.947833,74.85,8865,-0.007064,0.01055,0.003874,2.688807,0.006196,0.078217,0.715435,0.465024,-0.056055,-0.231804,0.808333,0.0,0.971354,1.32581,1.0,0.005542,0.000287,0.00031,0.993861,1.0
700,537600,0.0002677880184331797,512.1,0.1,0.991389,87.12,9384,-0.00838,0.004327,0.002817,2.839846,0.005724,0.068054,0.881054,0.624276,-0.062853,0.015675,0.935547,0.0,1.0,0.975862,0.0,0.005012,0.000254,0.000274,0.994461,1.0
750,576000,0.00026548387096774194,512.3,0.13,1.04835,61.61,9933,-0.007672,0.003077,0.003735,2.736188,0.005064,0.05423,0.894138,0.270723,-0.331042,0.253469,0.877604,0.0,0.998698,1.218721,0.0,0.004555,0.000227,0.000243,0.994975,1.0
800,614400,0.0002631797235023041,509.7,0.12,0.987635,70.69,10534,-0.007049,0.009006,0.00385,2.593628,0.00613,0.080566,0.756061,0.310354,-0.669708,-0.117893,0.858594,0.0,0.998698,1.209409,1.0,0.004188,0.000206,0.000219,0.995388,1.0
850,652800,0.0002608755760368663,509.2,0.12,1.003812,60.24,11133,-0.007151,0.007417,0.003011,2.658221,0.007007,0.093658,0.822718,0.4683,-0.53476,0.037021,0.835156,0.0,0.992188,1.25015,2.0,0.003868,0.000187,0.000198,0.995747,1.0
900,691200,0.00025857142857142854,507.8,0.14,1.017813,53.64,11768,-0.007629,0.014515,0.00312,2.646454,0.005191,0.053253,0.696807,0.4538,-0.340394,0.396679,0.823177,0.0,0.992188,1.226715,2.0,0.003609,0.000172,0.000182,0.996037,1.0
950,729600,0.00025626728110599077,509.0,0.17,1.068991,56.4,12419,-0.008333,0.011693,0.003193,2.669978,0.005372,0.056335,0.763958,0.428447,-0.925507,0.147773,0.817578,0.0,0.976562,1.311738,2.0,0.003376,0.000158,0.000168,0.996298,1.0
1000,768000,0.00025396313364055295,512.0,0.14,1.007463,71.03,12930,-0.008603,0.009972,0.002917,2.56828,0.006364,0.0867,0.638058,0.603192,0.163858,0.129628,0.721745,0.0,0.966146,1.516696,1.0,0.003183,0.000147,0.000156,0.996514,1.0
1050,806400,0.0002516589861751152,513.8,0.12,1.024949,77.35,13406,-0.007397,0.019789,0.004797,2.587312,0.005046,0.058472,0.629702,0.401769,-0.356755,0.340396,0.841797,0.0,0.994792,1.275774,3.0,0.002972,0.000135,0.000143,0.99675,1.0
1100,844800,0.0002493548387096774,507.6,0.19,1.113044,68.73,13902,-0.006393,0.013766,0.003917,2.699303,0.005276,0.060577,0.812891,0.185458,0.390407,0.087835,0.928385,0.0,1.0,1.062997,2.0,0.002809,0.000126,0.000134,0.996931,1.0
