update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,487.8,0.0,0.856716,35.0,5,-0.008964,0.026443,0.029799,3.303744,0.006257,0.0867,0.115596,-0.215067,-0.226274,0.072886,0.963932,0.0,1.0,0.919259,0.0,0.244344,0.256872,0.241913,0.256872,1.0
50,38400,0.00029774193548387094,511.4,0.06,0.95269,22.48,1254,-0.004024,0.008406,0.00094,1.935748,0.004665,0.049255,0.783379,-0.479271,-1.0463,-1.046272,0.152995,0.02474,0.139323,3.244642,1.0,0.139388,0.104659,0.044029,0.711924,1.0
100,76800,0.0002954377880184332,498.8,0.08,0.950691,30.38,2679,-0.006382,0.010875,0.001003,2.542999,0.005184,0.061462,0.725703,0.421982,-1.808122,-1.520669,0.410286,0.0,0.307292,2.223996,1.0,0.061834,0.019964,0.011601,0.906601,1.0
150,115200,0.00029313364055299536,501.3,0.04,0.911581,51.77,3630,-0.00553,0.00404,0.00186,2.620173,0.004649,0.046051,0.911772,0.6528,-0.972633,-0.960336,0.651823,0.0,0.704427,1.709056,0.0,0.040039,0.01047,0.00594,0.943551,1.0
200,153600,0.00029082949308755754,504.0,0.03,0.884509,51.85,4452,-0.0082,0.002284,0.003273,2.820471,0.00651,0.082489,0.935271,0.331117,-1.213721,-1.779903,0.860547,0.0,0.955729,1.227893,0.0,0.029154,0.006893,0.003706,0.960247,1.0
250,192000,0.00028852534562211977,504.8,0.06,0.929804,74.65,5061,-0.007075,0.003926,0.002913,2.708954,0.006134,0.081055,0.909416,0.405999,0.288423,-0.586933,0.780339,0.0,0.917969,1.42768,0.0,0.022776,0.005136,0.00258,0.969508,1.0
300,230400,0.000286221198156682,505.7,0.08,0.960764,62.81,5665,-0.007346,0.006144,0.004057,2.829305,0.006376,0.081085,0.846934,0.508586,-0.130908,0.127376,0.789974,0.0,0.946615,1.394683,2.0,0.018379,0.003954,0.0019,0.975767,1.0
350,268800,0.00028391705069124424,505.2,0.07,0.927659,63.36,6248,-0.006319,0.00485,0.00344,2.660768,0.00528,0.056641,0.875819,0.570143,-1.016178,0.082316,0.754036,0.0,0.794271,1.444452,1.0,0.015162,0.003132,0.001454,0.980253,1.0
400,307200,0.0002816129032258064,502.6,0.06,0.921173,71.97,6815,-0.009216,0.002601,0.003429,2.76454,0.006214,0.081055,0.936685,0.320092,0.36578,-0.841138,0.880599,0.0,0.96875,1.174053,0.0,0.012921,0.002595,0.001163,0.983321,1.0
450,345600,0.00027930875576036865,504.9,0.07,0.959416,73.22,7326,-0.007026,0.006127,0.003601,2.748364,0.005025,0.055786,0.846505,0.417965,-1.357603,0.165909,0.903255,0.0,0.994792,1.12555,1.0,0.011204,0.002203,0.000955,0.985637,1.0
