update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,503.3,0.0,0.792384,41.6,5,-0.007551,0.023349,0.023988,3.30599,0.00472,0.049744,0.515358,0.044421,0.436302,-0.068828,0.964583,0.0,1.0,0.924188,0.0,0.244344,0.256872,0.241913,0.256872,1.0
50,38400,0.0002954838709677419,513.9,0.01,0.895166,34.12,820,-0.005537,0.003664,0.001278,2.29436,0.004716,0.049225,0.87834,0.222088,-1.170905,-1.612504,0.233854,0.0,0.160156,2.78366,0.0,0.137065,0.070792,0.042944,0.7492,1.0
100,76800,0.00029087557603686633,502.8,0.01,0.895966,47.59,1834,-0.007252,0.002337,0.00162,2.634384,0.006833,0.085724,0.935068,0.577035,-2.220114,-1.215286,0.486458,0.0,0.371094,2.072816,0.0,0.057374,0.013287,0.009667,0.919672,1.0
150,115200,0.00028626728110599074,486.8,0.02,0.885108,54.14,2684,-0.00799,0.002024,0.002034,2.719024,0.00493,0.053558,0.943379,0.564467,-1.219612,-0.963052,0.730859,0.0,0.890625,1.456072,0.0,0.035612,0.006651,0.004579,0.953158,1.0
200,153600,0.0002816589861751152,497.9,0.03,0.917475,55.48,3327,-0.007153,0.006763,0.002264,2.774887,0.005658,0.067932,0.833962,0.548515,-0.327232,-0.549266,0.762109,0.0,0.954427,1.387704,1.0,0.025629,0.004356,0.002797,0.967218,1.0
250,192000,0.0002770506912442396,505.2,0.03,0.907142,61.61,3903,-0.008568,0.003304,0.004334,2.841074,0.006659,0.091858,0.897867,0.245297,-0.836457,-0.893638,0.925,0.0,1.0,0.943898,0.0,0.019743,0.003195,0.001911,0.975151,1.0
300,230400,0.00027244239631336403,505.8,0.05,0.892948,82.62,4436,-0.00729,0.01122,0.004672,2.904544,0.006367,0.078766,0.744938,0.52999,-0.552003,-0.065999,0.85651,0.0,0.959635,1.211865,2.0,0.015859,0.002485,0.001399,0.980257,1.0
350,268800,0.00026783410138248845,505.5,0.1,0.993935,48.68,5053,-0.007894,0.01513,0.002643,2.738285,0.006501,0.084564,0.705755,0.529102,-2.145484,-0.271108,0.779427,0.0,0.958333,1.356361,2.0,0.01316,0.002004,0.001079,0.983757,1.0
400,307200,0.00026322580645161286,505.3,0.05,0.913513,55.14,5756,-0.007361,0.002375,0.003221,2.725153,0.005549,0.065674,0.945285,0.472039,-0.285915,-0.706871,0.770964,0.0,0.920573,1.374403,0.0,0.011106,0.001634,0.000857,0.986403,1.0
450,345600,0.0002586175115207373,503.6,0.09,0.932406,56.07,6601,-0.00726,0.002801,0.003333,2.658158,0.005346,0.067474,0.919282,0.451562,0.025051,-0.002106,0.824219,0.0,0.921875,1.250211,0.0,0.009518,0.001358,0.000697,0.988428,1.0
500,384000,0.00025400921658986174,503.9,0.04,0.910917,65.65,7328,-0.00847,0.002694,0.004235,2.728553,0.006349,0.083649,0.916301,0.341231,0.002932,-0.287974,0.93138,0.009115,0.998698,1.005452,0.0,0.008297,0.001162,0.00058,0.989962,1.0
550,422400,0.00024940092165898615,506.6,0.05,0.918896,49.71,8063,-0.008821,0.002585,0.002884,2.703734,0.006291,0.080963,0.952693,0.388585,-0.449586,-0.62259,0.889323,0.0,0.986979,1.155486,0.0,0.007318,0.001011,0.000491,0.991181,1.0
600,460800,0.00024479262672811057,503.3,0.03,0.924969,56.66,8765,-0.006442,0.00612,0.003537,2.787795,0.006216,0.077118,0.892156,0.385089,-0.438925,-0.018677,0.95,0.0,1.0,0.973581,1.0,0.006491,0.000885,0.000419,0.992205,1.0
650,499200,0.000240184331797235,503.9,0.05,0.939619,58.51,9477,-0.007705,0.013988,0.002801,2.753442,0.006891,0.09494,0.640005,0.548751,-0.307737,0.160075,0.892448,0.0,1.0,1.109594,2.0,0.00578,0.000779,0.00036,0.993081,1.0
700,537600,0.00023557603686635942,503.5,0.06,0.946049,63.57,10142,-0.007029,0.010065,0.003723,2.698601,0.005738,0.072144,0.789994,0.336636,-0.469948,-0.170079,0.917188,0.0,1.0,1.077075,1.0,0.005223,0.000696,0.000316,0.993766,1.0
750,576000,0.00023096774193548386,504.1,0.08,0.942188,71.14,10712,-0.007711,0.014619,0.004182,2.678383,0.006413,0.085327,0.585642,0.154431,0.156099,0.412162,0.931771,0.0,1.0,1.046718,3.0,0.004754,0.000628,0.00028,0.994338,1.0
800,614400,0.00022635944700460827,507.0,0.15,1.035776,69.2,11255,-0.007442,0.012047,0.002915,2.677859,0.006363,0.087921,0.745649,0.489207,0.508578,0.056204,0.95,0.0,1.0,0.987005,1.0,0.004359,0.000571,0.00025,0.99482,1.0
850,652800,0.0002217511520737327,504.8,0.06,0.929468,78.66,11843,-0.007385,0.002781,0.00321,2.624815,0.00496,0.054657,0.9318,0.509376,0.162819,-0.68983,0.908854,0.0,1.0,1.150642,0.0,0.004014,0.000522,0.000225,0.995239,1.0
