update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_success,c_slow,c_team,speed,n_succ,lam0,lam_slow,lam_succ,boot
1,768,0.0003,540.9,0.0,0.604281,59.0,3,-0.007516,0.021534,0.022051,3.306663,0.004646,0.0513,0.555264,-0.281883,0.105589,0.955729,1.0,0.941099,0.0,0.328804,0.325533,0.345663,1.0
50,38400,0.0002954838709677419,561.3,0.01,0.871937,64.06,544,-0.006621,0.002072,0.002285,2.948118,0.004653,0.047668,0.933756,0.629808,-0.884156,0.728906,0.842448,1.517186,0.0,0.167337,0.037976,0.794688,1.0
100,76800,0.00029087557603686633,545.5,0.02,0.910138,51.96,1274,-0.007378,0.002458,0.002992,2.793798,0.004624,0.051208,0.92209,0.225213,-0.868568,0.680078,0.776042,1.638333,0.0,0.068965,0.007844,0.923191,1.0
150,115200,0.00028626728110599074,529.2,0.05,0.925739,51.12,2053,-0.007005,0.012563,0.002633,2.741696,0.005088,0.062561,0.796131,-0.006105,-0.733117,0.666146,0.747396,1.693742,2.0,0.040487,0.003625,0.955888,1.0
200,153600,0.0002816589861751152,528.1,0.02,0.855159,77.84,2691,-0.007281,0.001724,0.003765,2.755884,0.004935,0.057343,0.944458,0.402417,-1.557299,0.829036,0.950521,1.294085,0.0,0.028358,0.002251,0.969391,1.0
250,192000,0.0002770506912442396,524.9,0.01,0.872441,75.49,3203,-0.009009,0.00123,0.002742,2.851907,0.005968,0.07254,0.965458,0.401167,-0.994785,0.838542,0.970052,1.273487,0.0,0.020757,0.001518,0.977725,1.0
300,230400,0.00027244239631336403,529.4,0.05,0.93806,84.3,3657,-0.007254,0.002291,0.003677,2.695209,0.005481,0.069214,0.926528,0.364857,0.170934,0.839193,0.983073,1.323364,0.0,0.015947,0.001099,0.982954,1.0
350,268800,0.00026783410138248845,529.6,0.02,0.917461,82.27,4137,-0.006407,0.000955,0.002402,2.634136,0.005389,0.065186,0.973988,0.545878,-0.040569,0.874479,0.985677,1.180693,0.0,0.012789,0.000842,0.986369,1.0
400,307200,0.00026322580645161286,528.7,0.06,0.877873,103.59,4568,-0.006345,0.004572,0.003311,2.709815,0.006104,0.080658,0.842682,0.653285,0.376091,0.892057,0.984375,1.08856,1.0,0.010484,0.000666,0.98885,1.0
450,345600,0.0002586175115207373,529.5,0.02,0.883575,98.98,4978,-0.008777,0.001259,0.004905,2.698937,0.00524,0.065521,0.950542,0.423918,0.622459,0.936849,1.0,1.008211,0.0,0.00886,0.000548,0.990592,1.0
500,384000,0.00025400921658986174,528.0,0.05,0.905862,92.76,5367,-0.007026,0.005188,0.004403,2.622656,0.006771,0.092957,0.87117,0.36481,0.15726,0.930078,1.0,0.966145,1.0,0.007496,0.000451,0.992053,1.0
550,422400,0.00024940092165898615,529.5,0.04,0.853542,92.9,5818,-0.005875,0.001261,0.007709,2.650017,0.004996,0.054291,0.95619,0.268318,-0.231203,0.952734,1.0,0.904784,0.0,0.006513,0.000384,0.993102,1.0
600,460800,0.00024479262672811057,527.1,0.08,0.957662,90.94,6317,-0.006469,0.00556,0.005729,2.70434,0.004644,0.050262,0.871075,0.384998,0.547843,0.901172,0.981771,1.102708,1.0,0.005741,0.000333,0.993926,1.0
650,499200,0.000240184331797235,530.6,0.09,0.981821,80.22,6849,-0.007233,0.012929,0.005139,2.718434,0.006554,0.086914,0.680719,0.378005,0.037674,0.901432,0.986979,1.091627,2.0,0.005125,0.000292,0.994583,1.0
700,537600,0.00023557603686635942,540.7,0.06,0.902314,105.65,7273,-0.007568,0.00177,0.004395,2.741589,0.005043,0.057465,0.958436,0.532573,0.296746,0.932943,1.0,1.047609,0.0,0.004602,0.000258,0.99514,1.0
750,576000,0.00023096774193548386,538.6,0.07,0.896857,89.65,7700,-0.00551,0.008713,0.003476,2.676899,0.005133,0.063782,0.65162,0.591069,0.500621,0.915104,0.976562,1.100472,1.0,0.004127,0.000228,0.995645,1.0
800,614400,0.00022635944700460827,539.9,0.05,0.910004,88.24,8169,-0.00744,0.002544,0.005719,2.741493,0.005179,0.059357,0.91464,0.247323,0.085415,0.945573,1.0,1.011502,0.0,0.00374,0.000204,0.996056,1.0
850,652800,0.0002217511520737327,535.5,0.08,0.949992,75.11,8655,-0.004628,0.00979,0.00361,2.779104,0.00488,0.058075,0.792315,0.378484,0.06614,0.93151,1.0,1.083873,1.0,0.003442,0.000186,0.996372,1.0
900,691200,0.00021714285714285713,539.1,0.06,0.905618,70.25,9118,-0.006483,0.008784,0.004203,2.837761,0.004987,0.061798,0.802029,0.428362,0.384471,0.963411,1.0,0.937433,1.0,0.003169,0.00017,0.996661,1.0
950,729600,0.00021253456221198154,538.4,0.04,0.893899,82.22,9594,-0.007117,0.002101,0.006793,2.822782,0.004832,0.054962,0.941422,0.372878,0.012528,0.928646,1.0,1.039804,0.0,0.0029,0.000154,0.996946,1.0
1000,768000,0.00020792626728110595,536.0,0.11,0.995985,80.51,10046,-0.006558,0.014554,0.005347,2.690756,0.005043,0.058533,0.606271,0.359034,0.033138,0.904427,1.0,1.097052,2.0,0.002671,0.00014,0.997189,1.0
1050,806400,0.00020331797235023042,534.7,0.26,1.177859,77.93,10566,-0.007648,0.011421,0.001887,2.689621,0.00505,0.061951,0.610805,0.716664,0.43841,0.820964,0.973958,1.308027,2.0,0.002525,0.000131,0.997344,1.0
1100,844800,0.0001987096774193548,532.3,0.23,1.143549,74.28,11020,-0.006667,0.010625,0.003738,2.541514,0.004587,0.053253,0.778975,0.523965,0.339802,0.832292,0.990885,1.192619,3.0,0.002458,0.000127,0.997415,1.0
1150,883200,0.00019410138248847925,536.8,0.11,0.988045,70.27,11477,-0.004342,0.015039,0.001846,2.564869,0.004507,0.044617,0.715948,0.804663,0.479541,0.895312,1.0,1.105766,2.0,0.002342,0.00012,0.997537,1.0
1200,921600,0.0001894930875576037,536.6,0.26,1.195944,78.18,11959,-0.007439,0.011843,0.005962,2.703307,0.005682,0.066681,0.850739,0.305176,0.218722,0.869531,0.994792,1.212747,2.0,0.002237,0.000114,0.997649,1.0
1250,960000,0.00018488479262672807,536.8,0.27,1.209558,93.69,12378,-0.006836,0.010913,0.004031,2.655727,0.004144,0.043945,0.877818,0.571925,0.276179,0.91276,1.0,1.044315,1.0,0.002163,0.00011,0.997727,1.0
1300,998400,0.00018027649769585251,537.5,0.24,1.183041,71.29,12868,-0.007425,0.016461,0.006648,2.586404,0.005058,0.059448,0.622669,-0.013188,0.521758,0.922266,1.0,1.040858,4.0,0.002091,0.000106,0.997803,1.0
1350,1036800,0.00017566820276497695,535.3,0.29,1.23912,68.47,13351,-0.006463,0.019621,0.003452,2.677084,0.004014,0.038879,0.630217,0.635269,0.690854,0.933594,1.0,1.01258,6.0,0.001999,0.000101,0.9979,1.0
1400,1075200,0.00017105990783410134,535.2,0.33,1.320596,72.86,13907,-0.006629,0.02089,0.003262,2.653285,0.004699,0.049774,0.695881,0.46016,0.141127,0.883984,0.994792,1.140258,3.0,0.00195,9.8e-05,0.997952,1.0
1450,1113600,0.00016645161290322578,536.7,0.23,1.159699,55.68,14535,-0.007229,0.009523,0.003449,2.64094,0.004198,0.046997,0.890246,0.47425,0.627506,0.886458,1.0,1.139946,3.0,0.001892,9.5e-05,0.998013,1.0
1500,1152000,0.00016184331797235022,531.3,0.48,1.487828,63.54,15110,-0.005675,0.027024,0.002946,2.732776,0.004538,0.044617,0.645127,0.510928,0.47726,0.720312,0.865885,1.540406,4.0,0.001866,9.3e-05,0.99804,1.0
1550,1190400,0.0001572350230414746,533.6,0.41,1.422537,77.27,15630,-0.006369,0.021137,0.003606,2.781736,0.003796,0.036682,0.568463,0.522571,0.406236,0.790625,0.934896,1.35226,7.0,0.00189,9.4e-05,0.998015,1.0
1600,1228800,0.00015262672811059907,536.3,0.42,1.425811,82.05,16128,-0.006426,0.023768,0.003025,2.811485,0.004803,0.051514,0.676353,0.512584,0.457189,0.729427,0.863281,1.496657,4.0,0.001877,9.4e-05,0.998029,1.0
1650,1267200,0.0001480184331797235,536.1,0.4,1.372163,72.92,16681,-0.007548,0.012188,0.002306,2.75202,0.004797,0.055878,0.745693,0.679489,0.782501,0.723177,0.833333,1.50025,4.0,0.001893,9.4e-05,0.998013,1.0
1700,1305600,0.00014341013824884793,535.1,0.36,1.350287,78.08,17231,-0.006199,0.019881,0.003161,2.802132,0.004248,0.046997,0.384569,0.485367,0.692431,0.802995,0.997396,1.322258,6.0,0.001912,9.5e-05,0.997993,1.0
1750,1344000,0.00013880184331797234,529.7,0.52,1.479588,78.35,17730,-0.006371,0.024075,0.002585,2.874601,0.00441,0.048126,0.467031,0.660139,0.423732,0.832292,0.983073,1.253334,5.0,0.001943,9.6e-05,0.997961,1.0
1800,1382400,0.00013419354838709675,513.4,0.5,1.556178,74.6,18252,-0.006669,0.02239,0.002421,2.878978,0.004676,0.048309,0.526048,0.695719,0.561215,0.851823,0.99349,1.182978,6.0,0.001986,9.9e-05,0.997916,1.0
