update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,480.5,0.0,0.764962,49.333333,6,-0.006187,0.023825,0.031798,3.306294,0.004782,0.047455,0.431809,-0.499332,-0.186522,0.14292,0.9625,0.011719,1.0,0.917387,0.0,0.248055,0.245586,0.245586,0.260773,1.0
50,38400,0.00029774193548387094,503.7,0.01,0.827934,71.07,517,-0.006408,0.002758,0.003335,2.946164,0.004989,0.051514,0.936403,0.452728,-1.741004,-0.979872,0.765104,0.0,0.942708,1.457594,0.0,0.158452,0.036145,0.039512,0.765892,1.0
100,76800,0.0002954377880184332,499.4,0.01,0.864854,56.54,1207,-0.008078,0.003334,0.002425,2.842694,0.006081,0.07547,0.91553,0.523986,-1.192877,-1.279235,0.686719,0.0,0.777344,1.620131,0.0,0.066343,0.006988,0.008688,0.917981,1.0
150,115200,0.00029313364055299536,496.1,0.02,0.840129,51.26,2022,-0.008453,0.007538,0.003098,2.82305,0.007546,0.104431,0.727927,0.374786,-1.358185,-0.527117,0.758594,0.0,0.904948,1.413485,1.0,0.038611,0.003117,0.003911,0.954362,1.0
200,153600,0.00029082949308755754,494.2,0.05,0.890551,53.68,2660,-0.008232,0.003948,0.004056,2.795159,0.005139,0.057617,0.899805,0.105411,0.239873,-0.486004,0.823438,0.059896,0.984375,1.303919,0.0,0.02645,0.001872,0.002309,0.969369,1.0
250,192000,0.00028852534562211977,497.5,0.07,0.919273,77.63,3264,-0.007271,0.003544,0.004463,2.692284,0.005423,0.062988,0.869566,0.215453,0.277523,0.527828,0.850911,0.0,0.99349,1.226582,0.0,0.020167,0.00131,0.001601,0.976922,1.0
300,230400,0.000286221198156682,502.1,0.11,0.985805,76.73,3794,-0.008256,0.005794,0.005053,2.779113,0.006578,0.086609,0.876622,0.272805,-0.747391,0.671281,0.871615,0.0,0.983073,1.161253,1.0,0.015855,0.000969,0.001163,0.982014,1.0
350,268800,0.00028391705069124424,501.3,0.15,1.024375,60.66,4365,-0.008525,0.013537,0.004684,2.668616,0.006335,0.083923,0.754669,0.465373,-0.135939,0.29742,0.849479,0.0,0.972656,1.226911,2.0,0.013156,0.000767,0.000911,0.985166,1.0
400,307200,0.0002816129032258064,502.1,0.04,0.901008,75.45,4913,-0.008733,0.002272,0.0061,2.735339,0.006294,0.08197,0.943559,0.196225,-0.65381,-0.321455,0.946745,0.0,1.0,0.954372,0.0,0.011104,0.000622,0.000731,0.987543,1.0
450,345600,0.00027930875576036865,499.6,0.2,1.089215,74.99,5410,-0.009472,0.008623,0.004994,2.682651,0.006395,0.081482,0.849021,0.245145,0.359865,0.322021,0.893229,0.005208,0.972656,1.10136,1.0,0.009588,0.000519,0.000605,0.989287,1.0
500,384000,0.0002770046082949309,500.5,0.17,1.042465,68.24,5888,-0.006737,0.012856,0.003858,2.752804,0.005645,0.067932,0.699643,0.552913,0.070291,-0.057202,0.898958,0.005208,0.99349,1.084004,2.0,0.008642,0.000456,0.00053,0.990371,1.0
550,422400,0.00027470046082949306,499.6,0.11,0.951244,81.38,6387,-0.009196,0.007711,0.005075,2.598072,0.006727,0.08667,0.812095,0.53913,-0.442,-0.012679,0.963932,0.0,1.0,0.860031,1.0,0.007766,0.000401,0.000462,0.991371,1.0
600,460800,0.00027239631336405524,502.5,0.14,0.983044,82.62,6854,-0.008031,0.002865,0.004652,2.585685,0.006277,0.081024,0.953734,0.506745,0.41764,0.392395,0.936849,0.0,1.0,1.002623,0.0,0.006878,0.000347,0.000396,0.992379,1.0
650,499200,0.0002700921658986175,509.3,0.11,0.995041,87.4,7311,-0.009669,0.003747,0.007428,2.542924,0.006494,0.084229,0.940994,0.477803,-1.309685,-0.034762,0.94375,0.0,1.0,0.98994,0.0,0.006143,0.000303,0.000344,0.99321,1.0
700,537600,0.0002677880184331797,512.4,0.07,0.880335,91.02,7739,-0.009385,0.002814,0.004342,2.516802,0.006289,0.083679,0.866707,0.59323,0.021225,-0.541268,0.936328,0.0,0.996094,1.022761,0.0,0.005542,0.000268,0.000302,0.993887,1.0
750,576000,0.00026548387096774194,512.1,0.16,0.993401,104.86,8137,-0.007494,0.005974,0.003392,2.507883,0.006165,0.077545,0.861152,0.611273,0.069811,-0.455279,0.895573,0.0,0.994792,1.100319,0.0,0.004998,0.000237,0.000266,0.994499,1.0
800,614400,0.0002631797235023041,512.4,0.18,1.095661,86.47,8556,-0.007197,0.02476,0.001818,2.524557,0.005706,0.071869,0.467698,0.811704,0.39387,0.180578,0.896615,0.0,0.992188,1.148529,5.0,0.004566,0.000213,0.000238,0.994983,1.0
850,652800,0.0002608755760368663,508.6,0.16,1.018926,98.4,8946,-0.006589,0.006605,0.003295,2.488155,0.004967,0.057831,0.862668,0.560863,-0.105351,0.439389,0.926823,0.0,1.0,1.083744,1.0,0.004179,0.000192,0.000213,0.995416,1.0
900,691200,0.00025857142857142854,452.3,0.2,1.091473,109.26,9295,-0.008646,0.012676,0.004947,2.659844,0.006027,0.076233,0.755567,0.389187,0.584857,0.347821,0.917708,0.002604,0.998698,1.106586,2.0,0.003865,0.000175,0.000194,0.995766,1.0
950,729600,0.00025626728110599077,485.8,0.14,1.030667,76.13,9700,-0.006842,0.01335,0.003541,2.655291,0.005951,0.079132,0.7282,0.521707,0.352943,0.366389,0.864714,0.002604,0.973958,1.230681,3.0,0.003592,0.00016,0.000177,0.996071,1.0
1000,768000,0.00025396313364055295,509.5,0.24,1.122222,98.3,10090,-0.008089,0.0111,0.005711,2.547532,0.005303,0.059784,0.873848,0.565987,0.335916,0.672775,0.894922,0.0,0.994792,1.14782,4.0,0.003359,0.000147,0.000163,0.996331,1.0
1050,806400,0.0002516589861751152,510.2,0.17,1.064636,91.65,10499,-0.01012,0.012184,0.006436,2.626249,0.006547,0.091797,0.735344,0.351342,0.17716,0.225275,0.880339,0.0,0.989583,1.167726,1.0,0.003154,0.000137,0.000151,0.996558,1.0
1100,844800,0.0002493548387096774,509.8,0.18,1.091345,77.67,10972,-0.007782,0.016995,0.003811,2.611063,0.005061,0.0578,0.635887,0.535925,-1.3646,-0.400726,0.898307,0.0,0.976562,1.073766,1.0,0.002971,0.000127,0.000141,0.996761,1.0
1150,883200,0.0002470506912442396,512.8,0.07,0.966207,91.17,11430,-0.009329,0.002771,0.005096,2.620308,0.005905,0.071655,0.914477,0.436545,-0.583,0.483534,0.842708,0.0,0.973958,1.230456,0.0,0.002789,0.000118,0.00013,0.996962,1.0
1200,921600,0.00024474654377880183,512.4,0.14,0.991643,97.42,11835,-0.006049,0.012211,0.003381,2.55557,0.005027,0.059753,0.783099,0.560821,-0.052835,0.554821,0.878646,0.0,0.997396,1.20841,1.0,0.002621,0.00011,0.000121,0.997149,1.0
1250,960000,0.00024244239631336404,509.7,0.27,1.186157,90.47,12303,-0.008052,0.002504,0.003489,2.519117,0.00525,0.060699,0.966682,0.550277,0.575991,0.33583,0.884635,0.0,0.988281,1.145593,0.0,0.002487,0.000103,0.000113,0.997296,1.0
1300,998400,0.00024013824884792622,507.8,0.34,1.299374,94.5,12696,-0.00623,0.003888,0.002476,2.617807,0.005452,0.064789,0.915134,0.56497,0.504806,0.604473,0.877604,0.0,0.99349,1.210117,1.0,0.002379,9.7e-05,0.000108,0.997416,1.0
1350,1036800,0.00023783410138248845,500.5,0.39,1.352362,84.57,13119,-0.008216,0.014542,0.003521,2.538631,0.004587,0.051453,0.693205,0.486139,0.285771,0.670648,0.804557,0.013021,0.955729,1.389479,4.0,0.002342,9.5e-05,0.000105,0.997457,1.0
1400,1075200,0.00023552995391705066,499.1,0.56,1.598293,82.42,13573,-0.008606,0.019008,0.001917,2.510682,0.00511,0.05658,0.647152,0.773515,0.317214,0.667197,0.707682,0.044271,0.83724,1.634838,6.0,0.002324,9.4e-05,0.000104,0.997477,1.0
1450,1113600,0.00023322580645161286,497.9,0.43,1.430712,75.39,14065,-0.009184,0.018588,0.002636,2.629031,0.005548,0.066864,0.587211,0.680017,0.353153,0.635426,0.797917,0.071615,0.989583,1.409554,4.0,0.00236,9.4e-05,0.000106,0.997439,1.0
1500,1152000,0.0002309216589861751,497.2,0.55,1.524325,75.37,14545,-0.010312,0.008047,0.002451,2.624454,0.006038,0.076477,0.687986,0.71532,0.402504,0.836812,0.773568,0.101562,0.960938,1.448553,8.0,0.002411,9.6e-05,0.000109,0.997384,1.0
1550,1190400,0.0002286175115207373,498.1,0.53,1.558598,79.72,15030,-0.008781,0.009739,0.001399,2.736973,0.00517,0.056305,0.640038,0.832514,-0.167758,0.780178,0.752214,0.005208,0.919271,1.475388,8.0,0.002487,9.9e-05,0.000113,0.997301,1.0
1600,1228800,0.00022631336405529954,500.9,0.38,1.329422,88.21,15511,-0.008669,0.018674,0.004897,2.725366,0.005585,0.067719,0.640527,0.387381,0.259856,0.582057,0.811458,0.082031,0.988281,1.349965,3.0,0.002558,0.000101,0.000117,0.997224,1.0
1650,1267200,0.00022400921658986172,497.6,0.41,1.426826,88.87,15949,-0.009395,0.023474,0.003294,2.773919,0.006002,0.076874,0.324582,0.648804,-0.159944,0.522895,0.760286,0.010417,0.96875,1.437944,3.0,0.002616,0.000103,0.000121,0.997161,1.0
1700,1305600,0.00022170506912442395,501.9,0.46,1.491242,89.86,16402,-0.00895,0.020567,0.003284,2.753175,0.005319,0.057404,0.681475,0.61697,0.487314,0.494665,0.830859,0.042969,0.998698,1.257288,3.0,0.002702,0.000106,0.000125,0.997067,1.0
1750,1344000,0.00021940092165898616,497.2,0.52,1.559679,83.42,16858,-0.009642,0.018656,0.002667,2.727773,0.005432,0.065033,0.56336,0.687923,0.290145,0.666054,0.748438,0.023438,0.924479,1.488391,3.0,0.002826,0.00011,0.000132,0.996931,1.0
1800,1382400,0.00021709677419354836,498.5,0.44,1.466691,82.67,17326,-0.008911,0.026274,0.002523,2.778386,0.006161,0.075806,0.619005,0.698471,0.154794,0.436091,0.77526,0.029948,0.970052,1.403797,5.0,0.002972,0.000115,0.000141,0.996773,1.0
1850,1420800,0.0002147926267281106,498.8,0.54,1.551005,77.96,17755,-0.008988,0.022724,0.002864,2.853922,0.005906,0.075195,0.521185,0.602444,0.537769,0.554294,0.78099,0.071615,0.971354,1.396471,6.0,0.003091,0.000119,0.000148,0.996642,1.0
1900,1459200,0.0002124884792626728,499.0,0.57,1.672482,83.5,18276,-0.007956,0.015848,0.001989,2.852974,0.005532,0.063843,0.668389,0.791511,0.504321,0.616184,0.807813,0.044271,0.990885,1.355673,7.0,0.003248,0.000124,0.000157,0.996471,1.0
1950,1497600,0.00021018433179723498,504.3,0.57,1.63244,78.55,18724,-0.007818,0.031256,0.003002,2.812415,0.004511,0.048584,0.513357,0.621212,0.279712,0.522852,0.742969,0.02474,0.929688,1.499993,6.0,0.003434,0.00013,0.000168,0.996268,1.0
2000,1536000,0.00020788018433179722,506.1,0.56,1.570809,70.83,19215,-0.01045,0.015436,0.001867,2.77364,0.006544,0.092621,0.707024,0.766857,0.296431,0.571725,0.807813,0.036458,0.988281,1.368346,4.0,0.003748,0.000142,0.000187,0.995924,1.0
2050,1574400,0.00020557603686635942,507.7,0.46,1.433011,75.92,19690,-0.010089,0.020944,0.003557,2.806618,0.00584,0.073303,0.602855,0.479327,0.26364,0.65794,0.802344,0.088542,0.988281,1.357829,6.0,0.004057,0.000153,0.000205,0.995585,1.0
2100,1612800,0.00020327188940092163,508.7,0.4,1.372373,76.32,20198,-0.008614,0.011429,0.003068,2.810455,0.005207,0.056519,0.759521,0.640122,0.356051,0.61165,0.794531,0.045573,0.989583,1.375124,2.0,0.004193,0.000156,0.000213,0.995438,1.0
2150,1651200,0.00020096774193548386,511.4,0.46,1.459411,79.62,20687,-0.008837,0.024279,0.003526,2.754654,0.004652,0.049255,0.558101,0.602667,0.089066,0.556886,0.834375,0.003906,0.985677,1.299016,6.0,0.004202,0.000154,0.000213,0.995431,1.0
2200,1689600,0.00019866359447004607,508.1,0.42,1.401915,80.69,21193,-0.007354,0.018045,0.002011,2.721756,0.004208,0.042145,0.665633,0.78465,0.216901,0.64753,0.745313,0.005208,0.972656,1.481676,4.0,0.004159,0.00015,0.00021,0.995481,1.0
2250,1728000,0.00019635944700460825,510.6,0.44,1.419829,64.05,21744,-0.009343,0.029081,0.003118,2.755666,0.005318,0.065613,0.594478,0.519366,-0.326555,-0.088326,0.827995,0.0,0.986979,1.274493,5.0,0.004322,0.000154,0.000219,0.995305,1.0
2300,1766400,0.00019405529953917048,509.0,0.5,1.496957,79.62,22275,-0.008824,0.024875,0.002519,2.638507,0.0045,0.043854,0.735794,0.707099,0.178647,0.074154,0.692578,0.016927,0.863281,1.598927,4.0,0.004577,0.00016,0.000234,0.995028,1.0
2350,1804800,0.0001917511520737327,510.2,0.48,1.481362,75.72,22829,-0.007591,0.033106,0.002462,2.69291,0.004458,0.044037,0.325238,0.68801,0.456698,0.321825,0.69388,0.03776,0.864583,1.590581,8.0,0.005015,0.000173,0.000261,0.994552,1.0
2400,1843200,0.0001894470046082949,509.5,0.5,1.480453,66.65,23391,-0.00791,0.028296,0.001753,2.750131,0.004489,0.044128,0.560659,0.710189,0.275728,0.415865,0.727474,0.028646,0.923177,1.542092,4.0,0.005529,0.000187,0.000292,0.993992,1.0
2450,1881600,0.00018714285714285713,506.8,0.42,1.388088,54.93,23989,-0.008631,0.030742,0.002195,2.774866,0.004161,0.040802,0.674043,0.644108,0.265466,0.436184,0.775781,0.03125,0.964844,1.444865,6.0,0.006028,0.0002,0.000323,0.99345,1.0
2500,1920000,0.00018483870967741936,508.7,0.45,1.421263,61.02,24616,-0.008767,0.041734,0.003513,2.798572,0.004205,0.042114,0.484672,0.385502,0.322838,0.321207,0.805078,0.013021,0.985677,1.353352,4.0,0.006849,0.000224,0.000376,0.992551,1.0
2550,1958400,0.00018253456221198152,509.5,0.52,1.53298,75.12,25120,-0.008449,0.020469,0.003444,2.886672,0.004531,0.049103,0.676001,0.587166,0.363877,0.418512,0.822135,0.078125,0.996094,1.336315,8.0,0.00811,0.000263,0.000461,0.991166,1.0
2600,1996800,0.00018023041474654375,508.3,0.54,1.494189,75.92,25610,-0.005788,0.014306,0.002652,2.884946,0.003653,0.032318,0.693919,0.674847,0.179877,0.589864,0.876302,0.027344,1.0,1.198127,5.0,0.009671,0.000309,0.000568,0.989452,1.0
2650,2035200,0.00017792626728110598,508.6,0.53,1.540078,77.07,26123,-0.009651,0.013929,0.003177,2.894093,0.006214,0.075256,0.6644,0.519079,0.25877,0.583591,0.804818,0.02474,0.988281,1.331148,7.0,0.011636,0.000365,0.000712,0.987288,1.0
2700,2073600,0.0001756221198156682,508.6,0.55,1.536377,63.68,26707,-0.008142,0.028012,0.002999,2.875633,0.004887,0.05722,0.524612,0.490472,-0.446936,0.238778,0.808984,0.0,0.980469,1.35819,3.0,0.016307,0.000499,0.001083,0.982111,1.0
2750,2112000,0.0001733179723502304,509.0,0.49,1.477373,72.56,27260,-0.007891,0.023491,0.002621,2.866383,0.005974,0.070282,0.594764,0.550267,0.371879,0.45717,0.726823,0.002604,0.871094,1.543274,6.0,0.028263,0.000835,0.002148,0.968754,1.0
2800,2150400,0.00017101382488479263,510.1,0.51,1.544363,65.95,27832,-0.008362,0.02372,0.001807,2.816464,0.004623,0.055023,0.67481,0.756366,0.439721,0.402128,0.736589,0.018229,0.933594,1.554245,3.0,0.088591,0.002354,0.010062,0.898994,1.0
2850,2188800,0.00016870967741935484,508.6,0.45,1.43758,64.11,28450,-0.008954,0.026926,0.002794,2.822999,0.004249,0.044556,0.531225,0.519123,-0.360401,0.476641,0.77487,0.001302,0.946615,1.43493,7.0,0.406753,0.005693,0.480145,0.107408,0.0
2900,2227200,0.00016640552995391702,505.9,0.43,1.385422,66.01,28976,-0.00735,0.022463,0.002958,2.833706,0.004013,0.037903,0.784936,0.57192,-0.054291,0.374159,0.830469,0.0,0.983073,1.313478,4.0,0.765724,0.005068,0.067164,0.162045,0.0
2950,2265600,0.00016410138248847925,506.7,0.42,1.436102,65.59,29540,-0.007967,0.027218,0.003677,2.85402,0.004279,0.043915,0.551432,0.57579,-1.047616,0.405336,0.838411,0.0,0.984375,1.29657,6.0,0.849483,0.003346,0.023245,0.123926,0.0
3000,2304000,0.00016179723502304146,506.0,0.47,1.471825,66.38,30115,-0.006975,0.021,0.002684,2.825872,0.00432,0.043915,0.380408,0.604242,0.222925,0.298889,0.844922,0.028646,0.99349,1.27896,5.0,0.936252,0.002496,0.01796,0.043291,0.0
3050,2342400,0.00015949308755760366,494.7,0.38,1.312459,74.49,30666,-0.008525,0.019032,0.00294,2.87515,0.00521,0.059265,0.689851,0.615593,-0.283012,0.352387,0.857552,0.0,0.979167,1.252942,3.0,0.962509,0.00191,0.013002,0.022579,0.0
3100,2380800,0.0001571889400921659,498.0,0.52,1.56645,69.15,31214,-0.008867,0.034022,0.002781,2.81106,0.004854,0.058685,0.629891,0.6341,0.167087,0.492276,0.857813,0.002604,0.994792,1.278584,4.0,0.970404,0.001432,0.009745,0.018418,0.0
3150,2419200,0.0001548847926267281,500.4,0.47,1.461182,84.69,31656,-0.00798,0.028453,0.003489,2.800165,0.004472,0.046753,0.317951,0.530615,-0.134504,0.206833,0.857031,0.007812,0.996094,1.266208,6.0,0.976218,0.001217,0.007864,0.014701,0.0
3200,2457600,0.00015258064516129028,497.2,0.48,1.465549,92.58,32095,-0.006701,0.020696,0.004093,2.851638,0.00349,0.028503,0.552584,0.418703,0.321516,0.555178,0.88099,0.0,1.0,1.196819,5.0,0.979701,0.001057,0.00695,0.012293,0.0
3250,2496000,0.00015027649769585252,497.0,0.62,1.618502,82.13,32517,-0.008657,0.014472,0.003243,2.774103,0.004732,0.054047,0.692492,0.658827,0.231125,0.79662,0.775,0.050781,0.949219,1.430626,8.0,0.982996,0.000904,0.00629,0.00981,0.0
3300,2534400,0.00014797235023041472,493.5,0.63,1.686405,97.76,32956,-0.008099,0.015367,0.001573,2.819079,0.004853,0.052673,0.735769,0.834193,-0.537207,0.554509,0.734505,0.0,0.928385,1.541821,6.0,0.98679,0.00075,0.00563,0.006829,0.0
3350,2572800,0.00014566820276497696,498.2,0.57,1.634483,82.2,33439,-0.006946,0.019948,0.002207,2.850471,0.003657,0.033356,0.623119,0.766299,0.185616,0.553476,0.768359,0.019531,0.96875,1.461504,5.0,0.988981,0.000638,0.005073,0.005308,0.0
3400,2611200,0.00014336405529953916,496.8,0.59,1.615052,83.01,33905,-0.007643,0.024644,0.002506,2.833746,0.004533,0.04776,0.41461,0.696976,0.034286,0.550514,0.795964,0.059896,0.967448,1.382161,6.0,0.990637,0.000552,0.004626,0.004185,0.0
3450,2649600,0.00014105990783410137,496.6,0.62,1.664029,81.04,34319,-0.007167,0.011016,0.002217,2.854569,0.004696,0.053467,0.54285,0.747018,0.130697,0.639269,0.801693,0.041667,0.96875,1.355411,8.0,0.991801,0.000486,0.004178,0.003535,0.0
3500,2688000,0.0001387557603686636,496.4,0.63,1.656253,77.05,34802,-0.007234,0.018177,0.002315,2.886644,0.004174,0.048035,0.572821,0.696233,0.431718,0.558367,0.819141,0.014323,0.986979,1.318277,4.0,0.992659,0.000444,0.003831,0.003066,0.0
