update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_success,c_slow,c_team,speed,n_succ,lam0,lam_slow,lam_succ,boot
1,768,0.0003,486.7,0.0,0.705262,44.0,7,-0.006996,0.021463,0.025452,3.307346,0.00479,0.045258,0.565681,0.425045,0.574868,0.964844,1.0,0.911799,0.0,0.322316,0.338842,0.338842,1.0
50,38400,0.0002954838709677419,548.9,0.02,0.915178,23.7,1260,-0.00471,0.00939,0.000609,2.138796,0.004858,0.047943,0.743638,-0.530715,-2.420237,0.185547,0.15625,2.93216,1.0,0.146018,0.076741,0.777241,1.0
100,76800,0.00029087557603686633,538.3,0.05,0.91289,25.96,2537,-0.006602,0.008171,0.00092,2.436305,0.006639,0.081573,0.808666,0.432494,-1.621716,0.371354,0.227865,2.342963,1.0,0.064307,0.017226,0.918468,1.0
150,115200,0.00028626728110599074,533.4,0.04,0.945061,36.14,3713,-0.007411,0.004366,0.001384,2.557309,0.00583,0.072235,0.899405,0.556483,-2.080851,0.546094,0.518229,1.961434,0.0,0.040425,0.008927,0.950648,1.0
200,153600,0.0002816589861751152,538.2,0.0,0.870531,38.84,4832,-0.007848,0.002103,0.002244,2.48257,0.005647,0.069122,0.941539,0.612017,-1.476334,0.611979,0.636719,1.868127,0.0,0.028417,0.005633,0.965951,1.0
250,192000,0.0002770506912442396,539.3,0.05,0.930981,41.81,5847,-0.00609,0.012759,0.002153,2.562208,0.005301,0.053894,0.670127,0.668501,-1.020372,0.615755,0.657552,1.819878,2.0,0.021406,0.00397,0.974624,1.0
300,230400,0.00027244239631336403,540.4,0.08,0.935995,50.13,6675,-0.007501,0.024232,0.002168,2.62334,0.006607,0.08783,0.560299,0.648568,-0.33324,0.642448,0.674479,1.754411,4.0,0.017225,0.003067,0.979707,1.0
350,268800,0.00026783410138248845,540.4,0.04,0.892713,41.19,7467,-0.008101,0.003097,0.00227,2.832067,0.005785,0.072052,0.937947,0.499625,-0.449601,0.830859,0.936198,1.26607,0.0,0.014263,0.002489,0.983248,1.0
400,307200,0.00026322580645161286,539.5,0.09,0.984253,51.97,8373,-0.006343,0.015677,0.004529,2.815681,0.005325,0.061584,0.707805,0.373757,0.023832,0.851693,0.990885,1.213015,2.0,0.01207,0.002092,0.985838,1.0
450,345600,0.0002586175115207373,540.0,0.11,1.012855,51.19,9150,-0.007919,0.017529,0.004128,2.691077,0.007078,0.097412,0.531273,0.283561,-0.085378,0.891016,0.984375,1.089388,2.0,0.010587,0.001843,0.98757,1.0
