run,seed,requested,achieved,speed,ep_len,lam_dial,lam_slow,lam_crowd,lam_succ,ev_dial,boot_step,final_step,slow,d_slow,ok_slow,crowd,d_crowd,ok_crowd,success,d_success,ok_success,ok_all
noslow_crowd05_s1_5m,1,0.05,0.019631384615384613,1.2006781923076923,76.36115384615384,0.0004697692307692308,5.784615384615384e-05,0.0004697692307692308,0.0002430769230769231,0.03029611538461539,2188800.0,4992000.0,0.8747695384615385,1.0,1.0,0.019631384615384613,0.05,1.0,0.6134615384615384,0.4,1.0,1.0
noslow_crowd05_s2_5m,2,0.05,0.017928692307692305,1.1802067692307694,87.14384615384614,0.0007161923076923077,7.342307692307692e-05,0.0007161923076923077,0.0003262692307692308,0.16029611538461538,1344000.0,4992000.0,0.8694711153846153,1.0,1.0,0.017928692307692305,0.05,1.0,0.6403846153846153,0.4,1.0,1.0
noslow_crowd05_s3_5m,3,0.05,0.011017576923076923,1.1708675384615383,89.95423076923076,0.0007125769230769232,7.396153846153847e-05,0.0007125769230769232,0.00022265384615384614,0.024429769230769234,1996800.0,4992000.0,0.8729517307692307,1.0,1.0,0.011017576923076923,0.05,1.0,0.6707692307692308,0.4,1.0,1.0
noslow_crowd10_s1_5m,1,0.1,0.04412053846153847,1.1908782692307693,87.67346153846152,0.00014511538461538462,8.376923076923077e-05,0.00014511538461538462,0.0002770769230769231,0.28018953846153843,2688000.0,4992000.0,0.8728916153846153,1.0,1.0,0.04412053846153847,0.1,1.0,0.6753846153846155,0.4,1.0,1.0
noslow_crowd10_s2_5m,2,0.1,0.012019192307692309,1.1859573846153846,105.63538461538461,0.00017692307692307693,5.646153846153846e-05,0.00017692307692307693,0.00021123076923076927,0.2652534615384615,960000.0,4992000.0,0.8767278076923076,1.0,1.0,0.012019192307692309,0.1,1.0,0.5923076923076923,0.4,1.0,1.0
noslow_crowd10_s3_5m,3,0.1,0.03630803846153846,1.2440218846153845,76.6423076923077,0.0001376923076923077,5.469230769230769e-05,0.0001376923076923077,0.0002043076923076923,0.26506592307692306,2380800.0,4992000.0,0.8475761923076922,1.0,1.0,0.03630803846153846,0.1,1.0,0.6515384615384616,0.4,1.0,1.0
noslow_crowd15_s1_5m,1,0.15,0.02934696153846154,1.2743762692307692,89.89846153846153,8.765384615384616e-05,5.338461538461538e-05,8.765384615384616e-05,0.0002413076923076923,0.1822738846153846,1382400.0,4992000.0,0.8387470384615384,1.0,1.0,0.02934696153846154,0.15,1.0,0.6111538461538462,0.4,1.0,1.0
noslow_crowd15_s2_5m,2,0.15,0.016125769230769228,1.1480679230769228,86.27615384615387,7.696153846153846e-05,7.161538461538462e-05,7.696153846153846e-05,0.00025642307692307694,0.07150192307692307,1996800.0,4992000.0,0.8857471538461539,1.0,1.0,0.016125769230769228,0.15,1.0,0.6203846153846155,0.4,1.0,1.0
noslow_crowd15_s3_5m,3,0.15,0.013972384615384617,1.1977841538461538,83.68615384615386,9.630769230769229e-05,7.476923076923077e-05,9.630769230769229e-05,0.0003253461538461538,0.1261421153846154,2803200.0,4992000.0,0.8582081538461538,1.0,1.0,0.013972384615384617,0.15,1.0,0.6430769230769232,0.4,1.0,1.0
