run,seed,requested,achieved,success,speed,ep_len,lam_slow,lam_succ,ev_slow,boot_step,final_step
sweep_slow45_s1,1,0.45,0.4159555384615385,0.7730769230769231,2.179509461538461,114.72615384615384,0.04681507692307692,0.0037954615384615392,0.8236107692307691,1728000.0,2496000.0
sweep_slow45_s2,2,0.45,0.49191692307692314,0.7653846153846153,2.0391748461538457,105.24307692307693,0.05765407692307692,0.0008980000000000001,0.8695167692307693,960000.0,2496000.0
sweep_slow45_s3,3,0.45,0.44096561538461543,0.6523076923076923,2.1332086153846155,75.3930769230769,0.05131369230769231,0.003370692307692308,0.7863473846153846,1651200.0,2496000.0
sweep_slow55_s1,1,0.55,0.5477565384615384,0.8038461538461538,1.9207688461538466,107.01615384615386,0.04627484615384615,0.0011579999999999997,0.8406887692307692,1190400.0,2496000.0
sweep_slow55_s2,2,0.55,0.5433493846153846,0.8753846153846153,1.9028812307692307,114.17461538461538,0.043218692307692305,0.0008341538461538461,0.8768756923076922,1152000.0,2496000.0
sweep_slow55_s3,3,0.55,0.5468247692307693,0.8369230769230769,1.9368256153846155,124.98692307692308,0.015348538461538466,0.0006812307692307693,0.8646297692307693,1113600.0,2496000.0
sweep_slow65_s1,1,0.65,0.6283653076923076,0.6130769230769231,1.7320796923076922,78.36153846153846,0.026799692307692306,0.0019415384615384618,0.7713022307692307,1344000.0,2496000.0
sweep_slow65_s2,2,0.65,0.691877,0.6461538461538461,1.6050363076923078,76.07846153846154,0.03892707692307692,0.002389076923076923,0.699644923076923,1728000.0,2496000.0
sweep_slow65_s3,3,0.65,0.6578124615384616,0.7976923076923076,1.685037076923077,137.71615384615384,0.01208676923076923,0.0008486153846153846,0.9464783076923078,729600.0,2496000.0
sweep_slow75_s1,1,0.75,0.7463442307692307,0.7969230769230768,1.5040475384615384,112.40692307692309,0.019231461538461538,0.0009530000000000001,0.8680420769230769,960000.0,2496000.0
sweep_slow75_s2,2,0.75,0.7556289999999998,0.6807692307692309,1.4772818461538462,108.52538461538461,0.02825930769230769,0.001076153846153846,0.8815233846153846,844800.0,2496000.0
sweep_slow75_s3,3,0.75,0.7345151538461538,0.5861538461538461,1.538252153846154,96.57307692307693,0.007822384615384615,0.0015002307692307695,0.8327718461538463,576000.0,2496000.0
sweep_slow85_s1,1,0.85,0.7934295384615384,0.6230769230769231,1.3789510000000003,71.46769230769232,0.00781876923076923,0.007380230769230769,0.7028136923076922,1996800.0,2496000.0
sweep_slow85_s2,2,0.85,0.805589,0.6753846153846154,1.3412086923076922,74.66846153846154,0.0010476923076923076,0.0011926153846153844,0.710386,1344000.0,2496000.0
sweep_slow85_s3,3,0.85,0.7828226153846155,0.6215384615384616,1.4106077692307695,72.89307692307692,0.004797538461538462,0.6028062307692309,0.7016816153846155,2342400.0,2496000.0
