requested,n,achieved,achieved_sd,speed,speed_sd,ep_len,ep_len_sd,lam_dial,lam_dial_sd,lam_slow,lam_slow_sd,lam_crowd,lam_crowd_sd,lam_succ,lam_succ_sd,boot_step,boot_step_sd,slow,slow_sd,crowd,crowd_sd,success,success_sd,ok_slow,ok_slow_sd,ok_crowd,ok_crowd_sd,ok_success,ok_success_sd,ok_all,ok_all_sd,error,feasible
0.05,3,0.01619255128205128,0.004561804465965215,1.1839175,0.015247816657314919,84.48641025641025,7.175612114719361,0.0006328461538461539,0.00014124032668348232,6.841025641025641e-05,9.15274179936042e-06,0.0006328461538461539,0.00014124032668348232,0.000264,5.4885046626519933e-05,1843200.0,442850.40363535855,0.8723974615384614,0.0026923470357015948,0.01619255128205128,0.004561804465965215,0.6415384615384615,0.02867126471082756,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.03380744871794872,1.0
0.1,3,0.030815923076923078,0.01674056763585722,1.2069525128205127,0.03219716633959122,89.98371794871794,14.633953357781072,0.00015324358974358975,2.0840203995261245e-05,6.497435897435896e-05,1.6300857300091573e-05,0.00015324358974358975,2.0840203995261245e-05,0.0002308717948717949,4.016425840047292e-05,2009600.0,921866.628097579,0.8657318717948717,0.015839842678710313,0.030815923076923078,0.01674056763585722,0.6397435897435898,0.04277596331440531,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.06918407692307693,1.0
0.15,3,0.01981503846153846,0.00832480837519566,1.206742782051282,0.06362894264026596,86.62025641025643,3.1204161015708687,8.697435897435898e-05,9.690959409680696e-06,6.65897435897436e-05,1.1544186613873537e-05,8.697435897435898e-05,9.690959409680696e-06,0.00027435897435897435,4.4798304287786856e-05,2060800.0,712558.8817774991,0.8609007820512821,0.023615469432769716,0.01981503846153846,0.00832480837519566,0.6248717948717949,0.016427775104127663,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.13018496153846154,1.0
