run,ckpt,seed,step,requested,c_slow,c_team,mean_speed,success,episodes,attacker_ticks,p10,p25,p50,p75,p90,lt_0.5,lt_1.0,lt_1.5,lt_2.0,lt_3.0,lt_4.0
sweep_slow45_s1,final,1,2499840,0.45,0.3680066764354706,0.24526666104793549,2.2809195518493652,0.8245614035087719,114,150000,1.073234283924103,1.6528096199035645,2.331661581993103,2.9381550550460815,3.3752027273178102,0.026926666666666668,0.08838,0.20084666666666667,0.36800666666666665,0.78888,0.9765533333333334
sweep_slow45_s2,final,2,2499840,0.45,0.5774533152580261,0.6536666750907898,1.840743899345398,0.7890625,128,150000,0.8195549607276916,1.3382141292095184,1.843846321105957,2.3790374398231506,2.837179470062256,0.03922666666666667,0.14305333333333334,0.3351733333333333,0.5774533333333334,0.9438466666666666,0.9982933333333334
sweep_slow45_s3,final,3,2499840,0.45,0.4875733256340027,0.4022666811943054,2.0307493209838867,0.6666666666666666,183,150000,0.9118649303913117,1.4835588335990906,2.030576705932617,2.6271644234657288,3.04142689704895,0.036193333333333334,0.11497333333333333,0.27153333333333335,0.48757333333333336,0.88224,0.9895733333333333
sweep_slow55_s1,final,1,2499840,0.55,0.5196266770362854,0.4828000068664551,1.9750416278839111,0.8493150684931506,146,150000,0.7411562204360962,1.3222645223140717,1.946225881576538,2.655590832233429,3.1339177846908575,0.049806666666666666,0.15989333333333333,0.32654666666666665,0.5196266666666667,0.8545666666666667,0.9845266666666667
sweep_slow55_s2,final,2,2499840,0.55,0.5065333247184753,0.4973333477973938,1.9828925132751465,0.8478260869565217,138,150000,0.7855891406536103,1.376629650592804,1.9832842946052551,2.619769275188446,3.0776002407073975,0.0455,0.1465,0.30526,0.5065333333333333,0.8720933333333334,0.9901266666666667
sweep_slow55_s3,final,3,2499840,0.55,0.463046669960022,0.35526666045188904,2.1111252307891846,0.8918918918918919,111,150000,0.8199054002761841,1.4413354694843292,2.1030861139297485,2.8053417205810547,3.3297829627990723,0.044406666666666664,0.13411333333333333,0.28072,0.46304666666666666,0.81398,0.9709666666666666
sweep_slow65_s1,final,1,2499840,0.65,0.678986668586731,0.864133358001709,1.638553500175476,0.6783625730994152,171,150000,0.6437650084495545,1.0610633790493011,1.5697203874588013,2.200000047683716,2.7243363857269287,0.07184666666666667,0.22877333333333333,0.45606,0.6789866666666666,0.9537,0.9979
sweep_slow65_s2,final,2,2499840,0.65,0.6706333160400391,0.8688666820526123,1.6397864818572998,0.7157360406091371,197,150000,0.5930306613445282,1.0022148787975311,1.5521634817123413,2.242235839366913,2.814086127281189,0.08041333333333334,0.24934,0.46845333333333333,0.6706333333333333,0.9453333333333334,0.9970133333333333
sweep_slow65_s3,final,3,2499840,0.65,0.6899200081825256,0.8784000277519226,1.614957332611084,0.8240740740740741,108,150000,0.576881343126297,0.9802996665239334,1.5,2.200000047683716,2.810418152809143,0.08517333333333334,0.25605333333333335,0.48607333333333336,0.68992,0.93616,0.99584
sweep_slow75_s1,final,1,2499840,0.75,0.7499933242797852,0.9522666931152344,1.4768295288085938,0.7950819672131147,122,150000,0.49287152588367467,0.8692963868379593,1.4197237491607666,2.0000327825546265,2.5808568954467774,0.10202666666666667,0.30766,0.5490133333333334,0.7499933333333333,0.96148,0.9971933333333334
sweep_slow75_s2,final,2,2499840,0.75,0.7059666514396667,0.8915333151817322,1.5761330127716064,0.7714285714285715,140,150000,0.5802522599697113,0.9667450040578842,1.5,2.1350544095039368,2.705075311660767,0.08169333333333334,0.26210666666666665,0.49893333333333334,0.7059666666666666,0.9517066666666667,0.99796
sweep_slow75_s3,final,3,2499840,0.75,0.7773399949073792,0.9746000170707703,1.4282878637313843,0.6560509554140127,157,150000,0.4746529728174211,0.8369788527488708,1.3945411443710327,1.9224288761615753,2.5017651319503784,0.10767333333333333,0.31902,0.5727533333333333,0.77734,0.9654733333333333,0.9977933333333333
sweep_slow85_s1,final,1,2499840,0.85,0.8342533111572266,0.9940000176429749,1.2853981256484985,0.6702702702702703,185,150000,0.38876413106918334,0.7182947099208832,1.2351086139678955,1.7341637015342712,2.2955484390258794,0.13560666666666665,0.38658,0.6528533333333333,0.8342533333333333,0.9817466666666667,0.9992
sweep_slow85_s2,final,2,2499840,0.85,0.8027399778366089,0.9845333099365234,1.3610174655914307,0.6649746192893401,197,150000,0.4058144062757493,0.7458535432815552,1.2789384126663208,1.8249047994613647,2.4785485744476317,0.12932666666666667,0.36846666666666666,0.6249,0.80274,0.9580933333333334,0.9941733333333334
sweep_slow85_s3,final,3,2499840,0.85,0.8190600275993347,0.9941333532333374,1.337836742401123,0.6616915422885572,201,150000,0.4417007714509964,0.7764928340911865,1.2900210618972778,1.7938841581344604,2.350614190101624,0.11995333333333333,0.35627333333333333,0.6291933333333334,0.81906,0.97696,0.9990266666666666
vanilla_10m_cuda_rung2,final,0,9999360,nan,0.8834533095359802,0.9987333416938782,1.1317251920700073,0.601063829787234,188,150000,0.26117594242095954,0.6578286439180374,1.029555320739746,1.5,2.1025380849838258,0.18497333333333332,0.4851933333333333,0.74466,0.8834533333333333,0.9783066666666667,0.9969266666666666
