run,ckpt,seed,step,requested,d_slow,c_slow,c_team,mean_speed,success,episodes,attacker_ticks,p10,p25,p50,p75,p90,lt_0.5,lt_1.0,lt_1.5,lt_2.0,lt_3.0,lt_4.0
base_slow75_s1_5m,final,1,4999680,0.75,0.75,0.8344533443450928,0.996066689491272,1.2660759687423706,0.6494845360824743,194,150000,0.3600105404853821,0.699999988079071,1.1993358135223389,1.7122795581817627,2.3084373712539676,0.14685333333333334,0.40673333333333334,0.66632,0.8344533333333334,0.9767666666666667,0.9986
base_slow75_s2_5m,final,2,4999680,0.75,0.75,0.7509866952896118,0.9604666829109192,1.4866703748703003,0.6832298136645962,161,150000,0.5242774128913881,0.9001996517181396,1.446373164653778,1.9965815246105194,2.558612871170044,0.09419333333333334,0.29158666666666666,0.5437666666666666,0.7509866666666667,0.9661733333333333,0.9979933333333333
base_slow75_s3_5m,final,3,4999680,0.75,0.75,0.6991599798202515,0.8711333274841309,1.5792676210403442,0.8057553956834532,139,150000,0.493057131767273,0.8895086944103241,1.4995931386947632,2.1856809258461,2.8571284532547003,0.10152,0.29352,0.51324,0.69916,0.9286,0.99228
