spread,nn_mean,nn_min,n_in_disc,n_near,zone_control,ball_d_zone,ball_in_disc,carried,in_flight,carrier_clear,n_offside,max_offside,mean_speed,pass_started,pass_len,tick,seed,policy
18.396451433030336,8.761312273971022,5.089821097839119,0,0,0.0002534635995827042,53.06522760971479,0,1,0,24.581653751938504,0,-15.074005126953125,0.699999987230228,0,nan,1,10000,scripted
18.392293773325786,8.752663825915494,5.089821097839119,0,0,0.0003868120417797395,52.96123840148133,0,1,0,24.514498999586905,0,-14.8914794921875,1.399999974460456,0,nan,2,10000,scripted
18.385388547828917,8.738527711431642,5.089821097839119,0,0,0.0005981080347810572,52.78792981580219,0,1,0,24.4042929213075,0,-14.587196350097656,2.0999999080465037,0,nan,3,10000,scripted
18.375773560670492,8.719339660505828,5.089821097839119,0,0,0.000941941421030932,52.545318557258575,0,1,0,24.253765551235027,0,-14.160995483398438,2.799999948920912,0,nan,4,10000,scripted
18.363501781614737,8.69574332121979,5.089821097839119,0,0,0.0014531837953051484,52.23342073332513,0,1,0,24.067071751537195,0,-13.612564086914062,3.499999972936581,0,nan,5,10000,scripted
18.34940316772373,8.670124579675235,5.089821097839119,0,0,0.0021414128663942676,51.859688934219825,0,1,0,23.857585514871502,0,-12.941513061523438,4.1849998538604165,0,nan,6,10000,scripted
18.337122991975935,8.650670997795848,5.089824136354889,0,0,0.0029449337196149707,51.45879439849156,0,1,0,23.668904507566324,0,-12.14813232421875,4.81499968219904,0,nan,7,10000,scripted
18.327657283909797,8.640006192051858,5.089818059324393,0,0,0.003535099931271399,51.05796450484218,0,1,0,23.525742350270022,0,-11.287017822265625,4.905000025521794,0,nan,8,10000,scripted
18.318823380790853,8.633725739019082,5.089818059324393,0,0,0.004074652762664016,50.65720093417137,0,1,0,23.418350907828117,0,-10.423080444335938,4.905000025521794,0,nan,9,10000,scripted
18.310304699635907,8.631187327211517,5.089818059324393,0,0,0.004661178146851682,50.256505273129484,0,1,0,23.346864652680694,0,-9.570510864257812,4.905000025521794,0,nan,10,10000,scripted
18.302104654250048,8.632411956088339,5.089818059324393,0,0,0.005545698755213585,49.85587915910181,0,1,0,23.313572549840487,0,-8.739013671875,4.905000025521794,0,nan,11,10000,scripted
18.29422663432465,8.637389475187089,5.089818059324393,0,0,0.009957572481469215,49.455324282241065,0,1,0,23.318963063194435,0,-7.9491119384765625,4.905000025521794,0,nan,12,10000,scripted
18.286674001351575,8.646079000414412,5.089818059324393,0,0,0.019573843075361187,49.05484238759794,0,1,0,23.36087894433281,0,-7.2217864990234375,4.905000025521794,0,nan,13,10000,scripted
18.279450084448914,8.658410565923965,5.089818059324393,0,0,0.02731351847174777,48.65443527735491,0,1,0,23.4347293423728,0,-6.562339782714844,4.905000025521794,0,nan,14,10000,scripted
18.272558176105893,8.674287859141872,5.089818059324393,0,0,0.03534042922991703,48.25410481316953,0,1,0,23.53502827210104,0,-5.965995788574219,4.905000025521794,0,nan,15,10000,scripted
18.2660015864872,8.693591919247151,5.089818059324393,0,0,0.04679997118452558,47.85385291863315,0,1,0,23.656613248641452,0,-5.4268035888671875,4.905000025521794,0,nan,16,10000,scripted
18.25978340368134,8.716184778480088,5.089818059324393,0,0,0.06434077174429297,47.453681581851896,0,1,0,23.32951687993609,0,-4.956336975097656,4.905000025521794,0,nan,17,10000,scripted
18.25390684353661,8.741914561586423,5.089818059324393,0,0,0.079363567891451,47.05359285815691,0,1,0,22.526994430450735,0,-4.881500244140625,4.905000025521794,0,nan,18,10000,scripted
18.248375008158238,8.770619337633601,5.089818059324393,0,0,0.09311924600080523,46.65358887295159,0,1,0,21.725333930001216,0,-4.8270111083984375,4.905000025521794,0,nan,19,10000,scripted
18.243190940844507,8.802131314400608,5.089818059324393,0,0,0.10954920359929843,46.253671824703595,0,1,0,20.924630955888457,0,-4.787567138671875,4.905000025521794,0,nan,20,10000,scripted
18.238357621542857,8.836280482039765,5.089818059324393,0,0,0.13206220654625303,45.85384398809065,0,1,0,20.124999156024895,0,-4.758979797363281,4.905000025521794,0,nan,21,10000,scripted
18.23387796229712,8.872897727632775,5.089818059324393,0,0,0.15014740390526832,45.454107717308965,0,1,0,19.326579779664144,0,-4.7379302978515625,4.905000025521794,0,nan,22,10000,scripted
18.229754802698597,8.911817380031625,5.089818059324393,0,0,0.16497869476030355,45.05446544955434,0,1,0,18.52955611240331,0,-4.721916198730469,4.905000025521794,0,nan,23,10000,scripted
18.225990938954077,8.952879192678527,5.089818059324393,0,0,0.18284025258810463,44.654919985889364,0,1,0,17.73418444637427,0,-4.703269958496094,4.905000025521794,0,nan,24,10000,scripted
18.22258901795775,8.995929792900748,5.089818059324393,0,0,0.202623109149607,44.25547366232616,0,1,0,16.940858339161252,0,-4.672821044921875,4.905000025521794,0,nan,25,10000,scripted
18.219551634876552,9.040823695310957,5.089818059324393,0,0,0.21648116319674293,43.856129187800825,0,1,0,16.171558249023214,0,-4.6285247802734375,4.905000025521794,0,nan,26,10000,scripted
18.216881294542638,9.08742389938232,5.089818059324393,0,0,0.22792141198760407,43.456889370120294,0,1,0,15.460014112727025,0,-4.575859069824219,4.905000025521794,0,nan,27,10000,scripted
18.214580407132978,9.135602175817711,5.089818059324393,0,0,0.24896206732946946,43.05775712047994,0,1,0,14.817370599077844,0,-4.5717315673828125,4.905000025521794,0,nan,28,10000,scripted
18.212651283938815,9.185239101988623,5.089818059324393,0,0,0.2612762794118184,42.65873545822914,0,1,0,14.243305851032005,0,-4.567375183105469,4.905000025521794,0,nan,29,10000,scripted
18.211096133239973,9.236223907447243,5.089818059324393,0,0,0.2700112874525152,42.2598275159007,0,1,0,13.739659213722144,0,-4.557548522949219,4.905000025521794,0,nan,30,10000,scripted
18.209917056299343,9.288454181763086,5.089818059324393,0,0,0.2744150282446281,41.861036544521305,0,1,0,13.308120870929566,0,-4.5340728759765625,4.905000025521794,0,nan,31,10000,scripted
18.209116043492344,9.341835487888709,5.089818059324393,0,0,0.2789157893685942,41.462365919221085,0,1,0,12.9495535395608,0,-4.494758605957031,4.905000025521794,0,nan,32,10000,scripted
18.208694970586464,9.396280915695302,5.089818059324393,0,0,0.2850777804508183,41.06381914516223,0,1,0,12.664968221257922,0,-4.4413604736328125,4.905000025521794,0,nan,33,10000,scripted
18.208655595185355,9.45171060267011,5.089818059324393,0,0,0.28721124548360427,40.66539986380763,0,1,0,12.455410011310267,0,-4.375831604003906,4.905000025521794,0,nan,34,10000,scripted
18.20899955335168,9.508051242219151,5.089818059324393,0,0,0.2873966262362072,40.26711185955242,0,1,0,12.321863617699163,0,-4.299980163574219,4.905000025521794,0,nan,35,10000,scripted
18.2097285601079,9.565234864895242,5.089818059324393,0,0,0.28684403803189595,39.868959066742846,0,1,0,12.265183548843174,0,-4.215431213378906,4.905000025521794,0,nan,36,10000,scripted
18.210843773131007,9.623201586289703,5.089818059324393,0,0,0.28784592252126884,39.470945577108914,0,1,0,12.28601753332747,0,-4.123619079589844,4.905000025521794,0,nan,37,10000,scripted
18.212346285786502,9.681893558073401,5.089818059324393,0,0,0.2905039539198195,39.07307564763924,0,1,0,12.38476192774815,0,-4.025794982910156,4.905000025521794,0,nan,38,10000,scripted
18.21423740032394,9.741259273432092,5.089818059324393,0,0,0.2927042252967091,38.67535370892879,0,1,0,12.510473089285671,0,-3.9230194091796875,4.905000025521794,0,nan,39,10000,scripted
