seed,outcome,ticks,passes,passes_in_disc,mean_pass_len,dwell_ticks,spread_mean,spread_final,n_in_disc_mean,n_in_disc_final,n_in_disc_max,zc_mean,zc_final,carrier_clear_mean,speed_mean,possession_rate,slow,crowd_disc,crowd_near,tight,zone_dwell,press,offside,stall,policy
10000,success,119,0,0,nan,1,17.794357399970472,16.190048762832326,1.2100840336134453,3.0,3.0,0.2857785388830259,0.48979493975639343,14.585751865493826,2.6059376620384107,1.0,0.44033613445378145,0.0,0.0,0.0,0.008403361344537815,0.0,0.5126050420168067,0.0,scripted
10001,failure,23,1,0,31.738105206582706,5,9.86033534524165,9.860337116099121,3.0,3.0,4.0,0.5804914702539858,0.5694298148155212,nan,4.004271682162747,0.0,0.08695652173913043,0.34782608695652173,0.0,0.0,0.21739130434782608,0.0,0.08695652173913043,0.0,scripted
10002,success,73,0,0,nan,1,16.16436106716847,15.252158809801307,1.2602739726027397,2.0,2.0,0.3582126155291518,0.4846099317073822,9.849099226287468,2.579357617703274,1.0,0.44109589041095887,0.0,0.0,0.0,0.0136986301369863,0.0273972602739726,0.8767123287671232,0.0,scripted
10003,failure,140,0,0,nan,67,18.39638046842918,17.39021418889435,0.5357142857142857,1.0,1.0,0.19333312793501786,0.26269063353538513,6.322383670752634,1.475714589225401,0.9928571428571429,0.6778571428571428,0.0,0.0,0.0,0.4785714285714286,0.36428571428571427,0.9357142857142857,0.2714285714285714,scripted
10004,success,69,0,0,nan,1,13.555022369957108,12.81339890193269,2.3768115942028984,4.0,4.0,0.3916986442130545,0.5915252566337585,13.509459501398942,2.7637219466115077,1.0,0.3739130434782607,0.028985507246376812,0.0,0.0,0.014492753623188406,0.0,1.0,0.0,scripted
10005,failure,148,1,0,13.403622035268558,36,19.409262201017224,18.93680465749955,0.6148648648648649,1.0,2.0,0.19446773069432458,0.18109428882598877,8.697804343672258,2.0778679546483296,0.9121621621621622,0.547972972972973,0.0,0.0,0.0,0.24324324324324326,0.19594594594594594,0.831081081081081,0.060810810810810814,scripted
10006,success,116,0,0,nan,1,17.416692090319113,16.154659039698934,0.9051724137931034,2.0,2.0,0.29709292492219086,0.46308574080467224,12.49059418654711,2.5760577474093833,1.0,0.43620689655172407,0.0,0.0,0.0,0.008620689655172414,0.0,0.5775862068965517,0.0,scripted
10007,failure,106,0,0,nan,10,17.657358854878105,16.437405991261137,0.9433962264150944,1.0,3.0,0.28505836581846455,0.387793630361557,9.506421348068777,2.7419124750691104,0.9905660377358491,0.41792452830188676,0.0,0.0,0.0,0.09433962264150944,0.07547169811320754,0.5754716981132075,0.0,scripted
10008,failure,75,0,0,nan,5,16.763797730870078,15.669583441479224,0.32,1.0,1.0,0.22620260039965312,0.4128216505050659,12.39332978926408,2.0820152510431145,0.9866666666666667,0.5359999999999999,0.0,0.0,0.0,0.06666666666666667,0.04,0.8266666666666667,0.0,scripted
10009,failure,94,0,0,nan,4,18.817555848654067,17.4981559314101,0.3404255319148936,1.0,1.0,0.12996643650880518,0.2500882148742676,10.266664857397991,3.0596954099779943,0.9893617021276596,0.3414893617021276,0.0,0.0,0.0,0.0425531914893617,0.031914893617021274,0.776595744680851,0.0,scripted
