spread,nn_mean,nn_min,n_in_disc,n_near,zone_control,ball_d_zone,ball_in_disc,carried,in_flight,carrier_clear,n_offside,max_offside,mean_speed,slow_frac,pass_started,pass_len,tick,seed,policy
18.401755133796684,8.756446658555944,5.089821097839119,0,0,0.0001790691021597013,53.12782721100783,0,1,0,24.6460181447607,0,-15.084259033203125,0.6999999956300673,1.0,0,nan,1,10000,c_lagr_075_040/final
18.39445443442303,8.74177278517228,5.059821824564816,0,0,0.00022265022562351078,53.15281861922614,0,1,0,24.713220502250287,0,-14.9324951171875,0.6600286354969536,1.0,0,nan,2,10000,c_lagr_075_040/final
18.36096910899088,8.75086327303428,5.034337643184467,0,0,0.00026730578974820673,53.1432525312322,0,1,0,24.767102259687938,0,-14.729042053222656,0.6716403414615086,1.0,0,nan,3,10000,c_lagr_075_040/final
18.30225883047622,8.764492136387897,5.018294196937995,0,0,0.00035031407605856657,53.09520314951744,0,1,0,24.803094274541728,0,-14.473823547363281,1.0500101495238767,1.0,0,nan,4,10000,c_lagr_075_040/final
18.229756935018962,8.774597335975075,5.02220155118018,0,0,0.00033231591805815697,52.99034760285979,0,1,0,24.806109161757973,0,-14.157501220703125,1.1613815988304046,1.0,0,nan,5,10000,c_lagr_075_040/final
18.14322070722978,8.806042286555137,5.017713824556882,0,0,0.0004376698052510619,52.832010854163215,0,1,0,24.78421109486043,0,-13.771766662597656,1.52242408251997,0.8,0,nan,6,10000,c_lagr_075_040/final
18.056031294232163,8.830048371552355,5.0131442619092565,0,0,0.00047883353545330465,52.61075835871851,0,1,0,24.742478761187474,0,-13.308242797851562,1.2643578532607496,0.8,0,nan,7,10000,c_lagr_075_040/final
17.975284228028194,8.808581813516444,5.029585617813513,0,0,0.0003789995389524847,52.32405543584569,0,1,0,24.672894146426504,0,-12.797958374023438,1.4952995010982886,0.7,0,nan,8,10000,c_lagr_075_040/final
17.898133401353753,8.76478695692062,5.010537458312813,0,0,0.00045802941895090044,52.0363361565252,0,1,0,24.627768451978408,0,-12.267929077148438,1.6666511312586878,0.6,0,nan,9,10000,c_lagr_075_040/final
17.841542795953735,8.742255204310968,4.992931652406,0,0,0.00040929089300334454,51.78373957716838,0,1,0,24.629882653650483,0,-11.76361083984375,1.3458638229565993,0.8,0,nan,10,10000,c_lagr_075_040/final
17.791826178957184,8.71770067354227,4.914994925715574,0,0,0.0005441434332169592,51.54282862340486,0,1,0,24.662412908066038,0,-11.242424011230469,1.122991543566061,0.8,0,nan,11,10000,c_lagr_075_040/final
17.72358877472085,8.667473142580391,4.771922088878604,0,0,0.0008112113573588431,51.27652891828656,0,1,0,24.702412330901492,0,-10.699630737304688,1.3496524840967974,0.7,0,nan,12,10000,c_lagr_075_040/final
17.639370617037606,8.611716702644783,4.640899652236115,0,0,0.002584887435659766,50.97257250297861,0,1,0,24.720312603719496,0,-10.15606689453125,1.6976810027213358,0.6,0,nan,13,10000,c_lagr_075_040/final
