update,step,lr,sps,success,ret,len,n_eps,pg_loss,v_loss,c_loss,entropy,approx_kl,clipfrac,ev,ev_slow,ev_crowd_disc,ev_success,c_slow,c_crowd,c_team,speed,n_succ,lam0,lam_slow,lam_crowd,lam_succ,boot
1,768,0.0003,531.1,0.0,0.764962,49.333333,6,-0.006187,0.023825,0.031798,3.306294,0.004782,0.047455,0.431809,-0.499332,-0.186522,0.14292,0.9625,0.011719,1.0,0.917387,0.0,0.244344,0.256872,0.241913,0.256872,1.0
50,38400,0.0002954838709677419,486.4,0.01,0.90244,30.19,996,-0.00497,0.003894,0.001085,2.327886,0.004693,0.045898,0.896724,0.277956,-1.779344,-1.131276,0.286458,0.0,0.192708,2.645723,0.0,0.13874,0.074065,0.043742,0.743452,1.0
100,76800,0.00029087557603686633,504.5,0.06,0.936583,52.26,1927,-0.006067,0.010198,0.001788,2.739102,0.004778,0.051788,0.743605,0.316531,-1.1448,-1.353467,0.59362,0.0,0.608073,1.849252,1.0,0.058969,0.013876,0.010376,0.91678,1.0
150,115200,0.00028626728110599074,504.5,0.07,0.946,69.81,2543,-0.006992,0.021011,0.003694,2.84096,0.005954,0.075897,0.373348,0.402102,-0.016182,-1.436246,0.777865,0.057292,0.958333,1.429717,3.0,0.038492,0.007696,0.005257,0.948554,1.0
200,153600,0.0002816589861751152,493.8,0.06,0.966594,65.63,3193,-0.007473,0.001925,0.002567,2.802296,0.005539,0.068481,0.960989,0.580453,-0.963889,-0.480085,0.84987,0.0,0.992188,1.332439,0.0,0.02836,0.005288,0.003294,0.963058,1.0
250,192000,0.0002770506912442396,445.6,0.09,0.994361,52.74,3925,-0.005948,0.015208,0.003932,2.693122,0.00528,0.061768,0.615108,0.171782,-1.485811,-0.742854,0.677083,0.0,0.734375,1.666217,2.0,0.021373,0.003735,0.002186,0.972707,1.0
300,230400,0.00027244239631336403,504.2,0.06,0.935843,70.51,4650,-0.006145,0.008708,0.003242,2.748444,0.005614,0.068939,0.471433,0.508711,0.068996,0.022375,0.82526,0.007812,0.96224,1.373657,1.0,0.016852,0.002785,0.001565,0.978797,1.0
350,268800,0.00026783410138248845,505.0,0.08,0.969397,65.37,5339,-0.008055,0.021293,0.005087,2.683563,0.00629,0.080963,0.62302,0.393351,-1.120363,0.258144,0.882422,0.0,0.984375,1.135379,4.0,0.013681,0.002178,0.001174,0.982967,1.0
400,307200,0.00026322580645161286,489.6,0.03,0.869496,60.02,5956,-0.00914,0.003183,0.004777,2.716793,0.006181,0.077057,0.874429,0.44948,0.247476,-0.418117,0.880599,0.001302,0.996094,1.136747,0.0,0.011409,0.001765,0.000917,0.985909,1.0
450,345600,0.0002586175115207373,503.7,0.01,0.874412,58.97,6529,-0.007608,0.001601,0.003339,2.734962,0.005827,0.06897,0.954847,0.575664,0.006284,-0.910438,0.888411,0.0,0.997396,1.129655,0.0,0.009654,0.001459,0.000733,0.988154,1.0
